"id","name"
"bna00010","Glycolysis / Gluconeogenesis"
"bna00020","Citrate cycle (TCA cycle)"
"bna00030","Pentose phosphate pathway"
"bna00040","Pentose and glucuronate interconversions"
"bna00051","Fructose and mannose metabolism"
"bna00052","Galactose metabolism"
"bna00053","Ascorbate and aldarate metabolism"
"bna00061","Fatty acid biosynthesis"
"bna00062","Fatty acid elongation"
"bna00071","Fatty acid degradation"
"bna00073","Cutin, suberine and wax biosynthesis"
"bna00100","Steroid biosynthesis"
"bna00120","Primary bile acid biosynthesis"
"bna00121","Secondary bile acid biosynthesis"
"bna00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"bna00140","Steroid hormone biosynthesis"
"bna00190","Oxidative phosphorylation"
"bna00195","Photosynthesis"
"bna00196","Photosynthesis - antenna proteins"
"bna00220","Arginine biosynthesis"
"bna00230","Purine metabolism"
"bna00232","Caffeine metabolism"
"bna00240","Pyrimidine metabolism"
"bna00250","Alanine, aspartate and glutamate metabolism"
"bna00253","Tetracycline biosynthesis"
"bna00254","Aflatoxin biosynthesis"
"bna00260","Glycine, serine and threonine metabolism"
"bna00261","Monobactam biosynthesis"
"bna00270","Cysteine and methionine metabolism"
"bna00280","Valine, leucine and isoleucine degradation"
"bna00281","Geraniol degradation"
"bna00290","Valine, leucine and isoleucine biosynthesis"
"bna00300","Lysine biosynthesis"
"bna00310","Lysine degradation"
"bna00311","Penicillin and cephalosporin biosynthesis"
"bna00330","Arginine and proline metabolism"
"bna00331","Clavulanic acid biosynthesis"
"bna00332","Carbapenem biosynthesis"
"bna00333","Prodigiosin biosynthesis"
"bna00340","Histidine metabolism"
"bna00350","Tyrosine metabolism"
"bna00360","Phenylalanine metabolism"
"bna00361","Chlorocyclohexane and chlorobenzene degradation"
"bna00362","Benzoate degradation"
"bna00363","Bisphenol degradation"
"bna00364","Fluorobenzoate degradation"
"bna00365","Furfural degradation"
"bna00380","Tryptophan metabolism"
"bna00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"bna00401","Novobiocin biosynthesis"
"bna00402","Benzoxazinoid biosynthesis"
"bna00403","Indole diterpene alkaloid biosynthesis"
"bna00404","Staurosporine biosynthesis"
"bna00405","Phenazine biosynthesis"
"bna00410","beta-Alanine metabolism"
"bna00430","Taurine and hypotaurine metabolism"
"bna00440","Phosphonate and phosphinate metabolism"
"bna00450","Selenocompound metabolism"
"bna00460","Cyanoamino acid metabolism"
"bna00470","D-Amino acid metabolism"
"bna00480","Glutathione metabolism"
"bna00500","Starch and sucrose metabolism"
"bna00510","N-Glycan biosynthesis"
"bna00511","Other glycan degradation"
"bna00512","Mucin type O-glycan biosynthesis"
"bna00513","Various types of N-glycan biosynthesis"
"bna00514","Other types of O-glycan biosynthesis"
"bna00515","Mannose type O-glycan biosynthesis"
"bna00520","Amino sugar and nucleotide sugar metabolism"
"bna00521","Streptomycin biosynthesis"
"bna00522","Biosynthesis of 12-, 14- and 16-membered macrolides"
"bna00523","Polyketide sugar unit biosynthesis"
"bna00524","Neomycin, kanamycin and gentamicin biosynthesis"
"bna00525","Acarbose and validamycin biosynthesis"
"bna00531","Glycosaminoglycan degradation"
"bna00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"
"bna00533","Glycosaminoglycan biosynthesis - keratan sulfate"
"bna00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
