GSBRNA2T00000015001,3708.A0A078F5D6
GSBRNA2T00000029001,3708.A0A078F5E8
GSBRNA2T00000065001,3708.A0A078F9A0
GSBRNA2T00000073001,3708.A0A078F1M2
GSBRNA2T00000106001,3708.A0A078F4M7
GSBRNA2T00000120001,3708.A0A078F1P5
GSBRNA2T00000166001,3708.A0A078F5N8
GSBRNA2T00000167001,3708.A0A078F9G0
GSBRNA2T00000188001,3708.A0A078F9H4
GSBRNA2T00000194001,3708.A0A078F9H9
GSBRNA2T00000213001,3708.A0A078F1W4
GSBRNA2T00000226001,3708.A0A078F5Y4
GSBRNA2T00000257001,3708.A0A078F5U2
GSBRNA2T00000270001,3708.A0A078F5V2
GSBRNA2T00000274001,3708.A0A078F524
GSBRNA2T00000281001,3708.A0A078F5W6
GSBRNA2T00000295001,3708.A0A078F661
GSBRNA2T00000367001,3708.A0A078F662
GSBRNA2T00000379001,3708.A0A078F6C1
GSBRNA2T00000405001,3708.A0A078F5F6
GSBRNA2T00000411001,3708.A0A078F5F8
GSBRNA2T00000416001,3708.A0A078F5G1
GSBRNA2T00000502001,3708.A0A078F6D2
GSBRNA2T00000566001,3708.A0A078FA63
GSBRNA2T00000607001,3708.A0A078F2H4
GSBRNA2T00000614001,3708.A0A078F5L6
GSBRNA2T00000656001,3708.A0A078F5N7
GSBRNA2T00000658001,3708.A0A078FAB8
GSBRNA2T00000670001,3708.A0A078F6L5
GSBRNA2T00000674001,3708.A0A078F5Q4
GSBRNA2T00000690001,3708.A0A078F6T7
GSBRNA2T00000702001,3708.A0A078FAD9
GSBRNA2T00000728001,3708.A0A078FAF0
GSBRNA2T00000734001,3708.A0A078FAF3
GSBRNA2T00000737001,3708.A0A078F2Q4
GSBRNA2T00000786001,3708.A0A078F706
GSBRNA2T00000809001,3708.A0A078FAI3
GSBRNA2T00000813001,3708.A0A078F623
GSBRNA2T00000976001,3708.A0A078F765
GSBRNA2T00001020001,3708.A0A078F778
GSBRNA2T00001177001,3708.A0A078F6M3
GSBRNA2T00001237001,3708.A0A078F7Q2
GSBRNA2T00001263001,3708.A0A078F3J7
GSBRNA2T00001321001,3708.A0A078FB79
GSBRNA2T00001330001,3708.A0A078F3P1
GSBRNA2T00001337001,3708.A0A078F3P6
GSBRNA2T00001369001,3708.A0A078F6Y2
GSBRNA2T00001383001,3708.A0A078F7T2
GSBRNA2T00001384001,3708.A0A078FBB2
GSBRNA2T00001385001,3708.A0A078F7Z4
GSBRNA2T00001396001,3708.A0A078F804
GSBRNA2T00001429001,3708.A0A078F3X3
GSBRNA2T00001496001,3708.A0A078F811
GSBRNA2T00001530001,3708.A0A078F837
GSBRNA2T00001588001,3708.A0A078F467
GSBRNA2T00001740001,3708.A0A078FSS7
GSBRNA2T00001821001,3708.A0A078FZ73
GSBRNA2T00001824001,3708.A0A078FSW9
GSBRNA2T00001858001,3708.A0A078FWZ8
GSBRNA2T00001863001,3708.A0A078FX01
GSBRNA2T00001874001,3708.A0A078FX05
GSBRNA2T00001912001,3708.A0A078FY33
GSBRNA2T00001935001,3708.A0A078FT57
GSBRNA2T00002000001,3708.A0A078FXJ4
GSBRNA2T00002004001,3708.A0A078FT97
GSBRNA2T00002167001,3708.A0A078FZP3
GSBRNA2T00002169001,3708.A0A078FTH4
GSBRNA2T00002171001,3708.A0A078FYF4
GSBRNA2T00002182001,3708.A0A078FTH8
GSBRNA2T00002185001,3708.A0A078FZP9
GSBRNA2T00002220001,3708.A0A078FTM0
GSBRNA2T00002269001,3708.A0A078FTS2
GSBRNA2T00002272001,3708.A0A078FZV7
GSBRNA2T00002275001,3708.A0A078FY31
GSBRNA2T00002279001,3708.A0A078FZW4
GSBRNA2T00002304001,3708.A0A078FTU8
GSBRNA2T00002305001,3708.A0A078FY52
GSBRNA2T00002315001,3708.A0A078FY57
GSBRNA2T00002348001,3708.A0A078FXU1
GSBRNA2T00002365001,3708.A0A078FY95
GSBRNA2T00002367001,3708.A0A078G033
GSBRNA2T00002403001,3708.A0A078FU46
GSBRNA2T00002481001,3708.A0A078G0C5
GSBRNA2T00002503001,3708.A0A078G0D2
GSBRNA2T00002506001,3708.A0A078FY71
GSBRNA2T00002575001,3708.A0A078FYA1
GSBRNA2T00002579001,3708.A0A078FZ87
GSBRNA2T00002670001,3708.A0A078FZE8
GSBRNA2T00002686001,3708.A0A078FZG5
GSBRNA2T00002692001,3708.A0A078G0M7
GSBRNA2T00002707001,3708.A0A078FYT5
GSBRNA2T00002721001,3708.A0A078G0Q2
GSBRNA2T00002760001,3708.A0A078FUV8
GSBRNA2T00002816001,3708.A0A078FZ06
GSBRNA2T00002824001,3708.A0A078FZV3
GSBRNA2T00002825001,3708.A0A078G0Y6
GSBRNA2T00002849001,3708.A0A078FYP9
GSBRNA2T00002888001,3708.A0A078FZ38
GSBRNA2T00002892001,3708.A0A078G122
GSBRNA2T00002921001,3708.A0A078FYT6
GSBRNA2T00002923001,3708.A0A078FV55
GSBRNA2T00002930001,3708.A0A078FV63
GSBRNA2T00002951001,3708.A0A078IP69
GSBRNA2T00002952001,3708.A0A078IJE0
GSBRNA2T00002998001,3708.A0A078IQ52
GSBRNA2T00003005001,3708.A0A078IPA5
GSBRNA2T00003100001,3708.A0A078IMT4
GSBRNA2T00003111001,3708.A0A078IQC3
GSBRNA2T00003160001,3708.A0A078JY63
GSBRNA2T00003166001,3708.A0A078JS43
GSBRNA2T00003203001,3708.A0A078JUG5
GSBRNA2T00003265001,3708.A0A078IQJ1
GSBRNA2T00003273001,3708.A0A078IN09
GSBRNA2T00003296001,3708.A0A078IN23
GSBRNA2T00003330001,3708.A0A078IPP2
GSBRNA2T00003350001,3708.B6ZBV9
GSBRNA2T00003358001,3708.A0A078INA3
GSBRNA2T00003370001,3708.A0A078IK58
GSBRNA2T00003444001,3708.A0A078JUI5
GSBRNA2T00003541001,3708.T1STH7
GSBRNA2T00003553001,3708.A0A078INH7
GSBRNA2T00003630001,3708.A0A078IR40
GSBRNA2T00003632001,3708.A0A078IKI1
GSBRNA2T00003714001,3708.A0A078JVK1
GSBRNA2T00003725001,3708.A0A078INP2
GSBRNA2T00003755001,3708.A0A078IQB9
GSBRNA2T00003796001,3708.A0A078INR5
GSBRNA2T00003904001,3708.A0A078JXW2
GSBRNA2T00004049001,3708.A0A078IRI0
GSBRNA2T00004050001,3708.A0A078IQM1
GSBRNA2T00004063001,3708.A0A078IP57
GSBRNA2T00004100001,3708.A0A078IRL6
GSBRNA2T00004102001,3708.A0A078IQP6
GSBRNA2T00004117001,3708.A0A078IP61
GSBRNA2T00004120001,3708.A0A078IRN2
GSBRNA2T00004258001,3708.A0A078IRS6
GSBRNA2T00004259001,3708.A0A078IQU5
GSBRNA2T00004300001,3708.A0A078IL93
GSBRNA2T00004302001,3708.A0A078IPG5
GSBRNA2T00004314001,3708.A0A078IPE9
GSBRNA2T00004391001,3708.A0A078JYI4
GSBRNA2T00004403001,3708.A0A078JY34
GSBRNA2T00004429001,3708.A0A078IPK0
GSBRNA2T00004433001,3708.A0A078IR76
GSBRNA2T00004486001,3708.A0A078IPP6
GSBRNA2T00004489001,3708.A0A078ILE9
GSBRNA2T00004510001,3708.A0A078IR44
GSBRNA2T00004511001,3708.A0A078ILF9
GSBRNA2T00004520001,3708.A0A078IPU0
GSBRNA2T00004526001,3708.A0A078IPU8
GSBRNA2T00004577001,3708.A0A078ISD7
GSBRNA2T00004582001,3708.A0A078IPX0
GSBRNA2T00004612001,3708.A0A078JVV7
GSBRNA2T00004626001,3708.A0A078JVW0
GSBRNA2T00004650001,3708.A0A078JSK4
GSBRNA2T00004656001,3708.A0A078JY70
GSBRNA2T00004672001,3708.A0A078IRB6
GSBRNA2T00004746001,3708.A0A078ILV9
