Gen,Gen ID
BnaC09g12490D,GSBRNA2T00000056001
BnaA05g26900D,GSBRNA2T00000221001
BnaA05g27440D,GSBRNA2T00000282001
BnaA05g27810D,GSBRNA2T00000326001
BnaA05g27840D,GSBRNA2T00000330001
BnaA05g27910D,GSBRNA2T00000338001
BnaA05g28000D,GSBRNA2T00000350001
BnaA05g28070D,GSBRNA2T00000360001
BnaA05g28450D,GSBRNA2T00000403001
BnaC04g19630D,GSBRNA2T00000484001
BnaC03g54750D,GSBRNA2T00000627001
BnaA06g24700D,GSBRNA2T00000684001
BnaA06g24130D,GSBRNA2T00000769001
BnaA06g24040D,GSBRNA2T00000782001
BnaC08g12000D,GSBRNA2T00001024001
BnaC01g30700D,GSBRNA2T00001138001
BnaC08g10030D,GSBRNA2T00001207001
BnaC08g10100D,GSBRNA2T00001216001
BnaC08g10110D,GSBRNA2T00001217001
BnaA02g05170D,GSBRNA2T00001302001
BnaA02g05230D,GSBRNA2T00001314001
BnaA02g05340D,GSBRNA2T00001327001
BnaA02g06580D,GSBRNA2T00001485001
BnaA02g06590D,GSBRNA2T00001486001
BnaC03g63470D,GSBRNA2T00001624001
BnaC01g26830D,GSBRNA2T00001735001
BnaC08g21600D,GSBRNA2T00001994001
BnaC04g03030D,GSBRNA2T00002263001
BnaC04g02920D,GSBRNA2T00002277001
BnaC04g02910D,GSBRNA2T00002279001
BnaC03g30230D,GSBRNA2T00002315001
BnaC03g30330D,GSBRNA2T00002328001
BnaC03g30350D,GSBRNA2T00002330001
BnaC03g30370D,GSBRNA2T00002334001
BnaC03g30410D,GSBRNA2T00002339001
BnaC03g30540D,GSBRNA2T00002357001
BnaC07g04330D,GSBRNA2T00002461001
BnaC07g04150D,GSBRNA2T00002509001
BnaA01g23870D,GSBRNA2T00002643001
BnaC05g01980D,GSBRNA2T00002701001
BnaC05g02530D,GSBRNA2T00002760001
BnaC05g02540D,GSBRNA2T00002761001
BnaC05g02730D,GSBRNA2T00002780001
BnaC05g03040D,GSBRNA2T00002816001
BnaC09g09800D,GSBRNA2T00002984001
BnaA03g07090D,GSBRNA2T00002989001
BnaCnng20460D,GSBRNA2T00003039001
BnaA10g11680D,GSBRNA2T00003075001
BnaCnng68210D,GSBRNA2T00003142001
BnaAnng33550D,GSBRNA2T00003157001
BnaCnng20650D,GSBRNA2T00003217001
BnaCnng20740D,GSBRNA2T00003230001
BnaA04g28650D,GSBRNA2T00003278001
BnaA04g28660D,GSBRNA2T00003279001
BnaC08g46210D,GSBRNA2T00003310001
BnaC03g59130D,GSBRNA2T00003531001
BnaA05g33400D,GSBRNA2T00003644001
BnaCnng68490D,GSBRNA2T00003673001
BnaC03g72980D,GSBRNA2T00003731001
BnaC02g45800D,GSBRNA2T00003836001
BnaCnng21170D,GSBRNA2T00003861001
BnaAnng33930D,GSBRNA2T00003921001
BnaAnng33960D,GSBRNA2T00003930001
BnaAnng10890D,GSBRNA2T00003978001
BnaAnng10960D,GSBRNA2T00003988001
BnaA03g58930D,GSBRNA2T00004049001
BnaA01g37140D,GSBRNA2T00004092001
BnaC01g41590D,GSBRNA2T00004171001
BnaC05g49480D,GSBRNA2T00004195001
BnaC03g75370D,GSBRNA2T00004245001
BnaA03g56140D,GSBRNA2T00004329001
BnaC01g41040D,GSBRNA2T00004498001
BnaCnng68950D,GSBRNA2T00004612001
BnaC06g42900D,GSBRNA2T00004712001
BnaA08g31310D,GSBRNA2T00004720001
BnaA08g31400D,GSBRNA2T00004732001
BnaAnng34370D,GSBRNA2T00004831001
BnaCnng69050D,GSBRNA2T00004836001
BnaA10g29790D,GSBRNA2T00004876001
BnaA03g55260D,GSBRNA2T00004973001
BnaA02g34680D,GSBRNA2T00004992001
BnaCnng69140D,GSBRNA2T00005071001
BnaAnng34630D,GSBRNA2T00005302001
BnaA04g27630D,GSBRNA2T00005328001
BnaA04g22000D,GSBRNA2T00005375001
BnaA04g21990D,GSBRNA2T00005376001
BnaA04g21810D,GSBRNA2T00005397001
BnaA01g26660D,GSBRNA2T00005555001
BnaA09g08180D,GSBRNA2T00005629001
BnaA09g08090D,GSBRNA2T00005639001
BnaA09g08030D,GSBRNA2T00005645001
BnaA09g07960D,GSBRNA2T00005652001
BnaA09g07840D,GSBRNA2T00005668001
BnaA09g07610D,GSBRNA2T00005696001
BnaA09g07510D,GSBRNA2T00005708001
BnaA09g07280D,GSBRNA2T00005738001
BnaA09g07080D,GSBRNA2T00005764001
BnaA09g06750D,GSBRNA2T00005807001
BnaAnng03180D,GSBRNA2T00006032001
BnaC01g20930D,GSBRNA2T00006204001
BnaC01g20120D,GSBRNA2T00006324001
BnaC05g13850D,GSBRNA2T00006477001
BnaC05g13950D,GSBRNA2T00006490001
BnaC05g14170D,GSBRNA2T00006518001
BnaC01g32130D,GSBRNA2T00006586001
BnaC01g31810D,GSBRNA2T00006656001
BnaA01g36200D,GSBRNA2T00006748001
BnaCnng22230D,GSBRNA2T00006828001
BnaC07g48980D,GSBRNA2T00006844001
BnaA04g27920D,GSBRNA2T00007060001
BnaC03g61120D,GSBRNA2T00007203001
BnaC03g61130D,GSBRNA2T00007204001
BnaCnng22600D,GSBRNA2T00007215001
BnaA04g10650D,GSBRNA2T00007616001
BnaCnng23320D,GSBRNA2T00007844001
BnaC04g53630D,GSBRNA2T00007890001
BnaC04g53640D,GSBRNA2T00007891001
