"id","gene"
"bna01100","BnaAnng19770D"
"bna01110","BnaAnng19770D"
"bna00940","BnaAnng19770D"
"bna03010","BnaCnng23290D"
"bna04146","BnaCnng46690D"
"bna01110","BnaCnng46690D"
"bna00230","BnaCnng46690D"
"bna01232","BnaCnng46690D"
"bna01100","BnaCnng46690D"
"bna00232","BnaCnng46690D"
"bna00053","BnaA05g25890D"
"bna01100","BnaA05g25890D"
"bna01100","BnaA05g33890D"
"bna04145","BnaA05g33890D"
"bna00190","BnaA05g33890D"
"bna04144","BnaA05g26830D"
"bna04144","BnaC05g40860D"
"bna00020","BnaC05g43210D"
"bna01100","BnaC05g43210D"
"bna01200","BnaC05g43210D"
"bna01230","BnaC05g43210D"
"bna01210","BnaC05g43210D"
"bna01110","BnaC05g43210D"
"bna03010","BnaA05g30690D"
"bna03010","BnaA01g32660D"
"bna03010","BnaC05g45150D"
"bna01110","BnaA05g34020D"
"bna01100","BnaA05g34020D"
"bna00940","BnaA05g34020D"
"bna01100","BnaA01g25380D"
"bna00760","BnaA01g25380D"
"bna01240","BnaA01g25380D"
"bna00906","BnaA06g01590D"
"bna01110","BnaA06g01590D"
"bna01100","BnaA06g01590D"
"bna04141","BnaA06g01660D"
"bna04144","BnaA06g01650D"
"bna04145","BnaA06g01650D"
"bna01100","BnaA06g01680D"
"bna00195","BnaA06g01680D"
"bna03040","BnaA06g00410D"
"bna01100","BnaA01g25350D"
"bna01110","BnaA01g25350D"
"bna00230","BnaA01g25350D"
"bna01100","BnaA06g00210D"
"bna00195","BnaA06g00210D"
"bna01100","BnaC09g30760D"
"bna00920","BnaC09g30760D"
"bna03050","BnaC06g06550D"
"bna03050","BnaA06g00740D"
"bna03010","BnaC02g25080D"
"bna03010","BnaA10g07870D"
"bna03010","BnaA03g13080D"
"bna00620","BnaA06g01050D"
"bna00630","BnaA06g01050D"
"bna01200","BnaA06g01050D"
"bna00270","BnaA06g01050D"
"bna00710","BnaA06g01050D"
"bna00020","BnaA06g01050D"
"bna01100","BnaA06g01050D"
"bna01110","BnaA06g01050D"
"bna01100","BnaA06g00900D"
"bna01250","BnaA06g00900D"
"bna00520","BnaA06g00900D"
"bna03010","BnaA05g33140D"
"bna03010","BnaC03g33700D"
"bna03010","BnaA03g28560D"
"bna03010","BnaC05g02580D"
"bna03015","BnaC03g14150D"
"bna00130","BnaC03g14590D"
"bna01240","BnaC03g14590D"
"bna01100","BnaC03g14590D"
"bna01110","BnaC03g14590D"
"bna00910","BnaA06g02140D"
"bna01100","BnaA06g02140D"
"bna00250","BnaA06g02140D"
"bna00220","BnaA06g02140D"
"bna04075","BnaA06g02010D"
"bna04141","BnaA06g02240D"
"bna00510","BnaA06g02240D"
"bna01100","BnaA06g02240D"
"bna00513","BnaA06g02240D"
"bna03040","BnaA06g02320D"
"bna03013","BnaA06g02320D"
"bna03015","BnaA06g02320D"
"bna03010","BnaA01g32660D"
"bna03010","BnaA05g30690D"
"bna03010","BnaC05g45150D"
"bna04814","BnaA06g37700D"
"bna04814","BnaC06g03040D"
"bna04145","BnaA06g37700D"
"bna04145","BnaC06g03040D"
"bna03010","BnaC09g35210D"
"bna03010","BnaA06g04200D"
"bna03010","BnaA08g29090D"
"bna03010","BnaC05g05370D"
"bna03010","BnaA10g12820D"
"bna03010","BnaA02g06730D"
"bna03010","BnaCnng37690D"
"bna03010","BnaC03g11550D"
"bna03015","BnaA01g25900D"
"bna03013","BnaA01g25900D"
"bna03040","BnaA01g25900D"
"bna00710","BnaC05g09210D"
"bna00710","BnaA06g07790D"
"bna01200","BnaC05g09210D"
"bna01200","BnaA06g07790D"
"bna01100","BnaC05g09210D"
"bna01100","BnaA06g07790D"
"bna01232","BnaA06g09030D"
"bna01100","BnaA06g09030D"
"bna00230","BnaA06g09030D"
"bna01110","BnaA06g09030D"
"bna00240","BnaA06g09030D"
"bna04075","BnaC03g48210D"
"bna03015","BnaA09g48180D"
"bna03015","BnaC03g48230D"
"bna04136","BnaA09g48180D"
"bna04136","BnaC03g48230D"
"bna03010","BnaC01g15340D"
"bna01200","BnaC04g30020D"
