bp,name
GO:0000002,mitochondrial genome maintenance
GO:0000003,reproduction
GO:0000012,single strand break repair
GO:0000018,regulation of DNA recombination
GO:0000019,regulation of mitotic recombination
GO:0000027,ribosomal large subunit assembly
GO:0000028,ribosomal small subunit assembly
GO:0000032,cell wall mannoprotein biosynthetic process
GO:0000038,very long-chain fatty acid metabolic process
GO:0000041,transition metal ion transport
GO:0000045,autophagosome assembly
GO:0000050,urea cycle
GO:0000052,citrulline metabolic process
GO:0000053,argininosuccinate metabolic process
GO:0000054,ribosomal subunit export from nucleus
GO:0000055,ribosomal large subunit export from nucleus
GO:0000056,ribosomal small subunit export from nucleus
GO:0000070,mitotic sister chromatid segregation
GO:0000075,cell cycle checkpoint signaling
GO:0000076,DNA replication checkpoint signaling
GO:0000077,DNA damage checkpoint signaling
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000082,G1/S transition of mitotic cell cycle
GO:0000086,G2/M transition of mitotic cell cycle
GO:0000096,sulfur amino acid metabolic process
GO:0000097,sulfur amino acid biosynthetic process
GO:0000101,sulfur amino acid transport
GO:0000103,sulfate assimilation
GO:0000105,histidine biosynthetic process
GO:0000122,negative regulation of transcription by RNA polymerase II
GO:0000154,rRNA modification
GO:0000160,phosphorelay signal transduction system
GO:0000162,tryptophan biosynthetic process
GO:0000165,MAPK cascade
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
GO:0000209,protein polyubiquitination
GO:0000212,meiotic spindle organization
GO:0000226,microtubule cytoskeleton organization
GO:0000244,spliceosomal tri-snRNP complex assembly
GO:0000245,spliceosomal complex assembly
GO:0000255,allantoin metabolic process
GO:0000256,allantoin catabolic process
GO:0000266,mitochondrial fission
GO:0000270,peptidoglycan metabolic process
GO:0000271,polysaccharide biosynthetic process
GO:0000272,polysaccharide catabolic process
GO:0000278,mitotic cell cycle
GO:0000279,M phase
GO:0000280,nuclear division
GO:0000281,mitotic cytokinesis
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening
GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA
GO:0000291,"nuclear-transcribed mRNA catabolic process, exonucleolytic"
GO:0000301,"retrograde transport, vesicle recycling within Golgi"
GO:0000302,response to reactive oxygen species
GO:0000303,response to superoxide
GO:0000304,response to singlet oxygen
GO:0000305,response to oxygen radical
GO:0000338,protein deneddylation
GO:0000349,generation of catalytic spliceosome for first transesterification step
GO:0000350,generation of catalytic spliceosome for second transesterification step
GO:0000373,Group II intron splicing
GO:0000375,"RNA splicing, via transesterification reactions"
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
GO:0000379,tRNA-type intron splice site recognition and cleavage
GO:0000380,"alternative mRNA splicing, via spliceosome"
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome"
GO:0000387,spliceosomal snRNP assembly
GO:0000388,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
GO:0000389,mRNA 3'-splice site recognition
GO:0000390,spliceosomal complex disassembly
GO:0000393,spliceosomal conformational changes to generate catalytic conformation
GO:0000394,"RNA splicing, via endonucleolytic cleavage and ligation"
GO:0000395,mRNA 5'-splice site recognition
GO:0000398,"mRNA splicing, via spliceosome"
GO:0000412,histone peptidyl-prolyl isomerization
GO:0000413,protein peptidyl-prolyl isomerization
GO:0000422,autophagy of mitochondrion
GO:0000423,mitophagy
GO:0000447,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000451,rRNA 2'-O-methylation
GO:0000453,enzyme-directed rRNA 2'-O-methylation
GO:0000454,snoRNA guided rRNA pseudouridine synthesis
GO:0000455,enzyme-directed rRNA pseudouridine synthesis
GO:0000459,exonucleolytic trimming involved in rRNA processing
GO:0000460,maturation of 5.8S rRNA
GO:0000461,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000467,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000469,cleavage involved in rRNA processing
GO:0000470,maturation of LSU-rRNA
GO:0000472,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000478,endonucleolytic cleavage involved in rRNA processing
GO:0000479,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000480,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000481,maturation of 5S rRNA
GO:0000488,"maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)"
GO:0000489,"maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)"
GO:0000491,small nucleolar ribonucleoprotein complex assembly
GO:0000492,box C/D snoRNP assembly
GO:0000493,box H/ACA snoRNP assembly
GO:0000494,box C/D RNA 3'-end processing
GO:0000495,box H/ACA RNA 3'-end processing
GO:0000578,embryonic axis specification
GO:0000706,meiotic DNA double-strand break processing
GO:0000707,meiotic DNA recombinase assembly
GO:0000708,meiotic strand invasion
GO:0000709,meiotic joint molecule formation
GO:0000710,meiotic mismatch repair
GO:0000712,resolution of meiotic recombination intermediates
GO:0000719,photoreactive repair
GO:0000722,telomere maintenance via recombination
GO:0000723,telomere maintenance
GO:0000724,double-strand break repair via homologous recombination
GO:0000725,recombinational repair
GO:0000727,double-strand break repair via break-induced replication
GO:0000729,DNA double-strand break processing
GO:0000730,DNA recombinase assembly
GO:0000731,DNA synthesis involved in DNA repair
GO:0000737,"DNA catabolic process, endonucleolytic"
GO:0000741,karyogamy
GO:0000819,sister chromatid segregation
GO:0000902,cell morphogenesis
GO:0000904,cell morphogenesis involved in differentiation
GO:0000910,cytokinesis
GO:0000911,cytokinesis by cell plate formation
GO:0000912,assembly of actomyosin apparatus involved in cytokinesis
GO:0000914,phragmoplast assembly
GO:0000917,division septum assembly
GO:0000918,division septum site selection
GO:0000919,cell plate assembly
GO:0000956,nuclear-transcribed mRNA catabolic process
GO:0000957,mitochondrial RNA catabolic process
GO:0000958,mitochondrial mRNA catabolic process
GO:0000959,mitochondrial RNA metabolic process
GO:0000963,mitochondrial RNA processing
GO:0000965,mitochondrial RNA 3'-end processing
GO:0000966,RNA 5'-end processing
GO:0000967,rRNA 5'-end processing
GO:0000972,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000973,post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0001101,response to acid chemical
GO:0001112,DNA-templated transcription open complex formation
GO:0001113,transcription open complex formation at RNA polymerase II promoter
GO:0001120,protein-DNA complex remodeling
GO:0001172,RNA-templated transcription
GO:0001188,RNA polymerase I preinitiation complex assembly
GO:0001192,maintenance of transcriptional fidelity during transcription elongation
GO:0001193,maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II
GO:0001325,formation of extrachromosomal circular DNA
GO:0001510,RNA methylation
GO:0001516,prostaglandin biosynthetic process
GO:0001522,pseudouridine synthesis
GO:0001525,angiogenesis
GO:0001539,cilium or flagellum-dependent cell motility
GO:0001558,regulation of cell growth
GO:0001561,fatty acid alpha-oxidation
GO:0001568,blood vessel development
GO:0001578,microtubule bundle formation
GO:0001666,response to hypoxia
GO:0001676,long-chain fatty acid metabolic process
GO:0001678,cellular glucose homeostasis
GO:0001680,tRNA 3'-terminal CCA addition
GO:0001682,tRNA 5'-leader removal
GO:0001708,cell fate specification
GO:0001709,cell fate determination
GO:0001731,formation of translation preinitiation complex
GO:0001732,formation of cytoplasmic translation initiation complex
GO:0001763,morphogenesis of a branching structure
GO:0001906,cell killing
GO:0001932,regulation of protein phosphorylation
GO:0001933,negative regulation of protein phosphorylation
GO:0001934,positive regulation of protein phosphorylation
GO:0001944,vasculature development
GO:0002084,protein depalmitoylation
GO:0002097,tRNA wobble base modification
GO:0002098,tRNA wobble uridine modification
GO:0002100,tRNA wobble adenosine to inosine editing
GO:0002128,tRNA nucleoside ribose methylation
GO:0002143,tRNA wobble position uridine thiolation
GO:0002181,cytoplasmic translation
GO:0002182,cytoplasmic translational elongation
GO:0002183,cytoplasmic translational initiation
GO:0002184,cytoplasmic translational termination
GO:0002188,translation reinitiation
GO:0002191,cap-dependent translational initiation
GO:0002218,activation of innate immune response
GO:0002229,defense response to oomycetes
GO:0002237,response to molecule of bacterial origin
GO:0002239,response to oomycetes
GO:0002252,immune effector process
GO:0002253,activation of immune response
GO:0002376,immune system process
GO:0002682,regulation of immune system process
GO:0002684,positive regulation of immune system process
GO:0002831,regulation of response to biotic stimulus
GO:0002833,positive regulation of response to biotic stimulus
GO:0002926,tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation
GO:0002938,tRNA guanine ribose methylation
GO:0002939,tRNA N1-guanine methylation
GO:0002940,tRNA N2-guanine methylation
GO:0002943,tRNA dihydrouridine synthesis
GO:0002949,tRNA threonylcarbamoyladenosine modification
GO:0003002,regionalization
GO:0003006,developmental process involved in reproduction
GO:0003032,detection of oxygen
GO:0003333,amino acid transmembrane transport
