mf,name
GO:0000009,"alpha-1,6-mannosyltransferase activity"
GO:0000014,single-stranded DNA endodeoxyribonuclease activity
GO:0000026,"alpha-1,2-mannosyltransferase activity"
GO:0000030,mannosyltransferase activity
GO:0000033,"alpha-1,3-mannosyltransferase activity"
GO:0000035,acyl binding
GO:0000036,acyl carrier activity
GO:0000049,tRNA binding
GO:0000062,fatty-acyl-CoA binding
GO:0000064,L-ornithine transmembrane transporter activity
GO:0000095,S-adenosyl-L-methionine transmembrane transporter activity
GO:0000099,sulfur amino acid transmembrane transporter activity
GO:0000104,succinate dehydrogenase activity
GO:0000107,imidazoleglycerol-phosphate synthase activity
GO:0000146,microfilament motor activity
GO:0000149,SNARE binding
GO:0000150,DNA strand exchange activity
GO:0000155,phosphorelay sensor kinase activity
GO:0000166,nucleotide binding
GO:0000175,3'-5'-exoribonuclease activity
GO:0000179,"rRNA (adenine-N6,N6-)-dimethyltransferase activity"
GO:0000210,NAD+ diphosphatase activity
GO:0000213,tRNA-intron endonuclease activity
GO:0000215,tRNA 2'-phosphotransferase activity
GO:0000217,DNA secondary structure binding
GO:0000225,N-acetylglucosaminylphosphatidylinositol deacetylase activity
GO:0000234,phosphoethanolamine N-methyltransferase activity
GO:0000247,C-8 sterol isomerase activity
GO:0000248,C-5 sterol desaturase activity
GO:0000254,C-4 methylsterol oxidase activity
GO:0000257,nitrilase activity
GO:0000268,peroxisome targeting sequence binding
GO:0000285,1-phosphatidylinositol-3-phosphate 5-kinase activity
GO:0000287,magnesium ion binding
GO:0000293,ferric-chelate reductase activity
GO:0000295,adenine nucleotide transmembrane transporter activity
GO:0000309,nicotinamide-nucleotide adenylyltransferase activity
GO:0000339,RNA cap binding
GO:0000340,RNA 7-methylguanosine cap binding
GO:0000400,four-way junction DNA binding
GO:0000403,Y-form DNA binding
GO:0000406,double-strand/single-strand DNA junction binding
GO:0000700,mismatch base pair DNA N-glycosylase activity
GO:0000701,purine-specific mismatch base pair DNA N-glycosylase activity
GO:0000702,oxidized base lesion DNA N-glycosylase activity
GO:0000703,oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
GO:0000773,phosphatidyl-N-methylethanolamine N-methyltransferase activity
GO:0000774,adenyl-nucleotide exchange factor activity
GO:0000822,inositol hexakisphosphate binding
GO:0000823,"inositol-1,4,5-trisphosphate 6-kinase activity"
GO:0000827,"inositol-1,3,4,5,6-pentakisphosphate kinase activity"
GO:0000828,inositol hexakisphosphate kinase activity
GO:0000829,inositol heptakisphosphate kinase activity
GO:0000832,inositol hexakisphosphate 5-kinase activity
GO:0000906,"6,7-dimethyl-8-ribityllumazine synthase activity"
GO:0000976,transcription cis-regulatory region binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000987,cis-regulatory region sequence-specific DNA binding
GO:0000992,RNA polymerase III cis-regulatory region sequence-specific DNA binding
GO:0000993,RNA polymerase II complex binding
GO:0000994,RNA polymerase III core binding
GO:0000995,RNA polymerase III general transcription initiation factor activity
GO:0001006,RNA polymerase III type 3 promoter sequence-specific DNA binding
GO:0001016,RNA polymerase III transcription regulatory region sequence-specific DNA binding
GO:0001025,RNA polymerase III general transcription initiation factor binding
GO:0001042,RNA polymerase I core binding
GO:0001046,core promoter sequence-specific DNA binding
GO:0001054,RNA polymerase I activity
GO:0001055,RNA polymerase II activity
GO:0001056,RNA polymerase III activity
GO:0001067,transcription regulatory region nucleic acid binding
GO:0001091,RNA polymerase II general transcription initiation factor binding
GO:0001096,TFIIF-class transcription factor complex binding
GO:0001098,basal transcription machinery binding
GO:0001099,basal RNA polymerase II transcription machinery binding
GO:0001156,TFIIIC-class transcription factor complex binding
GO:0001163,RNA polymerase I transcription regulatory region sequence-specific DNA binding
GO:0001164,RNA polymerase I core promoter sequence-specific DNA binding
GO:0001181,RNA polymerase I general transcription initiation factor activity
GO:0001216,DNA-binding transcription activator activity
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific"
GO:0001653,peptide receptor activity
GO:0001664,G protein-coupled receptor binding
GO:0001671,ATPase activator activity
GO:0001716,L-amino-acid oxidase activity
GO:0001727,lipid kinase activity
GO:0001729,ceramide kinase activity
GO:0001735,prenylcysteine oxidase activity
GO:0001882,nucleoside binding
GO:0002020,protease binding
GO:0002054,nucleobase binding
GO:0002058,uracil binding
GO:0002061,pyrimidine nucleobase binding
GO:0002083,4-hydroxybenzoate decaprenyltransferase activity
GO:0002094,polyprenyltransferase activity
GO:0002151,G-quadruplex RNA binding
GO:0002161,aminoacyl-tRNA editing activity
GO:0002953,5'-deoxynucleotidase activity
GO:0003674,molecular_function
GO:0003676,nucleic acid binding
GO:0003677,DNA binding
GO:0003678,DNA helicase activity
GO:0003680,minor groove of adenine-thymine-rich DNA binding
GO:0003681,bent DNA binding
GO:0003682,chromatin binding
GO:0003684,damaged DNA binding
GO:0003688,DNA replication origin binding
GO:0003689,DNA clamp loader activity
GO:0003690,double-stranded DNA binding
GO:0003691,double-stranded telomeric DNA binding
GO:0003697,single-stranded DNA binding
GO:0003700,DNA-binding transcription factor activity
GO:0003712,transcription coregulator activity
GO:0003713,transcription coactivator activity
GO:0003714,transcription corepressor activity
GO:0003720,telomerase activity
GO:0003723,RNA binding
GO:0003724,RNA helicase activity
GO:0003725,double-stranded RNA binding
GO:0003726,double-stranded RNA adenosine deaminase activity
GO:0003727,single-stranded RNA binding
