gene_id	gene_biotype
ENSRNA049445106	pre_miRNA
ENSRNA049445117	pre_miRNA
ENSRNA049445137	pre_miRNA
ENSRNA049445216	pre_miRNA
ENSRNA049445498	pre_miRNA
ENSRNA049445515	pre_miRNA
ENSRNA049445684	pre_miRNA
ENSRNA049445800	pre_miRNA
ENSRNA049445919	pre_miRNA
ENSRNA049446139	pre_miRNA
ENSRNA049446216	pre_miRNA
ENSRNA049446320	pre_miRNA
ENSRNA049446340	pre_miRNA
ENSRNA049446385	pre_miRNA
ENSRNA049446397	pre_miRNA
ENSRNA049446459	pre_miRNA
ENSRNA049446588	pre_miRNA
ENSRNA049446700	pre_miRNA
ENSRNA049446735	pre_miRNA
ENSRNA049446835	pre_miRNA
ENSRNA049447239	pre_miRNA
ENSRNA049447286	pre_miRNA
ENSRNA049447409	pre_miRNA
ENSRNA049447642	pre_miRNA
ENSRNA049447666	pre_miRNA
ENSRNA049447678	pre_miRNA
ENSRNA049447847	pre_miRNA
ENSRNA049447984	pre_miRNA
ENSRNA049448068	pre_miRNA
ENSRNA049448089	pre_miRNA
ENSRNA049448256	pre_miRNA
ENSRNA049448400	pre_miRNA
ENSRNA049448408	pre_miRNA
ENSRNA049448421	pre_miRNA
ENSRNA049448436	pre_miRNA
ENSRNA049448532	pre_miRNA
ENSRNA049448688	pre_miRNA
ENSRNA049448794	pre_miRNA
ENSRNA049448827	pre_miRNA
ENSRNA049448853	pre_miRNA
ENSRNA049448904	pre_miRNA
ENSRNA049449095	pre_miRNA
ENSRNA049449107	pre_miRNA
ENSRNA049449114	pre_miRNA
ENSRNA049449279	pre_miRNA
ENSRNA049449488	pre_miRNA
ENSRNA049449675	pre_miRNA
ENSRNA049450052	pre_miRNA
ENSRNA049450132	pre_miRNA
ENSRNA049450140	pre_miRNA
ENSRNA049450200	pre_miRNA
ENSRNA049450340	pre_miRNA
ENSRNA049450354	pre_miRNA
ENSRNA049450360	pre_miRNA
ENSRNA049450516	pre_miRNA
ENSRNA049450524	pre_miRNA
ENSRNA049450655	pre_miRNA
ENSRNA049451115	pre_miRNA
ENSRNA049451217	pre_miRNA
ENSRNA049451234	pre_miRNA
ENSRNA049451408	pre_miRNA
ENSRNA049451418	pre_miRNA
ENSRNA049451479	pre_miRNA
ENSRNA049451548	pre_miRNA
ENSRNA049451809	pre_miRNA
ENSRNA049451816	pre_miRNA
