external_gene_name	ENTREZID	GO	GENENAME	GOTERM	Description_Ensembl	Uniprot_ID	PANTHER_Family_name	PANTHER_SF_name	Description_NCBI	ALIAS	lfc_HeatStress_SAHA	lfc_PE_SAHA	Crep1	Crep2	Crep3	Trep1	Trep2	Trep3	VMrep1	VMrep2	VMrep3	PErep1	PErep2
BnaA01g00570D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  3.05	LFC PE-SAHA :  2.01	5.60132953050122	5.36173097321736	6.37468662624083	7.06793725949369	7.835187034064	7.64658927425429	3.92850955277269	3.54562306975176	3.76727529500865	4.28261033607098	5.03758098694227
BnaA01g04910D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  1.48	LFC PE-SAHA :  1.35	8.05030811769046	8.44355281054509	8.35552595623366	9.54098202006374	9.70324588727912	9.55702743201143	7.06236305805949	6.6756298030263	6.74502222676117	8.14099909177203	7.90654685209373
BnaA01g06630D	106392644	NA	NA	NA	WAT1-related protein	A0A078GRU6	WAT1-RELATED PROTEIN	WAT1-RELATED PROTEIN	WAT1-related protein At4g30420	LOC106392644	LFC HeatStress-SAHA :  1.61	LFC PE-SAHA :  1.85	5.47259258417731	5.310196354519	5.56410638323096	7.09569958381757	6.85926472300625	6.7700258102515	4.91758469502937	4.41624494445414	5.08964358819451	5.75445608747569	5.72700047117415
BnaA01g07310D	NA	NA	NA	NA	BnaA01g07310D protein	A0A078I357	CYSTATIN/MONELLIN SUPERFAMILY PROTEIN	BNAA01G07310D PROTEIN	NA	NA	LFC HeatStress-SAHA :  -1.16	LFC PE-SAHA :  -1.46	7.13379011006927	8.14525525462434	7.31360921713118	6.28475563575213	6.61937505688257	6.02156797264957	8.02576281729836	8.12381821478738	8.29574058786533	7.46145178066236	7.9285467144917
BnaA01g08450D	106400051	NA	NA	NA	BnaA01g08450D protein	A0A078HBP7	OS05G0244600 PROTEIN	BNAC01G10000D PROTEIN	uncharacterized protein At4g28440	BNAA01G08450D	LFC HeatStress-SAHA :  -1.72	LFC PE-SAHA :  -1.64	8.70629265563416	8.83738745541305	8.7098236817177	6.42352595440059	7.51655131420942	7.48877067211568	9.0473207686911	9.25518582907176	9.34858167683775	8.54201321757224	8.10792741921918
BnaA01g08490D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  -1.9	LFC PE-SAHA :  -1.7	8.97538972346598	8.50527343302783	9.06370700228016	6.77324333066458	7.31723121902965	7.62146035294917	8.83156353791916	8.82278238573504	8.9650751380726	8.01690304713887	7.62593682067273
BnaA01g08860D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  2.32	LFC PE-SAHA :  2.26	4.51695781958276	5.310196354519	5.32335940076418	6.68440126013221	6.70390466354966	6.99606280617921	3.99693432742068	4.1945736584361	4.48880102006087	5.34542336145532	5.30906151160322
BnaA01g10200D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  -3.58	LFC PE-SAHA :  -4.64	5.95964188421188	5.63519892633828	5.5192797046479	3.04479714941578	3.04479714941578	4.09894218579496	5.57132686553293	5.49605133491286	5.44179997399424	5.29674830552282	4.80070380288271
BnaA01g10370D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  -1.07	LFC PE-SAHA :  -1.23	8.00590187599795	7.13400545787939	8.02342222621965	6.84053574507767	6.84694488343759	6.30315857791816	7.54719744996622	7.71460257271349	7.53286149297059	7.37409734463907	6.81467424209458
BnaA01g11350D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  -1.36	LFC PE-SAHA :  -2.52	8.16916280675243	8.05053572609184	8.09180650051212	5.89514537497588	5.96721614532908	5.91353814228593	7.71405331202245	7.99895960888575	7.80959179788698	7.86518079091104	7.48447941879998
BnaA01g12060D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  -1.62	LFC PE-SAHA :  -1.72	7.06312055092177	7.52998067191598	7.4818407337592	6.66594821234165	5.09402043261368	5.56384342149705	8.41840605058935	7.65463483974072	7.76467390993366	7.75722560884514	6.92863416394687
BnaA01g13840D	NA	NA	NA	NA	BnaA01g13840D protein	NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  3.25	LFC PE-SAHA :  2.6	4.69585512241442	4.5394543368795	4.8888915028344	5.61103855243904	7.0539240729797	6.5012799532046	3.04479714941578	3.39981898719491	3.55830633970976	3.61184319933665	3.86821440066085
BnaA01g14080D	NA	NA	NA	NA	BnaA01g14080D protein	A0A078H6V6	HIGH-AFFINITY NITRATE TRANSPORTER 3.2	HIGH-AFFINITY NITRATE TRANSPORTER 3.2	NA	NA	LFC HeatStress-SAHA :  2.39	LFC PE-SAHA :  2.26	5.4267991764783	5.75373598512973	6.07398221645291	8.01727780354379	7.71200949504447	7.24711592940067	4.27644113041231	4.52978059037498	4.05639435022093	4.66965562627704	5.72700047117415
