gene_id,VMrep1,VMrep2,VMrep3,Trep1,Trep2,Trep3
ENSRNA049434328,1,2,0,0,0,3
ENSRNA049434362,0,0,0,0,0,0
ENSRNA049434373,0,0,0,0,0,0
ENSRNA049434385,0,0,0,0,0,0
ENSRNA049434397,0,0,0,0,0,0
ENSRNA049434430,0,0,0,0,0,0
ENSRNA049434438,0,0,1,0,0,0
ENSRNA049434461,0,0,0,0,0,0
ENSRNA049434471,0,0,0,0,0,0
ENSRNA049434483,0,0,0,0,0,4
ENSRNA049434510,0,0,0,0,0,0
ENSRNA049434513,0,0,0,0,0,0
ENSRNA049434520,0,0,0,0,0,0
ENSRNA049434578,3,8,1,0,0,0
ENSRNA049434609,3,3,4,0,0,7
ENSRNA049434643,0,0,0,0,0,0
ENSRNA049434674,0,0,0,0,0,0
ENSRNA049434700,0,0,0,0,0,0
ENSRNA049434706,0,0,0,0,0,0
ENSRNA049434730,0,0,0,0,0,0
ENSRNA049434737,0,0,0,0,0,0
ENSRNA049434775,0,0,0,0,0,0
ENSRNA049434783,0,0,0,0,0,0
ENSRNA049434805,0,0,0,0,0,0
ENSRNA049434846,0,0,0,0,0,0
ENSRNA049434853,0,0,0,0,0,0
ENSRNA049434860,0,0,0,0,0,0
ENSRNA049434869,0,0,0,0,0,1
ENSRNA049434877,0,0,0,0,0,0
ENSRNA049434882,0,0,0,0,0,0
ENSRNA049434899,0,0,0,0,0,0
ENSRNA049434916,0,0,0,0,0,1
ENSRNA049434921,0,0,0,0,0,0
ENSRNA049434934,0,0,0,0,0,0
ENSRNA049434990,0,0,0,0,0,0
ENSRNA049434993,1,0,1,0,0,0
ENSRNA049435013,0,0,0,0,0,0
ENSRNA049435020,0,0,0,0,0,0
ENSRNA049435043,0,0,0,0,0,0
ENSRNA049435054,0,0,0,0,0,0
ENSRNA049435069,0,0,0,0,0,0
ENSRNA049435082,0,0,0,0,0,0
ENSRNA049435087,0,0,0,0,0,0
ENSRNA049435101,0,0,0,0,0,0
ENSRNA049435105,0,0,0,0,0,0
ENSRNA049435116,0,0,0,0,0,0
ENSRNA049435125,0,0,0,0,0,0
ENSRNA049435140,0,0,0,0,0,0
ENSRNA049435147,0,0,0,0,0,0
ENSRNA049435165,0,0,0,0,0,0
ENSRNA049435169,0,0,0,0,0,0
ENSRNA049435174,0,0,0,0,0,0
ENSRNA049435181,0,0,0,0,0,0
ENSRNA049435193,0,0,0,0,0,0
ENSRNA049435205,0,0,0,0,0,0
ENSRNA049435217,0,0,0,0,0,0
ENSRNA049435240,0,0,0,0,0,0
ENSRNA049435255,0,0,0,0,0,0
ENSRNA049435304,0,0,0,0,0,0
ENSRNA049435311,0,0,0,0,0,0
ENSRNA049435315,0,0,0,0,0,0
ENSRNA049435333,0,0,0,0,0,0
ENSRNA049435343,0,1,0,0,0,0
ENSRNA049435348,0,0,0,0,0,0
ENSRNA049435364,0,0,0,0,0,0
ENSRNA049435375,0,0,0,0,0,0
ENSRNA049435386,0,0,3,0,0,0
