"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0001906","GO:0001906","cell killing",51,0.794439682566682,2.64762681455982,0.000173792144595064,0.00350254518283286,0.0025682333869501,2347,"tags=41%, list=4%, signal=40%","BnaC04g02990D/BnaA05g03390D/BnaA06g34320D/BnaC06g03390D/BnaA05g32220D/BnaC07g21510D/BnaC06g03460D/BnaC04g52990D/BnaA09g50780D/BnaCnng50750D/BnaC06g03430D/BnaA05g11550D/BnaA06g02920D/BnaC08g43580D/BnaAnng40360D/BnaC02g47680D/BnaC08g43600D/BnaAnng39570D/BnaC02g23420D/BnaC08g18880D/BnaCnng29700D"
"GO:0031640","GO:0031640","killing of cells of another organism",51,0.794439682566682,2.64762681455982,0.000173792144595064,0.00350254518283286,0.0025682333869501,2347,"tags=41%, list=4%, signal=40%","BnaC04g02990D/BnaA05g03390D/BnaA06g34320D/BnaC06g03390D/BnaA05g32220D/BnaC07g21510D/BnaC06g03460D/BnaC04g52990D/BnaA09g50780D/BnaCnng50750D/BnaC06g03430D/BnaA05g11550D/BnaA06g02920D/BnaC08g43580D/BnaAnng40360D/BnaC02g47680D/BnaC08g43600D/BnaAnng39570D/BnaC02g23420D/BnaC08g18880D/BnaCnng29700D"
"GO:0006558","GO:0006558","L-phenylalanine metabolic process",40,0.788997616263171,2.51272509648981,0.000175746924428823,0.00350254518283286,0.0025682333869501,5525,"tags=55%, list=8%, signal=50%","BnaC08g24360D/BnaCnng52250D/BnaA06g07360D/BnaA07g16060D/BnaA04g21230D/BnaC09g36370D/BnaC05g42780D/BnaA09g33560D/BnaA10g13820D/BnaA05g28470D/BnaA04g04830D/BnaA02g05780D/BnaCnng34620D/BnaC08g15080D/BnaA04g21240D/BnaC06g14510D/BnaA06g19810D/BnaA06g38260D/BnaA08g25130D/BnaC09g20710D/BnaC05g49430D/BnaC03g53780D"
"GO:1902221","GO:1902221","erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process",40,0.788997616263171,2.51272509648981,0.000175746924428823,0.00350254518283286,0.0025682333869501,5525,"tags=55%, list=8%, signal=50%","BnaC08g24360D/BnaCnng52250D/BnaA06g07360D/BnaA07g16060D/BnaA04g21230D/BnaC09g36370D/BnaC05g42780D/BnaA09g33560D/BnaA10g13820D/BnaA05g28470D/BnaA04g04830D/BnaA02g05780D/BnaCnng34620D/BnaC08g15080D/BnaA04g21240D/BnaC06g14510D/BnaA06g19810D/BnaA06g38260D/BnaA08g25130D/BnaC09g20710D/BnaC05g49430D/BnaC03g53780D"
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process",356,0.56902419967058,2.49011167127855,0.00014421690222094,0.00350254518283286,0.0025682333869501,10669,"tags=42%, list=16%, signal=35%","BnaC08g15900D/BnaA08g24270D/BnaC06g14270D/BnaA09g46260D/BnaC04g25490D/BnaC08g24100D/BnaA07g34980D/BnaA09g22160D/BnaA02g21890D/BnaA02g19260D/BnaC03g70690D/BnaA05g15290D/BnaA02g27140D/BnaC02g33660D/BnaA03g02620D/BnaC03g20200D/BnaA04g03580D/BnaC06g08900D/BnaA03g41740D/BnaA03g10690D/BnaC06g39910D/BnaA09g32770D/BnaC06g37390D/BnaA01g30320D/BnaA04g03590D/BnaC06g34880D/BnaC02g33050D/BnaA07g15900D/BnaA10g19900D/BnaA10g22780D/BnaC03g37820D/BnaA05g10580D/BnaC07g32820D/BnaA05g29640D/BnaA04g28190D/BnaC03g16370D/BnaC03g03720D/BnaA01g33660D/BnaC01g18310D/BnaA02g11520D/BnaA04g12130D/BnaA08g00390D/BnaC05g43970D/BnaAnng05990D/BnaC06g20290D/BnaA01g04740D/BnaA03g02560D/BnaCnng18310D/BnaC04g49950D/BnaC02g42660D/BnaC01g06270D/BnaC02g01030D/BnaC04g25470D/BnaA09g33290D/BnaC02g28980D/BnaA09g30340D/BnaA08g12190D/BnaA07g20290D/BnaA08g31320D/BnaC05g47450D/BnaC02g46710D/BnaA03g32440D/BnaC09g47330D/BnaC05g09880D/BnaC07g13460D/BnaA01g37030D/BnaA07g32860D/BnaAnng21140D/BnaC03g05880D/BnaA01g15410D/BnaC03g67290D/BnaC08g40330D/BnaA03g04340D/BnaA05g33200D/BnaC09g16990D/BnaA10g22870D/BnaC08g24180D/BnaC05g00810D/BnaC07g20530D/BnaC02g01040D/BnaA03g02630D/BnaC09g19920D/BnaC09g47410D/BnaA07g31190D/BnaC05g09740D/BnaC02g04760D/BnaAnng07210D/BnaC08g12140D/BnaC08g23600D/BnaA07g28560D/BnaC02g25850D/BnaC07g19840D/BnaA06g38290D/BnaA09g33340D/BnaC05g50320D/BnaC08g35040D/BnaCnng23600D/BnaC09g43620D/BnaA04g05550D/BnaA04g05280D/BnaC08g35820D/BnaC03g03730D/BnaC01g40210D/BnaA10g22770D/BnaC01g38270D/BnaA05g32320D/BnaA03g36100D/BnaA06g35220D/BnaA07g00920D/BnaA09g51510D/BnaC01g30110D/BnaA06g22820D/BnaA02g24900D/BnaC08g19600D/BnaC04g11660D/BnaCnng33150D/BnaC04g43510D/BnaA03g24090D/BnaC06g31170D/BnaC03g61230D/BnaC05g37710D/BnaC08g25530D/BnaA03g10910D/BnaA06g11220D/BnaA06g35640D/BnaC07g15490D/BnaA06g10900D/BnaA09g01930D/BnaA06g38560D/BnaA01g25280D/BnaC07g47470D/BnaCnng76200D/BnaC09g47340D/BnaC09g26080D/BnaA09g10080D/BnaC05g12760D/BnaCnng66500D/BnaA07g11570D/BnaC03g13370D/BnaC01g31270D/BnaA08g26140D/BnaA04g18560D/BnaA06g14330D/BnaC05g11420D/BnaC03g43100D/BnaA10g00550D/BnaAnng23750D/BnaC01g18320D"
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process",359,0.56632858394464,2.48119015978476,0.000144050705848459,0.00350254518283286,0.0025682333869501,10669,"tags=42%, list=16%, signal=35%","BnaC08g15900D/BnaA08g24270D/BnaC06g14270D/BnaA09g46260D/BnaC04g25490D/BnaC08g24100D/BnaA07g34980D/BnaA09g22160D/BnaA02g21890D/BnaA02g19260D/BnaC03g70690D/BnaA05g15290D/BnaA02g27140D/BnaC02g33660D/BnaA03g02620D/BnaC03g20200D/BnaA04g03580D/BnaC06g08900D/BnaA03g41740D/BnaA03g10690D/BnaC06g39910D/BnaA09g32770D/BnaC06g37390D/BnaA01g30320D/BnaA04g03590D/BnaC06g34880D/BnaC02g33050D/BnaA07g15900D/BnaA10g19900D/BnaA10g22780D/BnaC03g37820D/BnaA05g10580D/BnaC07g32820D/BnaA05g29640D/BnaA04g28190D/BnaC03g16370D/BnaC03g03720D/BnaA01g33660D/BnaC01g18310D/BnaA02g11520D/BnaA04g12130D/BnaA08g00390D/BnaC05g43970D/BnaAnng05990D/BnaC06g20290D/BnaA01g04740D/BnaA03g02560D/BnaCnng18310D/BnaC04g49950D/BnaC02g42660D/BnaC01g06270D/BnaC02g01030D/BnaC04g25470D/BnaA09g33290D/BnaC02g28980D/BnaA09g30340D/BnaA08g12190D/BnaA07g20290D/BnaA08g31320D/BnaC05g47450D/BnaC02g46710D/BnaA03g32440D/BnaC09g47330D/BnaC05g09880D/BnaC07g13460D/BnaA01g37030D/BnaA07g32860D/BnaAnng21140D/BnaC03g05880D/BnaA01g15410D/BnaC03g67290D/BnaC08g40330D/BnaA03g04340D/BnaA05g33200D/BnaC09g16990D/BnaA10g22870D/BnaC08g24180D/BnaC05g00810D/BnaC07g20530D/BnaC02g01040D/BnaA03g02630D/BnaC09g19920D/BnaC09g47410D/BnaA07g31190D/BnaC05g09740D/BnaC02g04760D/BnaAnng07210D/BnaC08g12140D/BnaC08g23600D/BnaA07g28560D/BnaC02g25850D/BnaC07g19840D/BnaA06g38290D/BnaA09g33340D/BnaC05g50320D/BnaC08g35040D/BnaCnng23600D/BnaC09g43620D/BnaA04g05550D/BnaA04g05280D/BnaC08g35820D/BnaC03g03730D/BnaC01g40210D/BnaA10g22770D/BnaC01g38270D/BnaA05g32320D/BnaA03g36100D/BnaA06g35220D/BnaA07g00920D/BnaA09g51510D/BnaC01g30110D/BnaA06g22820D/BnaA02g24900D/BnaC08g19600D/BnaC04g11660D/BnaCnng33150D/BnaC04g43510D/BnaA03g24090D/BnaC06g31170D/BnaC03g61230D/BnaC05g37710D/BnaC08g25530D/BnaA03g10910D/BnaA06g11220D/BnaA06g35640D/BnaC07g15490D/BnaA06g10900D/BnaA09g01930D/BnaA06g38560D/BnaA01g25280D/BnaAnng33680D/BnaC07g47470D/BnaCnng76200D/BnaC09g47340D/BnaC09g26080D/BnaA09g10080D/BnaC05g12760D/BnaCnng66500D/BnaA07g11570D/BnaC03g13370D/BnaC01g31270D/BnaA08g26140D/BnaA04g18560D/BnaA06g14330D/BnaC05g11420D/BnaC03g43100D/BnaA10g00550D/BnaAnng23750D/BnaC01g18320D"
"GO:0046034","GO:0046034","ATP metabolic process",339,0.566892640822752,2.46925259470839,0.0001453065969195,0.00350254518283286,0.0025682333869501,10669,"tags=42%, list=16%, signal=35%","BnaC08g15900D/BnaA08g24270D/BnaC06g14270D/BnaA09g46260D/BnaC04g25490D/BnaC08g24100D/BnaA07g34980D/BnaA02g19260D/BnaA05g15290D/BnaA02g27140D/BnaC02g33660D/BnaA03g02620D/BnaC03g20200D/BnaA04g03580D/BnaC06g08900D/BnaA03g41740D/BnaA03g10690D/BnaC06g39910D/BnaA09g32770D/BnaC06g37390D/BnaA01g30320D/BnaA04g03590D/BnaC06g34880D/BnaC02g33050D/BnaA07g15900D/BnaA10g19900D/BnaA10g22780D/BnaC03g37820D/BnaA05g10580D/BnaC07g32820D/BnaA05g29640D/BnaA04g28190D/BnaC03g16370D/BnaC03g03720D/BnaA01g33660D/BnaC01g18310D/BnaA02g11520D/BnaA04g12130D/BnaC05g43970D/BnaAnng05990D/BnaC06g20290D/BnaA01g04740D/BnaA03g02560D/BnaCnng18310D/BnaC04g49950D/BnaC02g42660D/BnaC01g06270D/BnaC02g01030D/BnaC04g25470D/BnaA09g33290D/BnaA09g30340D/BnaA08g12190D/BnaA07g20290D/BnaA08g31320D/BnaC05g47450D/BnaC02g46710D/BnaA03g32440D/BnaC09g47330D/BnaC05g09880D/BnaC07g13460D/BnaA01g37030D/BnaA07g32860D/BnaAnng21140D/BnaC03g05880D/BnaA01g15410D/BnaC03g67290D/BnaC08g40330D/BnaA03g04340D/BnaA05g33200D/BnaC09g16990D/BnaA10g22870D/BnaC08g24180D/BnaC05g00810D/BnaC07g20530D/BnaC02g01040D/BnaA03g02630D/BnaC09g19920D/BnaC09g47410D/BnaA07g31190D/BnaC05g09740D/BnaC02g04760D/BnaAnng07210D/BnaC08g12140D/BnaC08g23600D/BnaA07g28560D/BnaC02g25850D/BnaC07g19840D/BnaA06g38290D/BnaA09g33340D/BnaC05g50320D/BnaC08g35040D/BnaCnng23600D/BnaC09g43620D/BnaA04g05550D/BnaA04g05280D/BnaC08g35820D/BnaC03g03730D/BnaC01g40210D/BnaA10g22770D/BnaC01g38270D/BnaA05g32320D/BnaA03g36100D/BnaA06g35220D/BnaA07g00920D/BnaA09g51510D/BnaC01g30110D/BnaA06g22820D/BnaA02g24900D/BnaC08g19600D/BnaC04g11660D/BnaCnng33150D/BnaC04g43510D/BnaA03g24090D/BnaC06g31170D/BnaC03g61230D/BnaC05g37710D/BnaC08g25530D/BnaA03g10910D/BnaA06g11220D/BnaA06g35640D/BnaC07g15490D/BnaA06g10900D/BnaA09g01930D/BnaA06g38560D/BnaA01g25280D/BnaC07g47470D/BnaCnng76200D/BnaC09g47340D/BnaA09g10080D/BnaC05g12760D/BnaCnng66500D/BnaA07g11570D/BnaC03g13370D/BnaC01g31270D/BnaA08g26140D/BnaA04g18560D/BnaA06g14330D/BnaC05g11420D/BnaC03g43100D/BnaA10g00550D/BnaAnng23750D/BnaC01g18320D"
"GO:0009199","GO:0009199","ribonucleoside triphosphate metabolic process",386,0.550997513398427,2.42851553930917,0.000143245953301819,0.00350254518283286,0.0025682333869501,10669,"tags=39%, list=16%, signal=33%","BnaC08g15900D/BnaA08g24270D/BnaC06g14270D/BnaA09g46260D/BnaC04g25490D/BnaC08g24100D/BnaA07g34980D/BnaA09g22160D/BnaA02g21890D/BnaA02g19260D/BnaC03g70690D/BnaA05g15290D/BnaA02g27140D/BnaC02g33660D/BnaA03g02620D/BnaC03g20200D/BnaA04g03580D/BnaC06g08900D/BnaA03g41740D/BnaA03g10690D/BnaC06g39910D/BnaA09g32770D/BnaC06g37390D/BnaA01g30320D/BnaA04g03590D/BnaC06g34880D/BnaC02g33050D/BnaA07g15900D/BnaA10g19900D/BnaA10g22780D/BnaC03g37820D/BnaA05g10580D/BnaC07g32820D/BnaA05g29640D/BnaA04g28190D/BnaC03g16370D/BnaC03g03720D/BnaA01g33660D/BnaC01g18310D/BnaA02g11520D/BnaA04g12130D/BnaA08g00390D/BnaC05g43970D/BnaAnng05990D/BnaC06g20290D/BnaA01g04740D/BnaA03g02560D/BnaCnng18310D/BnaC04g49950D/BnaC02g42660D/BnaC01g06270D/BnaC03g70860D/BnaC02g01030D/BnaC04g25470D/BnaA09g33290D/BnaC02g28980D/BnaA09g30340D/BnaA08g12190D/BnaA07g20290D/BnaA08g31320D/BnaC05g47450D/BnaC02g46710D/BnaA03g32440D/BnaC09g47330D/BnaC05g09880D/BnaC07g13460D/BnaA01g37030D/BnaA07g32860D/BnaAnng21140D/BnaC03g05880D/BnaA01g15410D/BnaC03g67290D/BnaC08g40330D/BnaA03g04340D/BnaA05g33200D/BnaC09g16990D/BnaA10g22870D/BnaC08g24180D/BnaC05g00810D/BnaC07g20530D/BnaC02g01040D/BnaA03g02630D/BnaC09g19920D/BnaC09g47410D/BnaA07g31190D/BnaC05g09740D/BnaC02g04760D/BnaAnng07210D/BnaC08g12140D/BnaC08g23600D/BnaA07g28560D/BnaC02g25850D/BnaC07g19840D/BnaA06g38290D/BnaA09g33340D/BnaC05g50320D/BnaC08g35040D/BnaCnng23600D/BnaC09g43620D/BnaA04g05550D/BnaA04g05280D/BnaC08g35820D/BnaC03g03730D/BnaC01g40210D/BnaA10g22770D/BnaC01g38270D/BnaA05g32320D/BnaA03g36100D/BnaA06g35220D/BnaA07g00920D/BnaA09g51510D/BnaC01g30110D/BnaA06g22820D/BnaA02g24900D/BnaC08g19600D/BnaC04g11660D/BnaCnng33150D/BnaC04g43510D/BnaA03g24090D/BnaC02g36730D/BnaC06g31170D/BnaC03g61230D/BnaC05g37710D/BnaC08g25530D/BnaA03g10910D/BnaA06g11220D/BnaA06g35640D/BnaC07g15490D/BnaA06g10900D/BnaA09g01930D/BnaA06g38560D/BnaA01g25280D/BnaC07g47470D/BnaCnng76200D/BnaA02g20460D/BnaC09g47340D/BnaC09g26080D/BnaA09g10080D/BnaC05g12760D/BnaCnng66500D/BnaA07g11570D/BnaC03g13370D/BnaC01g31270D/BnaA08g26140D/BnaA04g18560D/BnaA06g14330D/BnaC05g11420D/BnaC03g43100D/BnaA10g00550D/BnaAnng23750D/BnaC01g18320D"
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process",401,0.542670982032491,2.40029788976169,0.000142633005277421,0.00350254518283286,0.0025682333869501,10669,"tags=38%, list=16%, signal=32%","BnaC08g15900D/BnaA08g24270D/BnaC06g14270D/BnaA09g46260D/BnaC04g25490D/BnaC08g24100D/BnaA07g34980D/BnaA09g22160D/BnaA02g21890D/BnaA02g19260D/BnaC03g70690D/BnaA05g15290D/BnaA02g27140D/BnaC02g33660D/BnaA03g02620D/BnaC03g20200D/BnaA04g03580D/BnaC06g08900D/BnaA03g41740D/BnaA03g10690D/BnaC06g39910D/BnaA09g32770D/BnaC06g37390D/BnaA01g30320D/BnaA04g03590D/BnaC06g34880D/BnaC02g33050D/BnaA07g15900D/BnaA10g19900D/BnaA10g22780D/BnaC03g37820D/BnaA05g10580D/BnaC07g32820D/BnaA05g29640D/BnaA04g28190D/BnaC03g16370D/BnaC03g03720D/BnaA01g33660D/BnaC01g18310D/BnaA02g11520D/BnaA04g12130D/BnaA08g00390D/BnaC05g43970D/BnaAnng05990D/BnaC06g20290D/BnaA01g04740D/BnaA03g02560D/BnaCnng18310D/BnaC04g49950D/BnaC02g42660D/BnaC01g06270D/BnaC03g70860D/BnaC02g01030D/BnaC04g25470D/BnaA09g33290D/BnaC02g28980D/BnaA09g30340D/BnaA08g12190D/BnaA07g20290D/BnaA08g31320D/BnaC05g47450D/BnaC02g46710D/BnaA03g32440D/BnaC09g47330D/BnaC05g09880D/BnaC07g13460D/BnaA01g37030D/BnaA07g32860D/BnaAnng21140D/BnaC03g05880D/BnaA01g15410D/BnaC03g67290D/BnaC08g40330D/BnaA03g04340D/BnaA05g33200D/BnaC09g16990D/BnaA10g22870D/BnaC08g24180D/BnaC05g00810D/BnaC07g20530D/BnaC02g01040D/BnaA03g02630D/BnaC09g19920D/BnaC09g47410D/BnaA07g31190D/BnaC05g09740D/BnaC02g04760D/BnaAnng07210D/BnaC08g12140D/BnaC08g23600D/BnaA07g28560D/BnaC02g25850D/BnaC07g19840D/BnaA06g38290D/BnaA09g33340D/BnaC05g50320D/BnaC08g35040D/BnaCnng23600D/BnaC09g43620D/BnaA04g05550D/BnaA04g05280D/BnaC08g35820D/BnaC03g03730D/BnaC01g40210D/BnaA10g22770D/BnaC01g38270D/BnaA05g32320D/BnaA03g36100D/BnaA06g35220D/BnaA07g00920D/BnaA09g51510D/BnaC01g30110D/BnaA06g22820D/BnaA02g24900D/BnaC08g19600D/BnaC04g11660D/BnaCnng33150D/BnaC04g43510D/BnaA03g24090D/BnaC02g36730D/BnaC06g31170D/BnaC03g61230D/BnaC05g37710D/BnaC08g25530D/BnaA03g10910D/BnaA06g11220D/BnaA06g35640D/BnaC07g15490D/BnaA06g10900D/BnaA09g01930D/BnaA06g38560D/BnaA01g25280D/BnaAnng33680D/BnaC07g47470D/BnaCnng76200D/BnaA02g20460D/BnaC09g47340D/BnaC09g26080D/BnaA09g10080D/BnaC05g12760D/BnaCnng00350D/BnaCnng66500D/BnaA07g11570D/BnaC03g13370D/BnaC01g31270D/BnaA08g26140D/BnaA04g18560D/BnaA06g14330D/BnaC05g11420D/BnaC03g43100D/BnaA10g00550D/BnaAnng23750D/BnaC01g18320D"
"GO:0006026","GO:0006026","aminoglycan catabolic process",43,0.742614932873722,2.40005452056704,0.000174337517433752,0.00350254518283286,0.0025682333869501,3840,"tags=44%, list=6%, signal=42%","BnaC05g01140D/BnaC05g40680D/BnaA10g03880D/BnaA05g26640D/BnaA10g01020D/BnaA09g00340D/BnaC08g01540D/BnaC05g03990D/BnaA01g34980D/BnaC03g24360D/BnaA05g03430D/BnaUnng03570D/BnaA03g56430D/BnaA08g31740D/BnaC03g24340D/BnaC01g41020D/BnaCnng01370D/BnaA03g20340D/BnaC08g25210D"
