"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0008154","GO:0008154","actin polymerization or depolymerization",93,0.692803080556981,2.39843464428844,0.000116049669258443,0.0022297603871832,0.00140705673827418,7550,"tags=39%, list=11%, signal=35%","BnaA01g07530D/BnaC03g77670D/BnaC09g28350D/BnaC03g13000D/BnaA08g31000D/BnaA03g47540D/BnaA08g13460D/BnaA07g01000D/BnaA09g10010D/BnaC07g39790D/BnaCnng75650D/BnaA03g19590D/BnaC09g32910D/BnaC07g41910D/BnaC09g20480D/BnaC04g02110D/BnaA02g10950D/BnaA03g12630D/BnaA03g49520D/BnaC03g23480D/BnaC03g15490D/BnaC01g17460D/BnaA01g14820D/BnaA05g11500D/BnaA09g18560D/BnaA10g11370D/BnaCnng66250D/BnaC04g13550D/BnaC02g11610D/BnaA10g07470D/BnaC01g09200D/BnaC02g15240D/BnaCnng17680D/BnaA02g08200D/BnaA09g14200D/BnaA01g34880D"
"GO:0030042","GO:0030042","actin filament depolymerization",55,0.743984467190673,2.3905676646772,0.000125628140703518,0.0022297603871832,0.00140705673827418,6555,"tags=47%, list=9%, signal=43%","BnaC09g28350D/BnaC03g13000D/BnaA08g31000D/BnaA03g47540D/BnaC07g39790D/BnaCnng75650D/BnaA03g19590D/BnaC09g32910D/BnaC09g20480D/BnaC04g02110D/BnaA02g10950D/BnaA03g12630D/BnaC03g23480D/BnaC03g15490D/BnaC01g17460D/BnaA01g14820D/BnaA05g11500D/BnaA09g18560D/BnaA10g11370D/BnaCnng66250D/BnaC04g13550D/BnaC02g11610D/BnaA10g07470D/BnaC02g15240D/BnaCnng17680D/BnaA02g08200D"
"GO:0042545","GO:0042545","cell wall modification",145,0.639816129632264,2.31818957967188,0.000110120030833609,0.0022297603871832,0.00140705673827418,11082,"tags=43%, list=16%, signal=36%","BnaA10g23860D/BnaCnng76410D/BnaA05g00810D/BnaC09g48600D/BnaA10g23870D/BnaCnng66900D/BnaAnng13700D/BnaA03g34410D/BnaA03g29100D/BnaCnng75130D/BnaC02g01620D/BnaC06g18400D/BnaAnng13710D/BnaC03g72420D/BnaC04g21470D/BnaC03g26740D/BnaC02g01630D/BnaC03g34350D/BnaA01g32580D/BnaCnng60750D/BnaA07g19220D/BnaC03g39840D/BnaC07g28310D/BnaC04g00460D/BnaA03g21590D/BnaC08g47740D/BnaC05g36370D/BnaCnng43010D/BnaA09g03900D/BnaA09g39720D/BnaAnng20820D/BnaA02g30620D/BnaC03g34910D/BnaA05g22940D/BnaAnng28400D/BnaA03g29690D/BnaC09g03330D/BnaCnng73710D/BnaA05g30620D/BnaA03g13120D/BnaA03g02030D/BnaA03g52430D/BnaC07g44170D/BnaA01g03620D/BnaC09g46900D/BnaC01g04960D/BnaA03g22710D/BnaA10g07930D/BnaAnng02770D/BnaC03g34930D/BnaA05g14130D/BnaAnng21510D/BnaA10g22380D/BnaC05g45080D/BnaA01g31480D/BnaC08g30880D/BnaC09g27910D/BnaA10g25280D/BnaC03g75510D/BnaA06g00690D/BnaA04g27070D/BnaC04g04080D"
"GO:0051261","GO:0051261","protein depolymerization",74,0.686019907143445,2.3058538125052,0.000120033609410635,0.0022297603871832,0.00140705673827418,6555,"tags=38%, list=9%, signal=34%","BnaC09g28350D/BnaC03g13000D/BnaA08g31000D/BnaA03g47540D/BnaC07g39790D/BnaCnng75650D/BnaA03g19590D/BnaC09g32910D/BnaC09g20480D/BnaC04g02110D/BnaA02g10950D/BnaA03g12630D/BnaC03g23480D/BnaC03g15490D/BnaC01g17460D/BnaA01g14820D/BnaA05g11500D/BnaA09g18560D/BnaA10g11370D/BnaCnng66250D/BnaC04g13550D/BnaC02g11610D/BnaA06g15380D/BnaA10g07470D/BnaC03g63950D/BnaC02g15240D/BnaCnng17680D/BnaA02g08200D"
"GO:0045490","GO:0045490","pectin catabolic process",225,0.612372718214507,2.29867628123274,0.00010539629005059,0.0022297603871832,0.00140705673827418,7834,"tags=33%, list=11%, signal=30%","BnaA10g23860D/BnaCnng76410D/BnaA05g00810D/BnaC09g48600D/BnaA10g23870D/BnaCnng66900D/BnaC03g32550D/BnaCnng05770D/BnaCnng60280D/BnaAnng13700D/BnaA03g34410D/BnaA03g29100D/BnaA02g26540D/BnaCnng75130D/BnaC02g34750D/BnaC02g01620D/BnaC06g18400D/BnaAnng13710D/BnaC07g21840D/BnaC03g72420D/BnaC04g21470D/BnaC03g26740D/BnaC02g01630D/BnaC03g34350D/BnaC08g00880D/BnaA01g32580D/BnaCnng60750D/BnaA07g19220D/BnaA10g18990D/BnaA08g28010D/BnaC03g39840D/BnaC07g28310D/BnaA06g09240D/BnaA03g08040D/BnaCnng51570D/BnaC04g00460D/BnaA03g21590D/BnaC08g47740D/BnaC05g36370D/BnaA02g02490D/BnaCnng43010D/BnaA09g03900D/BnaA09g39720D/BnaA03g05190D/BnaA08g23970D/BnaAnng20820D/BnaA09g19110D/BnaA02g30620D/BnaCnng42620D/BnaC03g34910D/BnaA03g27540D/BnaA05g22940D/BnaAnng28400D/BnaA03g29690D/BnaC09g03330D/BnaCnng73710D/BnaA05g30620D/BnaC05g10650D/BnaC06g15490D/BnaA03g13120D/BnaA03g02030D/BnaA03g52430D/BnaC07g44170D/BnaC08g39650D/BnaA01g03620D/BnaC09g46900D/BnaC01g04960D/BnaC09g21050D/BnaA03g22710D/BnaA10g07930D/BnaAnng02770D/BnaC03g34930D/BnaA05g14130D/BnaC03g06740D/BnaAnng21510D"
"GO:0048268","GO:0048268","clathrin coat assembly",62,0.695823764261172,2.28312657891005,0.000123122383649347,0.0022297603871832,0.00140705673827418,13787,"tags=60%, list=20%, signal=48%","BnaA10g01650D/BnaC06g29240D/BnaA09g51020D/BnaC05g01680D/BnaC09g53320D/BnaC08g01090D/BnaA07g26840D/BnaAnng12440D/BnaC08g00120D/BnaC02g17750D/BnaC05g03060D/BnaA09g54450D/BnaA08g27320D/BnaA07g37210D/BnaA02g13590D/BnaC09g00100D/BnaA10g11240D/BnaC07g10870D/BnaC08g45820D/BnaA06g09510D/BnaA09g00990D/BnaC05g10880D/BnaA08g28150D/BnaA02g08290D/BnaA02g20710D/BnaC02g11760D/BnaA01g15110D/BnaA01g31170D/BnaA06g34790D/BnaC07g20930D/BnaA10g01640D/BnaC02g27130D/BnaC01g17840D/BnaC05g50410D/BnaC08g08040D/BnaC02g34010D/BnaC03g75610D"
"GO:1901071","GO:1901071","glucosamine-containing compound metabolic process",58,0.697074093826288,2.25841427347029,0.000124812780828757,0.0022297603871832,0.00140705673827418,10833,"tags=57%, list=16%, signal=48%","BnaC03g24290D/BnaC05g48920D/BnaUnng03570D/BnaA05g33760D/BnaA01g34980D/BnaA03g20310D/BnaA03g20330D/BnaAnng27230D/BnaA03g20290D/BnaA06g32020D/BnaC08g25210D/BnaC03g24270D/BnaC01g41020D/BnaC04g49100D/BnaCnng39650D/BnaC03g56970D/BnaC09g43030D/BnaA09g08260D/BnaC05g40680D/BnaA08g24480D/BnaA04g25230D/BnaA07g38690D/BnaC05g01140D/BnaC05g09150D/BnaC06g26260D/BnaC01g38390D/BnaC03g24340D/BnaA05g26640D/BnaC04g48920D/BnaA09g34290D/BnaA10g01020D/BnaA03g56430D/BnaA05g03420D"
"GO:0007015","GO:0007015","actin filament organization",258,0.593708094547321,2.24981738572662,0.000104025798398003,0.0022297603871832,0.00140705673827418,10094,"tags=35%, list=15%, signal=30%","BnaA01g07530D/BnaC03g77670D/BnaC09g28350D/BnaC03g13000D/BnaA08g31000D/BnaA03g47540D/BnaA09g50650D/BnaA08g13460D/BnaA07g01000D/BnaA09g10010D/BnaC07g39790D/BnaCnng75650D/BnaA03g19590D/BnaC09g32910D/BnaC07g41910D/BnaC08g43760D/BnaC09g20480D/BnaCnng08890D/BnaC04g02110D/BnaA02g10950D/BnaC06g11330D/BnaA09g39010D/BnaA03g12630D/BnaA05g02390D/BnaA03g49520D/BnaC03g23480D/BnaC03g15490D/BnaC07g32180D/BnaC01g17460D/BnaA01g14820D/BnaA01g19510D/BnaA05g13390D/BnaC01g42410D/BnaC02g11620D/BnaA05g11500D/BnaCnng47820D/BnaA09g18560D/BnaA10g11370D/BnaA04g26440D/BnaC05g06330D/BnaA03g11760D/BnaAnng08340D/BnaC04g04510D/BnaA08g27960D/BnaAnng14450D/BnaC07g17450D/BnaA06g05060D/BnaA09g09330D/BnaA01g18720D/BnaCnng66250D/BnaC04g50470D/BnaC04g13550D/BnaC02g11610D/BnaA08g26800D/BnaC05g00310D/BnaCnng25790D/BnaA10g07470D/BnaA09g35350D/BnaC09g16350D/BnaA09g15850D/BnaC01g09200D/BnaA02g09690D/BnaUnng05330D/BnaC01g18910D/BnaA01g15820D/BnaC02g15240D/BnaCnng17680D/BnaC02g44600D/BnaC01g42160D/BnaA02g08200D/BnaCnng26840D/BnaA09g31890D/BnaCnng71610D/BnaA09g14200D/BnaA10g07360D/BnaA06g25560D/BnaC03g48060D/BnaC04g05460D/BnaA01g34880D/BnaA04g07490D/BnaC03g14440D/BnaA06g02860D/BnaA05g15910D/BnaA07g29570D/BnaC09g14740D/BnaCnng47770D/BnaC04g17220D/BnaC05g09010D/BnaC09g30960D/BnaCnng61540D"
"GO:0010393","GO:0010393","galacturonan metabolic process",294,0.589578155129865,2.24907527367092,0.000102954802841553,0.0022297603871832,0.00140705673827418,16544,"tags=48%, list=24%, signal=37%","BnaA10g23860D/BnaCnng76410D/BnaA05g00810D/BnaC09g48600D/BnaA10g23870D/BnaCnng66900D/BnaC03g32550D/BnaCnng05770D/BnaCnng60280D/BnaAnng13700D/BnaA03g34410D/BnaA03g29100D/BnaA02g26540D/BnaCnng75130D/BnaC02g06070D/BnaC02g34750D/BnaC02g01620D/BnaC06g18400D/BnaAnng13710D/BnaC07g21840D/BnaC03g06960D/BnaA03g05430D/BnaC03g72420D/BnaA02g02630D/BnaC04g21470D/BnaC03g26740D/BnaC02g01630D/BnaC03g34350D/BnaC08g00880D/BnaA01g32580D/BnaCnng60750D/BnaA07g19220D/BnaA10g18990D/BnaA08g28010D/BnaC03g39840D/BnaA03g27840D/BnaC07g28310D/BnaA06g09240D/BnaA03g08040D/BnaCnng51570D/BnaC04g00460D/BnaA03g21590D/BnaC08g47740D/BnaC05g36370D/BnaA02g02490D/BnaCnng43010D/BnaC09g42440D/BnaA09g03900D/BnaA09g39720D/BnaA03g05190D/BnaA08g23970D/BnaAnng20820D/BnaA09g19110D/BnaA02g30620D/BnaCnng42620D/BnaC03g32690D/BnaC03g34910D/BnaA03g27540D/BnaA05g22940D/BnaAnng28400D/BnaA03g29690D/BnaC09g03330D/BnaCnng73710D/BnaA05g30620D/BnaC05g10650D/BnaC06g15490D/BnaA03g13120D/BnaA07g05040D/BnaA03g02030D/BnaA03g52430D/BnaC05g48570D/BnaC07g44170D/BnaC08g39650D/BnaA01g03620D/BnaC09g46900D/BnaC01g04960D/BnaC09g21050D/BnaA03g22710D/BnaA10g07930D/BnaAnng02770D/BnaA05g34130D/BnaA06g40930D/BnaC03g34930D/BnaA05g14130D/BnaC04g44500D/BnaC03g06740D/BnaAnng21510D/BnaA03g27680D/BnaA10g22380D/BnaC05g45080D/BnaCnng00120D/BnaA01g31480D/BnaA09g02020D/BnaC09g31020D/BnaC03g32890D/BnaC08g30880D/BnaC09g27910D/BnaC04g06670D/BnaA10g25280D/BnaA04g03820D/BnaC03g75510D/BnaA06g00690D/BnaA04g27070D/BnaC04g04080D/BnaCnng34200D/BnaC07g24300D/BnaA06g34060D/BnaC08g09520D/BnaCnng21600D/BnaA07g16550D/BnaC04g47880D/BnaC03g26730D/BnaA03g40460D/BnaC06g41940D/BnaA06g17460D/BnaC06g06610D/BnaA08g22570D/BnaA04g17670D/BnaA04g07000D/BnaC04g41310D/BnaC04g45840D/BnaA06g15610D/BnaA02g29680D/BnaC03g74840D/BnaC03g03040D/BnaC03g25220D/BnaC06g28860D/BnaC02g29340D/BnaC07g31430D/BnaA10g02830D/BnaC02g08960D/BnaA01g33020D/BnaC03g74220D/BnaC04g52090D/BnaA03g37710D/BnaC04g02210D/BnaC09g32220D/BnaC04g51190D/BnaA05g06410D/BnaA05g14120D/BnaC04g25710D/BnaA10g08520D"
"GO:0045488","GO:0045488","pectin metabolic process",294,0.589578155129865,2.24907527367092,0.000102954802841553,0.0022297603871832,0.00140705673827418,16544,"tags=48%, list=24%, signal=37%","BnaA10g23860D/BnaCnng76410D/BnaA05g00810D/BnaC09g48600D/BnaA10g23870D/BnaCnng66900D/BnaC03g32550D/BnaCnng05770D/BnaCnng60280D/BnaAnng13700D/BnaA03g34410D/BnaA03g29100D/BnaA02g26540D/BnaCnng75130D/BnaC02g06070D/BnaC02g34750D/BnaC02g01620D/BnaC06g18400D/BnaAnng13710D/BnaC07g21840D/BnaC03g06960D/BnaA03g05430D/BnaC03g72420D/BnaA02g02630D/BnaC04g21470D/BnaC03g26740D/BnaC02g01630D/BnaC03g34350D/BnaC08g00880D/BnaA01g32580D/BnaCnng60750D/BnaA07g19220D/BnaA10g18990D/BnaA08g28010D/BnaC03g39840D/BnaA03g27840D/BnaC07g28310D/BnaA06g09240D/BnaA03g08040D/BnaCnng51570D/BnaC04g00460D/BnaA03g21590D/BnaC08g47740D/BnaC05g36370D/BnaA02g02490D/BnaCnng43010D/BnaC09g42440D/BnaA09g03900D/BnaA09g39720D/BnaA03g05190D/BnaA08g23970D/BnaAnng20820D/BnaA09g19110D/BnaA02g30620D/BnaCnng42620D/BnaC03g32690D/BnaC03g34910D/BnaA03g27540D/BnaA05g22940D/BnaAnng28400D/BnaA03g29690D/BnaC09g03330D/BnaCnng73710D/BnaA05g30620D/BnaC05g10650D/BnaC06g15490D/BnaA03g13120D/BnaA07g05040D/BnaA03g02030D/BnaA03g52430D/BnaC05g48570D/BnaC07g44170D/BnaC08g39650D/BnaA01g03620D/BnaC09g46900D/BnaC01g04960D/BnaC09g21050D/BnaA03g22710D/BnaA10g07930D/BnaAnng02770D/BnaA05g34130D/BnaA06g40930D/BnaC03g34930D/BnaA05g14130D/BnaC04g44500D/BnaC03g06740D/BnaAnng21510D/BnaA03g27680D/BnaA10g22380D/BnaC05g45080D/BnaCnng00120D/BnaA01g31480D/BnaA09g02020D/BnaC09g31020D/BnaC03g32890D/BnaC08g30880D/BnaC09g27910D/BnaC04g06670D/BnaA10g25280D/BnaA04g03820D/BnaC03g75510D/BnaA06g00690D/BnaA04g27070D/BnaC04g04080D/BnaCnng34200D/BnaC07g24300D/BnaA06g34060D/BnaC08g09520D/BnaCnng21600D/BnaA07g16550D/BnaC04g47880D/BnaC03g26730D/BnaA03g40460D/BnaC06g41940D/BnaA06g17460D/BnaC06g06610D/BnaA08g22570D/BnaA04g17670D/BnaA04g07000D/BnaC04g41310D/BnaC04g45840D/BnaA06g15610D/BnaA02g29680D/BnaC03g74840D/BnaC03g03040D/BnaC03g25220D/BnaC06g28860D/BnaC02g29340D/BnaC07g31430D/BnaA10g02830D/BnaC02g08960D/BnaA01g33020D/BnaC03g74220D/BnaC04g52090D/BnaA03g37710D/BnaC04g02210D/BnaC09g32220D/BnaC04g51190D/BnaA05g06410D/BnaA05g14120D/BnaC04g25710D/BnaA10g08520D"
