ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0009873	ethylene-activated signaling pathway	89	0.595700603234833	1.87248661210393	0.000113263110205006	0.00167063087552384	0.00131146759184744	17477	tags=44%, list=24%, signal=33%	BnaA01g27570D/BnaA03g17680D/BnaC03g21230D/BnaC01g32460D/BnaA05g20140D/BnaA01g36840D/BnaC05g36570D/BnaC01g35070D/BnaC07g32510D/BnaA09g32330D/BnaC04g51210D/BnaC08g23100D/BnaC04g51810D/BnaA04g27050D/BnaA03g41460D/BnaC06g24360D/BnaA09g40670D/BnaA08g00990D/BnaA10g06790D/BnaC04g07070D/BnaA10g23760D/BnaC05g39400D/BnaAnng21280D/BnaCnng05370D/BnaA05g25200D/BnaAnng20420D/BnaCnng24520D/BnaA03g34290D/BnaA06g24030D/BnaA07g23090D/BnaA05g09970D/BnaA01g29490D/BnaA05g23130D/BnaCnng68360D/BnaC03g05820D/BnaA04g23760D/BnaC04g44080D/BnaC01g10100D/BnaC09g48530D
GO:0071369	cellular response to ethylene stimulus	89	0.595700603234833	1.87248661210393	0.000113263110205006	0.00167063087552384	0.00131146759184744	17477	tags=44%, list=24%, signal=33%	BnaA01g27570D/BnaA03g17680D/BnaC03g21230D/BnaC01g32460D/BnaA05g20140D/BnaA01g36840D/BnaC05g36570D/BnaC01g35070D/BnaC07g32510D/BnaA09g32330D/BnaC04g51210D/BnaC08g23100D/BnaC04g51810D/BnaA04g27050D/BnaA03g41460D/BnaC06g24360D/BnaA09g40670D/BnaA08g00990D/BnaA10g06790D/BnaC04g07070D/BnaA10g23760D/BnaC05g39400D/BnaAnng21280D/BnaCnng05370D/BnaA05g25200D/BnaAnng20420D/BnaCnng24520D/BnaA03g34290D/BnaA06g24030D/BnaA07g23090D/BnaA05g09970D/BnaA01g29490D/BnaA05g23130D/BnaCnng68360D/BnaC03g05820D/BnaA04g23760D/BnaC04g44080D/BnaC01g10100D/BnaC09g48530D
GO:0009723	response to ethylene	130	0.519384305758097	1.69275441686964	0.000107688994184794	0.00167063087552384	0.00131146759184744	17477	tags=39%, list=24%, signal=30%	BnaA01g27570D/BnaA03g17680D/BnaC03g21230D/BnaC01g32460D/BnaA05g20140D/BnaA01g36840D/BnaC05g36570D/BnaC01g35070D/BnaC05g36990D/BnaA09g45560D/BnaC07g32510D/BnaA09g32330D/BnaC04g51210D/BnaC08g23100D/BnaC04g51810D/BnaA04g27050D/BnaC01g21010D/BnaA03g41460D/BnaAnng35540D/BnaC06g24360D/BnaA09g40670D/BnaA08g00990D/BnaAnng15540D/BnaA10g06790D/BnaC04g07070D/BnaA10g23760D/BnaA09g18280D/BnaC05g39400D/BnaAnng21280D/BnaCnng05370D/BnaCnng68300D/BnaA05g25200D/BnaC02g46900D/BnaAnng20420D/BnaCnng24520D/BnaA03g34290D/BnaA08g31470D/BnaC03g60260D/BnaA06g24030D/BnaA07g23090D/BnaA05g09970D/BnaA01g29490D/BnaA05g23130D/BnaCnng68360D/BnaC03g05820D/BnaA04g23760D/BnaC05g10870D/BnaC04g44080D/BnaCnng61080D/BnaC01g10100D/BnaC09g48530D
GO:0009737	response to abscisic acid	152	0.503994551431894	1.66265722117594	0.000106033294454459	0.00167063087552384	0.00131146759184744	18160	tags=41%, list=25%, signal=31%	BnaC06g24480D/BnaA05g21670D/BnaA07g38530D/BnaA01g20020D/BnaC06g31950D/BnaC01g18450D/BnaC05g34710D/BnaA07g28900D/BnaC06g31960D/BnaA06g17890D/BnaC01g24820D/BnaA08g03150D/BnaA06g12320D/BnaA09g44700D/BnaAnng11040D/BnaC01g04470D/BnaC07g48820D/BnaCnng65400D/BnaC07g39780D/BnaCnng51500D/BnaA07g25780D/BnaAnng40650D/BnaC03g15880D/BnaCnng63170D/BnaC03g66870D/BnaA05g13010D/BnaC02g33980D/BnaA03g50640D/BnaCnng28020D/BnaA06g34840D/BnaC03g56120D/BnaCnng27950D/BnaC05g31560D/BnaUnng00040D/BnaC09g52190D/BnaA02g25740D/BnaC03g40510D/BnaC05g50120D/BnaA01g03210D/BnaCnng68300D/BnaC07g44500D/BnaA02g29910D/BnaC02g45160D/BnaC01g39470D/BnaA09g02630D/BnaA01g26720D/BnaC01g00220D/BnaC01g23250D/BnaC08g40190D/BnaA04g21960D/BnaA05g14640D/BnaAnng35310D/BnaCnng37890D/BnaA03g47530D/BnaCnng71390D/BnaA04g23760D/BnaA09g46130D/BnaC03g22610D/BnaA09g36560D/BnaC06g12210D/BnaA06g34810D/BnaA05g29650D/BnaC05g10070D
GO:0060918	auxin transport	67	0.583111936436793	1.76663523982821	0.000236099634045567	0.00278597568173769	0.00218702818905368	11234	tags=31%, list=16%, signal=26%	BnaC09g09390D/BnaA09g09160D/BnaA06g00900D/BnaC06g06370D/BnaC01g36590D/BnaA01g29180D/BnaCnng35880D/BnaC06g38990D/BnaC03g21070D/BnaA01g21440D/BnaA07g29130D/BnaA02g16500D/BnaA03g17600D/BnaCnng51580D/BnaCnng72830D/BnaA05g14410D/BnaA01g05040D/BnaC04g00490D/BnaC05g16230D/BnaC03g13120D/BnaA02g08340D
GO:0009738	abscisic acid-activated signaling pathway	70	0.554243225620385	1.6889572052211	0.000938636630294497	0.00922992686456256	0.00724561609350138	12037	tags=33%, list=17%, signal=27%	BnaC06g24480D/BnaA07g38530D/BnaC06g31950D/BnaA07g28900D/BnaC06g31960D/BnaA08g03150D/BnaAnng11040D/BnaC01g04470D/BnaC07g48820D/BnaCnng65400D/BnaA07g25780D/BnaAnng40650D/BnaC03g66870D/BnaA05g13010D/BnaC02g33980D/BnaA03g50640D/BnaCnng28020D/BnaA06g34840D/BnaUnng00040D/BnaC09g52190D/BnaA02g25740D/BnaA01g03210D/BnaC07g44500D
GO:0071215	cellular response to abscisic acid stimulus	72	0.546578204141104	1.67188948493454	0.00163265306122449	0.0137609329446064	0.0108025164953199	12037	tags=32%, list=17%, signal=27%	BnaC06g24480D/BnaA07g38530D/BnaC06g31950D/BnaA07g28900D/BnaC06g31960D/BnaA08g03150D/BnaAnng11040D/BnaC01g04470D/BnaC07g48820D/BnaCnng65400D/BnaA07g25780D/BnaAnng40650D/BnaC03g66870D/BnaA05g13010D/BnaC02g33980D/BnaA03g50640D/BnaCnng28020D/BnaA06g34840D/BnaUnng00040D/BnaC09g52190D/BnaA02g25740D/BnaA01g03210D/BnaC07g44500D
GO:0010315	auxin export across the plasma membrane	28	0.654852239621668	1.72864980961417	0.00348152115693626	0.0208028207214538	0.016330492627011	12890	tags=50%, list=18%, signal=41%	BnaA06g00900D/BnaC06g06370D/BnaC01g36590D/BnaA01g29180D/BnaCnng35880D/BnaC06g38990D/BnaA02g16500D/BnaCnng51580D/BnaCnng72830D/BnaA05g14410D/BnaC04g00490D/BnaC03g13120D/BnaA02g08340D/BnaCnng42600D
GO:0010928	regulation of auxin mediated signaling pathway	28	0.654852239621668	1.72864980961417	0.00348152115693626	0.0208028207214538	0.016330492627011	12890	tags=50%, list=18%, signal=41%	BnaA06g00900D/BnaC06g06370D/BnaC01g36590D/BnaA01g29180D/BnaCnng35880D/BnaC06g38990D/BnaA02g16500D/BnaCnng51580D/BnaCnng72830D/BnaA05g14410D/BnaC04g00490D/BnaC03g13120D/BnaA02g08340D/BnaCnng42600D
GO:0010104	regulation of ethylene-activated signaling pathway	26	0.658176538475424	1.71277942468309	0.00352590181719555	0.0208028207214538	0.016330492627011	10647	tags=38%, list=15%, signal=33%	BnaA03g17680D/BnaC03g21230D/BnaC07g32510D/BnaA09g32330D/BnaC08g23100D/BnaC04g51810D/BnaA03g41460D/BnaA09g40670D/BnaA10g06790D/BnaC04g07070D
