ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0042273,ribosomal large subunit biogenesis,0.010629646840148698,212/36839,1.4164262637143955e-33,4.7733565087175126e-30,4.49528966852516e-30,,BnaA06g24840D/BnaA06g35050D/BnaC08g21480D/BnaC04g03350D/BnaAnng34410D/BnaA03g55250D/BnaA04g21760D/BnaA01g26650D/BnaC04g04050D/BnaAnng12530D/BnaC03g29670D/BnaC09g47740D/BnaC05g37780D/BnaA08g05860D/BnaA01g18390D/BnaC06g24580D/BnaC03g42920D/BnaC03g22400D/BnaC03g22120D/BnaC02g20050D/BnaC09g20460D/BnaC06g43320D/BnaA09g35340D/BnaC02g19510D/BnaC09g32470D/BnaA07g37200D/BnaC06g23300D/BnaC06g12970D/BnaC02g26240D/BnaA02g36270D/BnaA06g11250D/BnaC04g32600D/BnaC03g48730D/BnaA07g28280D/BnaC05g12790D/BnaA09g34900D/BnaA09g35160D/BnaA09g35240D/BnaA02g27070D/BnaAnng06240D/BnaA09g18530D/BnaC08g26410D/BnaA04g10330D/BnaA01g29950D/BnaC03g20970D/BnaA02g14510D/BnaC01g22300D/BnaC02g01270D/BnaCnng63300D/BnaA09g55200D/BnaC08g10420D/BnaA09g20820D/BnaA03g47600D/BnaA04g23010D/BnaA03g17540D/BnaC07g20640D/BnaA01g12190D/BnaC01g13870D/BnaA03g25240D/BnaC09g23090D,183,1.8471016978501786,0.8632075471698113
GO:0022618,ribonucleoprotein complex assembly,0.017251394052044608,410/36839,2.2672384271426707e-26,3.8202967497354e-23,3.597749398860606e-23,,BnaA05g27160D/BnaA05g27190D/BnaA05g27540D/BnaA04g21290D/BnaA09g06730D/BnaC05g08330D/BnaC03g73560D/BnaC04g36490D/BnaC09g46780D/BnaA09g45140D/BnaA04g29230D/BnaCnng29070D/BnaC05g37780D/BnaC07g31040D/BnaC03g22400D/BnaC03g22120D/BnaCnng36550D/BnaC08g43770D/BnaC06g43320D/BnaA06g01530D/BnaUnng00080D/BnaC05g44350D/BnaC03g66710D/BnaC02g19510D/BnaCnng43190D/BnaA07g37200D/BnaCnng45920D/BnaC04g56220D/BnaA02g33340D/BnaC05g15890D/BnaC06g23300D/BnaA03g01080D/BnaA09g50640D/BnaA01g33230D/BnaA09g47800D/BnaA06g11250D/BnaA06g10180D/BnaA05g34140D/BnaC04g30010D/BnaA07g28280D/BnaA03g50010D/BnaC05g12790D/BnaA09g34900D/BnaA09g35240D/BnaC09g23910D/BnaC05g48560D/BnaC02g02880D/BnaA02g14510D/BnaA08g11850D/BnaA03g17150D/BnaC02g42050D/BnaAnng09380D/BnaA08g27720D/BnaCnng19200D/BnaC01g44200D/BnaC06g24350D/BnaA05g37300D/BnaC07g42460D/BnaA07g30140D/BnaC05g41760D/BnaC05g41290D/BnaA03g32020D/BnaA03g39990D/BnaA05g07210D/BnaAnng00820D/BnaA04g23010D/BnaA07g06200D/BnaC03g20660D/BnaC03g01450D/BnaA10g26290D/BnaA10g02410D,297,1.5500587938616375,0.724390243902439
GO:0042274,ribosomal small subunit biogenesis,0.009526022304832713,200/36839,5.674436554139727e-25,6.003981081398317e-22,5.654225506923606e-22,,BnaA05g27160D/BnaA05g27190D/BnaA03g07060D/BnaA03g55250D/BnaA03g57330D/BnaA04g21760D/BnaA04g21290D/BnaA09g06730D/BnaC03g73560D/BnaA09g54920D/BnaC04g36490D/BnaC08g14300D/BnaCnng26310D/BnaC01g41990D/BnaA08g25730D/BnaA01g33650D/BnaC03g29670D/BnaC09g46640D/BnaA04g29230D/BnaCnng29070D/BnaC07g31040D/BnaC06g42550D/BnaC02g39820D/BnaA02g25840D/BnaC09g41680D/BnaA09g47020D/BnaC07g32160D/BnaA03g01080D/BnaA01g19540D/BnaC02g26240D/BnaA02g28810D/BnaA01g33230D/BnaA06g10130D/BnaA05g34140D/BnaC05g48560D/BnaC02g02880D/BnaA08g13850D/BnaC03g20970D/BnaC04g22660D/BnaA03g17150D/BnaC02g42050D/BnaAnng09380D/BnaC02g34080D/BnaA05g33140D/BnaA09g20820D/BnaC09g41090D/BnaC06g24350D/BnaA07g16150D/BnaA07g30140D/BnaC08g24870D/BnaC05g41290D/BnaA03g32020D/BnaA03g39990D/BnaA05g07210D/BnaAnng00820D/BnaA03g17540D/BnaA07g06200D/BnaA01g12190D/BnaC03g20660D/BnaC03g01450D/BnaA10g18170D/BnaA10g26290D/BnaC01g13870D/BnaC03g08960D/BnaA03g25240D/BnaC09g23090D,164,1.7546456784386617,0.82
GO:0071826,ribonucleoprotein complex subunit organization,0.017309479553903346,417/36839,7.12638704023539e-25,6.003981081398317e-22,5.654225506923606e-22,,BnaA05g27160D/BnaA05g27190D/BnaA05g27540D/BnaA04g21290D/BnaA09g06730D/BnaC05g08330D/BnaC03g73560D/BnaC04g36490D/BnaC09g46780D/BnaA09g45140D/BnaA04g29230D/BnaCnng29070D/BnaC05g37780D/BnaC07g31040D/BnaC03g22400D/BnaC03g22120D/BnaCnng36550D/BnaC08g43770D/BnaC06g43320D/BnaA06g01530D/BnaUnng00080D/BnaC05g44350D/BnaC03g66710D/BnaC02g19510D/BnaCnng43190D/BnaA07g37200D/BnaCnng45920D/BnaC04g56220D/BnaA02g33340D/BnaC05g15890D/BnaC06g23300D/BnaA03g01080D/BnaA09g50640D/BnaA01g33230D/BnaA09g47800D/BnaA06g11250D/BnaA06g10180D/BnaA05g34140D/BnaC04g30010D/BnaA07g28280D/BnaA03g50010D/BnaC05g12790D/BnaA09g34900D/BnaA09g35240D/BnaC09g23910D/BnaC05g48560D/BnaC02g02880D/BnaA02g14510D/BnaA08g11850D/BnaA03g17150D/BnaC02g42050D/BnaAnng09380D/BnaA08g27720D/BnaCnng19200D/BnaC01g44200D/BnaC06g24350D/BnaA05g37300D/BnaC07g42460D/BnaA07g30140D/BnaC05g41760D/BnaC05g41290D/BnaA03g32020D/BnaA03g39990D/BnaA05g07210D/BnaAnng00820D/BnaA04g23010D/BnaA07g06200D/BnaC03g20660D/BnaC03g01450D/BnaA10g26290D/BnaA10g02410D,298,1.529170065434641,0.7146282973621103
GO:0002181,cytoplasmic translation,0.011675185873605947,265/36839,2.9221455971212413e-22,1.9695261324597165e-19,1.8547934684885353e-19,,BnaC08g21480D/BnaA09g52020D/BnaAnng34410D/BnaAnng02840D/BnaC03g77950D/BnaA06g40550D/BnaC05g08330D/BnaC04g36490D/BnaA02g08520D/BnaA09g44020D/BnaAnng14180D/BnaCnng32900D/BnaA05g30690D/BnaC03g22400D/BnaA02g21980D/BnaCnng36550D/BnaC08g43770D/BnaA09g35340D/BnaUnng00080D/BnaA05g31670D/BnaC03g66710D/BnaC07g32120D/BnaA04g15980D/BnaCnng45920D/BnaA04g29060D/BnaC03g47030D/BnaC06g23300D/BnaA09g51520D/BnaA09g50640D/BnaA10g10840D/BnaC09g33240D/BnaC04g08700D/BnaA09g47800D/BnaA01g32660D/BnaC03g13330D/BnaC08g46120D/BnaA10g27580D/BnaC09g23910D/BnaC06g14370D/BnaC03g34320D/BnaC02g12070D/BnaC02g08730D/BnaA08g11850D/BnaC05g01460D/BnaA08g01800D/BnaAnng08420D/BnaA02g29320D/BnaA08g27720D/BnaA09g09960D/BnaC05g03230D/BnaC06g24350D/BnaC07g45990D/BnaC08g24220D/BnaC09g10010D/BnaC05g46250D/BnaC05g45150D/BnaA07g25010D/BnaC03g34830D/BnaA04g05050D/BnaC01g02520D/BnaC07g01480D/BnaA03g10640D/BnaA10g02410D/BnaC04g45340D,201,1.6230270656519603,0.7584905660377359
GO:0030490,maturation of SSU-rRNA,0.005808550185873606,115/36839,1.7719469146277896e-19,9.952435170492751e-17,9.372666574741729e-17,,BnaA03g07060D/BnaA03g57330D/BnaA04g21760D/BnaA09g06730D/BnaA09g54920D/BnaC08g14300D/BnaA08g25730D/BnaA01g33650D/BnaC03g29670D/BnaC09g46640D/BnaC06g42550D/BnaC02g39820D/BnaA02g25840D/BnaA09g47020D/BnaC07g32160D/BnaA03g01080D/BnaA01g19540D/BnaC02g26240D/BnaA02g28810D/BnaA06g10130D/BnaC02g02880D/BnaA08g13850D/BnaC03g20970D/BnaC04g22660D/BnaC02g34080D/BnaA05g33140D/BnaA09g20820D/BnaC09g41090D/BnaA07g16150D/BnaC08g24870D/BnaAnng00820D/BnaA03g17540D/BnaA01g12190D/BnaC03g01450D/BnaA10g26290D/BnaC01g13870D/BnaC03g08960D/BnaA03g25240D/BnaC09g23090D,100,1.8607059156295456,0.8695652173913043
GO:0042255,ribosome assembly,0.008015799256505576,173/36839,3.7773182902768025e-19,1.8185089483189749e-16,1.712573630854821e-16,,BnaA05g27160D/BnaA05g27190D/BnaA04g21290D/BnaA09g06730D/BnaC03g73560D/BnaC04g36490D/BnaA04g29230D/BnaCnng29070D/BnaC05g37780D/BnaA08g05860D/BnaA01g18390D/BnaC07g31040D/BnaC03g22400D/BnaC03g22120D/BnaC06g43320D/BnaC02g19510D/BnaA07g37200D/BnaC06g23300D/BnaA03g01080D/BnaA01g33230D/BnaA06g11250D/BnaA05g34140D/BnaA07g28280D/BnaC05g12790D/BnaA09g34900D/BnaA09g35240D/BnaC05g48560D/BnaC02g02880D/BnaA02g14510D/BnaC01g22300D/BnaA03g17150D/BnaC02g42050D/BnaAnng09380D/BnaC08g10420D/BnaC06g24350D/BnaA07g30140D/BnaC05g41290D/BnaA03g32020D/BnaA03g39990D/BnaA05g07210D/BnaAnng00820D/BnaA04g23010D/BnaA07g06200D/BnaC03g20660D/BnaC03g01450D/BnaA10g26290D,138,1.7069019006382018,0.7976878612716763
GO:0000470,maturation of LSU-rRNA,0.004821096654275093,97/36839,1.698814823773806e-15,7.156257445147158e-13,6.739377228523717e-13,,BnaA06g24840D/BnaA06g35050D/BnaC04g03350D/BnaA01g26650D/BnaC04g04050D/BnaAnng12530D/BnaC03g29670D/BnaC09g47740D/BnaC06g24580D/BnaC02g20050D/BnaC09g20460D/BnaC09g32470D/BnaC02g26240D/BnaA02g36270D/BnaC03g48730D/BnaA09g35240D/BnaA02g27070D/BnaAnng06240D/BnaA09g18530D/BnaA01g29950D/BnaC02g01270D/BnaA09g55200D/BnaA09g20820D/BnaA03g47600D/BnaC07g20640D/BnaA01g12190D/BnaC01g13870D/BnaA03g25240D/BnaC09g23090D,83,1.8309729860498982,0.8556701030927835
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.003949814126394052,80/36839,1.2036766953997872e-12,4.507100514996981e-10,4.244544136409776e-10,,BnaA03g07060D/BnaA03g57330D/BnaA04g21760D/BnaA09g54920D/BnaA01g33650D/BnaC06g42550D/BnaC02g39820D/BnaA02g25840D/BnaA09g47020D/BnaA02g28810D/BnaA06g10130D/BnaA08g13850D/BnaC03g20970D/BnaC02g34080D/BnaA05g33140D/BnaC09g41090D/BnaA07g16150D/BnaC08g24870D/BnaA03g17540D/BnaC03g08960D,68,1.818840032527881,0.85
GO:0009064,glutamine family amino acid metabolic process,0.00737685873605948,175/36839,3.2525434046865793e-12,1.0961071273793771e-9,1.0322545647505302e-9,,BnaC04g55460D/BnaA04g21470D/BnaCnng22540D/BnaCnng23850D/BnaA09g02760D/BnaC04g05620D/BnaA06g02140D/BnaC05g23810D/BnaC09g42740D/BnaC03g72600D/BnaA09g28350D/BnaA06g19240D/BnaC05g31710D/BnaA04g15860D/BnaCnng47100D/BnaC02g38230D/BnaC06g27330D/BnaA09g35230D/BnaCnng57900D/BnaA02g12600D/BnaC08g26550D/BnaA09g54360D/BnaC05g40560D/BnaAnng27730D/BnaC03g49300D/BnaA03g53010D/BnaAnng07910D/BnaC09g41340D/BnaC06g02010D/BnaA01g30410D/BnaC02g16960D/BnaC05g35690D/BnaA04g07450D/BnaA04g22810D/BnaA03g18760D/BnaA02g03140D/BnaA05g22420D,127,1.5528919941582582,0.7257142857142858
