ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0019843,NA,0.015364354697102721,197/22168,1.7566317499797517e-29,2.9037122827165293e-26,2.8069126278623824e-26,,BnaC09g12750D/BnaA05g27160D/BnaA05g27190D/BnaC05g02580D/BnaC04g53170D/BnaA04g21290D/BnaA07g37750D/BnaAnng12180D/BnaA01g28980D/BnaAnng12530D/BnaC03g73560D/BnaA04g29230D/BnaCnng31050D/BnaC05g37780D/BnaC04g56900D/BnaC04g44220D/BnaC01g15340D/BnaC03g22400D/BnaC03g22120D/BnaA02g21980D/BnaC09g20530D/BnaC09g20520D/BnaA06g25250D/BnaAnng03500D/BnaC05g31860D/BnaC04g27310D/BnaA10g13490D/BnaC01g36340D/BnaA01g24680D/BnaA01g27320D/BnaA06g11250D/BnaA04g26120D/BnaC01g34770D/BnaC05g12790D/BnaA09g34900D/BnaC07g16510D/BnaC06g14610D/BnaA03g53350D/BnaA09g18590D/BnaA09g38730D/BnaA01g13300D/BnaA03g17150D/BnaAnng09380D/BnaC04g22000D/BnaA08g27920D/BnaC05g03230D/BnaC04g52560D/BnaC03g72020D/BnaA07g18810D/BnaC05g41290D/BnaA03g32020D/BnaA03g28560D/BnaA05g04770D/BnaA05g07210D/BnaA04g23010D/BnaA04g04780D/BnaC03g20660D/BnaC03g33700D,175,1.7289188574892038,0.8883248730964467
GO:0140662,NA,0.014223002633889377,188/22168,4.4926940380427405e-24,3.713211622442325e-21,3.5894260788152e-21,,BnaA08g31360D/BnaC07g12220D/BnaA01g33840D/BnaA09g30100D/BnaC03g23670D/BnaC05g35160D/BnaA05g19100D/BnaC01g40350D/BnaA04g25810D/BnaC09g33020D/BnaA09g45320D/BnaA06g09730D/BnaC05g11220D/BnaA01g25680D/BnaC09g37140D/BnaC09g37000D/BnaA05g37290D/BnaA05g13740D/BnaC08g16470D,162,1.6771038424896794,0.8617021276595744
GO:0044183,NA,0.014925373134328358,206/22168,6.658687489079711e-21,3.668936806482921e-18,3.5466272310256144e-18,,BnaA08g31360D/BnaC07g12220D/BnaA01g33840D/BnaA09g30100D/BnaC03g23670D/BnaC05g35160D/BnaA05g19100D/BnaC01g40350D/BnaA04g25810D/BnaC03g15900D/BnaC09g33020D/BnaA09g45320D/BnaA06g09730D/BnaC05g29990D/BnaC05g11220D/BnaA01g25680D/BnaC02g01340D/BnaC09g37140D/BnaC09g37000D/BnaA05g37290D/BnaA05g13740D/BnaC08g16470D,170,1.6061440370960731,0.8252427184466019
GO:0051082,NA,0.01527655838454785,229/22168,1.3090973690666642e-14,5.409844877667989e-12,5.229499490113674e-12,,BnaA05g26690D/BnaA08g31360D/BnaCnng71630D/BnaC07g49210D/BnaA01g33840D/BnaA09g30100D/BnaC03g23670D/BnaCnng33760D/BnaC05g35160D/BnaA05g19100D/BnaA09g26520D/BnaC04g54960D/BnaC01g40350D/BnaA04g25810D/BnaCnng47600D/BnaA08g26530D/BnaCnng06700D/BnaC03g15900D/BnaA09g45320D/BnaA06g09730D/BnaC05g29990D/BnaA10g17040D/BnaC05g11220D/BnaA09g15400D/BnaC05g40710D/BnaA01g25680D/BnaC02g01340D/BnaC02g42210D/BnaC09g37140D/BnaC09g37000D/BnaA09g05390D/BnaA01g30630D/BnaA05g37290D/BnaC07g00750D/BnaC08g16470D,174,1.4788242195137848,0.759825327510917
GO:0140101,NA,0.01913959613696225,301/22168,5.139437580833717e-14,1.699098064223627e-11,1.642456052148544e-11,,BnaC04g04150D/BnaC06g41300D/BnaC08g42540D/BnaC05g39850D/BnaCnng35560D/BnaA06g01920D/BnaC09g42900D/BnaC09g41670D/BnaA09g35780D/BnaC09g15440D/BnaC05g37130D/BnaA01g35850D/BnaA10g10830D/BnaC09g33230D/BnaC08g49240D/BnaC08g41780D/BnaC01g21050D/BnaC06g27510D/BnaA10g27580D/BnaC07g16130D/BnaA08g02170D/BnaAnng09530D/BnaCnng18830D/BnaC03g35250D,218,1.4095899241334855,0.7242524916943521
GO:0030515,NA,0.0045654082528533806,57/22168,1.1015817244134009e-10,3.034857650758919e-8,2.9336860660693727e-8,,BnaC09g12750D/BnaA03g06930D/BnaC09g47740D/BnaC03g73340D/BnaCnng34340D/BnaAnng18930D/BnaA09g56020D/BnaA07g00340D/BnaA09g10290D/BnaAnng06240D/BnaA08g00080D/BnaA09g43720D/BnaA08g13850D/BnaC02g01270D/BnaC09g41090D,52,1.7755433359518198,0.9122807017543859
GO:0004386,NA,0.01633011413520632,264/22168,1.7674330461960785e-10,4.173666893374454e-8,4.034531374625034e-8,,BnaA06g24840D/BnaA01g26650D/BnaC07g48750D/BnaC03g70180D/BnaA06g36070D/BnaC02g48430D/BnaA02g28810D/BnaC03g48730D/BnaA04g26450D/BnaC05g30220D/BnaC05g43300D/BnaA09g28880D,186,1.37123473541384,0.7045454545454546
GO:0003724,NA,0.009394205443371379,139/22168,4.1424054731234396e-10,7.608218052303384e-8,7.354586559299862e-8,,BnaA06g24840D/BnaA01g26650D/BnaC07g48750D/BnaC03g70180D/BnaC02g48430D/BnaA02g28810D/BnaC03g48730D/BnaA04g26450D/BnaC05g30220D/BnaC05g43300D/BnaA09g28880D,107,1.4982068076881778,0.7697841726618705
GO:0008186,NA,0.009394205443371379,139/22168,4.1424054731234396e-10,7.608218052303384e-8,7.354586559299862e-8,,BnaA06g24840D/BnaA01g26650D/BnaC07g48750D/BnaC03g70180D/BnaC02g48430D/BnaA02g28810D/BnaC03g48730D/BnaA04g26450D/BnaC05g30220D/BnaC05g43300D/BnaA09g28880D,107,1.4982068076881778,0.7697841726618705
GO:0008135,NA,0.015364354697102721,251/22168,2.2121973284140906e-9,3.122296281790181e-7,3.018209797661346e-7,,BnaC03g30500D/BnaC05g08330D/BnaC09g00290D/BnaA09g01140D/BnaC08g42630D/BnaC03g57360D/BnaCnng36550D/BnaC08g43770D/BnaUnng00080D/BnaA07g04550D/BnaC03g66710D/BnaC01g19290D/BnaC05g37640D/BnaA08g26240D/BnaA09g50640D/BnaC04g29650D/BnaA09g47800D/BnaA03g50490D/BnaA09g35240D/BnaC09g23910D/BnaC02g08730D/BnaC02g08760D/BnaAnng27520D/BnaA02g04260D/BnaA08g11850D/BnaC04g47390D/BnaA08g27720D/BnaA09g29060D/BnaA08g29940D/BnaCnng19790D/BnaC08g12430D/BnaC05g20200D/BnaA10g02410D,175,1.3569602188261878,0.6972111553784861
GO:0090079,NA,0.015364354697102721,251/22168,2.2121973284140906e-9,3.122296281790181e-7,3.018209797661346e-7,,BnaC03g30500D/BnaC05g08330D/BnaC09g00290D/BnaA09g01140D/BnaC08g42630D/BnaC03g57360D/BnaCnng36550D/BnaC08g43770D/BnaUnng00080D/BnaA07g04550D/BnaC03g66710D/BnaC01g19290D/BnaC05g37640D/BnaA08g26240D/BnaA09g50640D/BnaC04g29650D/BnaA09g47800D/BnaA03g50490D/BnaA09g35240D/BnaC09g23910D/BnaC02g08730D/BnaC02g08760D/BnaAnng27520D/BnaA02g04260D/BnaA08g11850D/BnaC04g47390D/BnaA08g27720D/BnaA09g29060D/BnaA08g29940D/BnaCnng19790D/BnaC08g12430D/BnaC05g20200D/BnaA10g02410D,175,1.3569602188261878,0.6972111553784861
GO:0016874,NA,0.024934152765583844,435/22168,2.266639768994687e-9,3.122296281790181e-7,3.018209797661346e-7,,BnaA04g26960D/BnaC03g77160D/BnaCnng22540D/BnaC09g31780D/BnaC03g29960D/BnaC06g41300D/BnaC09g00690D/BnaC05g39850D/BnaC05g23810D/BnaA08g26110D/BnaA10g10830D/BnaC09g33230D/BnaAnng22560D/BnaA06g36040D/BnaC08g19310D/BnaA01g14300D/BnaC08g49240D/BnaC08g41780D/BnaC01g21050D/BnaA01g25350D/BnaC07g07100D/BnaCnng57900D/BnaA09g54360D/BnaC05g40560D/BnaAnng27730D/BnaC03g49300D/BnaAnng09530D/BnaA04g12210D/BnaC09g41340D/BnaA09g20320D/BnaA10g09380D/BnaCnng18830D/BnaCnng66500D/BnaA01g30410D/BnaC05g35690D/BnaC01g10870D/BnaC03g35250D/BnaA02g03140D/BnaA03g25540D/BnaA05g22420D/BnaC07g37950D,284,1.2706673528907186,0.6528735632183909
GO:0008173,NA,0.008340649692712906,124/22168,6.0954756517807325e-9,7.750631732610425e-7,7.492252663484335e-7,,BnaC04g51980D/BnaA01g18460D/BnaA09g14260D/BnaC09g43310D/BnaC09g42900D/BnaA09g35780D/BnaC09g32470D/BnaC05g32210D/BnaA10g27580D/BnaA01g29950D/BnaA03g47600D/BnaA03g47570D,95,1.4910929224843525,0.7661290322580645
GO:0043021,NA,0.008955223880597015,136/22168,1.2714231951515864e-8,1.5011875297039802e-6,1.4511431655940665e-6,,BnaA09g52020D/BnaA01g26980D/BnaC04g04050D/BnaC03g57360D/BnaA05g26270D/BnaC05g23610D/BnaC06g11240D/BnaC04g50450D/BnaC03g66710D/BnaCnng45920D/BnaA09g51520D/BnaA06g35980D/BnaC08g46120D/BnaC04g30010D/BnaA03g50490D/BnaA09g35240D/BnaA08g11850D/BnaA09g29060D/BnaC05g20200D,102,1.4597014925373135,0.75
GO:0000049,NA,0.00553116769095698,77/22168,2.567319741506824e-8,2.8291863551405203e-6,2.734871135163059e-6,,BnaC08g14300D/BnaA08g25730D/BnaC06g41300D/BnaC05g39850D/BnaC08g43770D/BnaA09g35780D/BnaA10g13390D/BnaA09g50640D/BnaC03g27760D/BnaC08g49240D/BnaC08g41780D/BnaA09g38230D/BnaAnng09530D/BnaA08g27720D/BnaA10g02410D,63,1.592401628222524,0.8181818181818182
GO:0004812,NA,0.010711150131694469,172/22168,1.2649505255274855e-7,1.2299783639393727e-5,1.1889751688858967e-5,,BnaC06g41300D/BnaC05g39850D/BnaA10g10830D/BnaC09g33230D/BnaC08g49240D/BnaC08g41780D/BnaC01g21050D/BnaAnng09530D/BnaCnng18830D/BnaC03g35250D,122,1.3804928844151336,0.7093023255813954
GO:0016875,NA,0.010711150131694469,172/22168,1.2649505255274855e-7,1.2299783639393727e-5,1.1889751688858967e-5,,BnaC06g41300D/BnaC05g39850D/BnaA10g10830D/BnaC09g33230D/BnaC08g49240D/BnaC08g41780D/BnaC01g21050D/BnaAnng09530D/BnaCnng18830D/BnaC03g35250D,122,1.3804928844151336,0.7093023255813954
GO:0008175,NA,0.003775241439859526,50/22168,2.7364340971404754e-7,2.5129586458740033e-5,2.4291853564089135e-5,,BnaC09g42900D/BnaA09g35780D/BnaA10g27580D,43,1.6737910447761193,0.86
GO:0043022,NA,0.0058823529411764705,86/22168,3.4438360771834225e-7,2.9961373871495777e-5,2.8962566011991337e-5,,BnaA01g26980D/BnaC03g57360D/BnaC05g23610D/BnaC06g11240D/BnaC03g66710D/BnaA06g35980D/BnaA03g50490D/BnaA09g35240D/BnaA08g11850D/BnaA09g29060D/BnaC05g20200D,67,1.5162790697674418,0.7790697674418605
GO:0070181,NA,0.0021949078138718174,26/22168,7.654262506294854e-7,6.326247961452697e-5,6.115352886608203e-5,,BnaC04g53170D/BnaA01g28980D/BnaC04g56900D/BnaC01g36340D/BnaA01g27320D/BnaA04g26120D/BnaC01g34770D/BnaA09g38730D/BnaC04g22000D/BnaA07g18810D/BnaA05g04770D,25,1.8714121699196329,0.9615384615384616
GO:0003746,NA,0.005004389815627744,72/22168,9.971626873287824e-7,7.849094867402272e-5,7.587433380276149e-5,,BnaC03g30500D/BnaC09g00290D/BnaA09g01140D/BnaC08g42630D/BnaC03g57360D/BnaC05g37640D/BnaA08g26240D/BnaC02g08760D/BnaA02g04260D/BnaA09g29060D/BnaCnng19790D/BnaC05g20200D,57,1.5407960199004975,0.7916666666666666
GO:0005525,NA,0.024582967515364356,448/22168,1.0851851932689181e-6,8.153686929425099e-5,7.88187140374267e-5,,BnaC03g30500D/BnaA04g18010D/BnaC07g49450D/BnaA06g40550D/BnaCnng27050D/BnaC08g49740D/BnaC09g00290D/BnaA09g01140D/BnaC04g49910D/BnaC05g23610D/BnaC08g43770D/BnaC06g11240D/BnaA02g24040D/BnaC04g50450D/BnaC02g36730D/BnaA02g33600D/BnaA08g26990D/BnaA03g01670D/BnaA09g39360D/BnaA09g50640D/BnaA02g28680D/BnaC03g75120D/BnaAnng05450D/BnaA04g07270D/BnaC05g12920D/BnaA09g38270D/BnaC05g43090D/BnaA01g25920D/BnaC02g08730D/BnaC02g08760D/BnaC03g24050D/BnaC09g33840D/BnaA02g04260D/BnaC05g01070D/BnaCnng63300D/BnaA08g27720D/BnaC07g35300D/BnaC07g18630D/BnaC03g51550D/BnaC03g56170D/BnaC02g31750D/BnaA10g02410D/BnaC08g31510D,280,1.2164179104477613,0.625
GO:0031072,NA,0.005092186128182617,74/22168,1.475902705695856e-6,1.0436012793340749e-4,1.0088112471927442e-4,,BnaC07g49210D/BnaCnng33760D/BnaC04g54960D/BnaCnng47600D,58,1.5254538120209762,0.7837837837837838
GO:0032561,NA,0.024670763827919228,451/22168,1.515210568906098e-6,1.0436012793340749e-4,1.0088112471927442e-4,,BnaC03g30500D/BnaA04g18010D/BnaC07g49450D/BnaA06g40550D/BnaCnng27050D/BnaC08g49740D/BnaC09g00290D/BnaA09g01140D/BnaC04g49910D/BnaC05g23610D/BnaC08g43770D/BnaC06g11240D/BnaA02g24040D/BnaC04g50450D/BnaC02g36730D/BnaA02g33600D/BnaA08g26990D/BnaA03g01670D/BnaA09g39360D/BnaA09g50640D/BnaA02g28680D/BnaA09g41750D/BnaC03g75120D/BnaAnng05450D/BnaA04g07270D/BnaC05g12920D/BnaA09g38270D/BnaC05g43090D/BnaA01g25920D/BnaC02g08730D/BnaC02g08760D/BnaC03g24050D/BnaC09g33840D/BnaA02g04260D/BnaC05g01070D/BnaCnng63300D/BnaA08g27720D/BnaC07g35300D/BnaC07g18630D/BnaC03g51550D/BnaC03g56170D/BnaC02g31750D/BnaA10g02410D/BnaC08g31510D,281,1.2126418903266374,0.623059866962306
GO:0019001,NA,0.0247585601404741,453/22168,1.6138009330129698e-6,1.0670451769081757e-4,1.0314736068689213e-4,,BnaC03g30500D/BnaA04g18010D/BnaC07g49450D/BnaA06g40550D/BnaCnng27050D/BnaC08g49740D/BnaC09g00290D/BnaA09g01140D/BnaC04g49910D/BnaC05g23610D/BnaC08g43770D/BnaC06g11240D/BnaA02g24040D/BnaC04g50450D/BnaC02g36730D/BnaA02g33600D/BnaA08g26990D/BnaA03g01670D/BnaA09g39360D/BnaA09g50640D/BnaA02g28680D/BnaA09g41750D/BnaC03g75120D/BnaAnng05450D/BnaA04g07270D/BnaC05g12920D/BnaA09g38270D/BnaC05g43090D/BnaA01g25920D/BnaC02g08730D/BnaC02g08760D/BnaC03g24050D/BnaC09g33840D/BnaA02g04260D/BnaC05g01070D/BnaCnng63300D/BnaA08g27720D/BnaC07g35300D/BnaC07g18630D/BnaC03g51550D/BnaC03g56170D/BnaC02g31750D/BnaA10g02410D/BnaC08g31510D,282,1.2115844617969753,0.6225165562913907
GO:0016879,NA,0.00877963125548727,141/22168,1.6925866544728047e-6,1.0760945153244409e-4,1.0402212718581852e-4,,BnaCnng22540D/BnaC09g00690D/BnaC05g23810D/BnaA08g26110D/BnaA06g36040D/BnaA01g25350D/BnaC07g07100D/BnaCnng57900D/BnaA09g54360D/BnaC05g40560D/BnaAnng27730D/BnaC03g49300D/BnaA04g12210D/BnaC09g41340D/BnaA01g30410D/BnaC05g35690D/BnaA02g03140D/BnaA05g22420D/BnaC07g37950D,100,1.380332380649942,0.7092198581560284
GO:0070180,NA,0.0023705004389815627,30/22168,8.040617543147308e-6,4.92264474030463e-4,4.758540908576068e-4,,BnaC05g02580D/BnaA07g37750D/BnaAnng12180D/BnaCnng31050D/BnaC03g22400D/BnaC04g27310D/BnaA10g13490D/BnaC06g14610D/BnaA03g53350D/BnaA08g27920D/BnaC03g72020D/BnaA03g28560D/BnaA04g04780D/BnaC03g33700D,27,1.7516417910447761,0.9
GO:0016741,NA,0.02607550482879719,487/22168,1.0151988286845662e-5,5.956676965983501e-4,5.758102101036684e-4,,BnaA05g26770D/BnaA06g24800D/BnaC05g02910D/BnaCnng21160D/BnaCnng21620D/BnaC04g04460D/BnaA03g57820D/BnaC04g51980D/BnaA01g18460D/BnaC04g49360D/BnaC05g32500D/BnaA09g14260D/BnaA01g35410D/BnaC02g40190D/BnaC09g43310D/BnaC09g42900D/BnaA09g35780D/BnaC09g32470D/BnaC05g32210D/BnaC05g31710D/BnaA02g30530D/BnaCnng52650D/BnaC04g12900D/BnaC06g27510D/BnaC06g27540D/BnaC06g27570D/BnaA06g38510D/BnaA10g27580D/BnaC05g40790D/BnaA01g29950D/BnaC03g14720D/BnaC03g44550D/BnaC08g39970D/BnaA03g47600D/BnaA03g47570D/BnaA06g13610D/BnaC06g18830D,297,1.1869441294553924,0.6098562628336756
GO:0045182,NA,0.01922739244951712,349/22168,1.0450310466637721e-5,5.956676965983501e-4,5.758102101036684e-4,,BnaC03g30500D/BnaC05g08330D/BnaC09g00290D/BnaA09g01140D/BnaC08g42630D/BnaC03g57360D/BnaCnng36550D/BnaC08g43770D/BnaUnng00080D/BnaA07g04550D/BnaC03g66710D/BnaC01g19290D/BnaC05g37640D/BnaA08g26240D/BnaA02g34330D/BnaA09g39590D/BnaA09g50640D/BnaC04g29650D/BnaA09g47800D/BnaA03g50490D/BnaA09g35240D/BnaC09g23910D/BnaA09g38400D/BnaC02g08730D/BnaC02g08760D/BnaAnng27520D/BnaC03g21430D/BnaC02g03350D/BnaA02g04260D/BnaA08g11850D/BnaC04g47390D/BnaA08g27720D/BnaA09g29060D/BnaA08g29940D/BnaCnng19790D/BnaC08g12430D/BnaC05g20200D/BnaA10g02410D,219,1.2212975238421075,0.6275071633237822
GO:0008168,NA,0.02449517120280948,458/22168,2.0927768047552327e-5,0.0011531200194201331,0.0011146790139012082,,BnaA05g26770D/BnaA06g24800D/BnaC05g02910D/BnaCnng21620D/BnaC04g04460D/BnaA03g57820D/BnaC04g51980D/BnaA01g18460D/BnaC04g49360D/BnaC05g32500D/BnaA09g14260D/BnaA01g35410D/BnaC02g40190D/BnaC09g43310D/BnaC09g42900D/BnaA09g35780D/BnaC09g32470D/BnaC05g32210D/BnaA02g30530D/BnaCnng52650D/BnaC04g12900D/BnaC06g27540D/BnaC06g27570D/BnaA06g38510D/BnaA10g27580D/BnaC05g40790D/BnaA01g29950D/BnaC03g14720D/BnaC03g44550D/BnaC08g39970D/BnaA03g47600D/BnaA03g47570D/BnaA06g13610D/BnaC06g18830D,279,1.1856090725412238,0.6091703056768559
