ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0045229,external encapsulating structure organization,0.039279177812192034,457/17795,2.251113203275403e-20,5.67055415905074e-17,5.307887974038845e-17,,BnaAnng35740D/BnaC04g05770D/BnaC03g75510D/BnaA08g25690D/BnaA03g55050D/BnaAnng13700D/BnaAnng13710D/BnaC09g41420D/BnaCnng73710D/BnaC01g39640D/BnaC01g39610D/BnaC04g49330D/BnaC04g43530D/BnaA02g35320D/BnaA01g06750D/BnaA01g06740D/BnaA01g06730D/BnaC05g28950D/BnaCnng48740D/BnaA09g51170D/BnaA01g31480D/BnaC08g09520D/BnaC08g45980D/BnaA05g34130D/BnaA10g29070D/BnaA03g50060D/BnaC02g12340D/BnaC05g48570D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA06g33800D/BnaC05g19230D/BnaC09g31020D/BnaA09g29750D/BnaCnng18430D,279,1.52948133297146,0.6105032822757112
GO:0071555,cell wall organization,0.038575249894410815,449/17795,5.4037900778814176e-20,6.806073603091646e-17,6.370784091818093e-17,,BnaAnng35740D/BnaC04g05770D/BnaC03g75510D/BnaA08g25690D/BnaA03g55050D/BnaAnng13700D/BnaAnng13710D/BnaC09g41420D/BnaCnng73710D/BnaC01g39640D/BnaC01g39610D/BnaC04g49330D/BnaC04g43530D/BnaA02g35320D/BnaA01g06750D/BnaA01g06740D/BnaA01g06730D/BnaC05g28950D/BnaCnng48740D/BnaA09g51170D/BnaA01g31480D/BnaC08g09520D/BnaC08g45980D/BnaA05g34130D/BnaA10g29070D/BnaA03g50060D/BnaC02g12340D/BnaC05g48570D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA06g33800D/BnaC09g31020D/BnaCnng18430D,274,1.5288342357929632,0.6102449888641426
GO:0043086,negative regulation of catalytic activity,0.01970998169787414,211/17795,5.713713631691196e-15,3.841137541319657e-12,3.5954735975245112e-12,,BnaA06g35460D/BnaCnng68380D/BnaA09g06930D/BnaC05g13820D/BnaC05g08260D/BnaAnng12730D/BnaC03g75510D/BnaC03g40820D/BnaA05g17590D/BnaC03g57120D/BnaAnng40650D/BnaC06g18410D/BnaC02g19950D/BnaC09g39980D/BnaC09g20280D/BnaC06g11080D/BnaAnng20740D/BnaC06g23700D/BnaA09g39730D/BnaA09g47760D/BnaA01g31480D/BnaA02g24800D/BnaC04g00440D/BnaCnng57870D/BnaAnng07260D/BnaC02g32920D/BnaC02g33020D/BnaC03g21710D/BnaCnng62150D/BnaAnng29540D/BnaC04g47470D/BnaC04g42180D/BnaA04g26890D/BnaA08g03570D/BnaA09g13080D/BnaC03g72430D,140,1.662270731344409,0.6635071090047393
GO:0044092,negative regulation of molecular function,0.01985076728143038,213/17795,6.099464138657653e-15,3.841137541319657e-12,3.5954735975245112e-12,,BnaA06g35460D/BnaCnng68380D/BnaA09g06930D/BnaC05g13820D/BnaC05g08260D/BnaAnng12730D/BnaC03g75510D/BnaC03g40820D/BnaA05g17590D/BnaC03g57120D/BnaAnng40650D/BnaC06g18410D/BnaC02g19950D/BnaC09g39980D/BnaC09g20280D/BnaC06g11080D/BnaAnng20740D/BnaC06g23700D/BnaA09g39730D/BnaA09g47760D/BnaA01g31480D/BnaA02g24800D/BnaC04g00440D/BnaCnng57870D/BnaAnng07260D/BnaC02g32920D/BnaC02g33020D/BnaC03g21710D/BnaCnng62150D/BnaAnng29540D/BnaC04g47470D/BnaC04g42180D/BnaA04g26890D/BnaA08g03570D/BnaA09g13080D/BnaC03g72430D,141,1.6584244308594067,0.6619718309859155
GO:0045490,pectin catabolic process,0.015345628607630578,161/17795,7.819505686284212e-13,3.9394669647499857e-10,3.6875142604792915e-10,,BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaA02g26540D/BnaA01g31480D/BnaC05g10650D/BnaCnng60280D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA06g34060D/BnaA06g09240D,109,1.6961208762284854,0.6770186335403726
GO:0008643,carbohydrate transport,0.01210756018583697,123/17795,1.400582753332356e-11,5.880113259407007e-9,5.504044504323644e-9,,BnaCnng25770D/BnaA05g36140D/BnaA05g36160D/BnaA09g30430D/BnaC08g42910D/BnaC09g50910D/BnaA06g02890D/BnaC03g73840D/BnaA08g26710D/BnaA07g03370D/BnaCnng06490D/BnaA01g27670D/BnaC06g03490D/BnaC02g42230D/BnaA09g06250D,86,1.7516588089997471,0.6991869918699187
GO:0034219,carbohydrate transmembrane transport,0.008869491764043362,83/17795,2.5951355193114664e-11,9.338780533065119e-9,8.74150911768073e-9,,BnaCnng25770D/BnaA05g36140D/BnaA05g36160D/BnaC08g42910D/BnaC09g50910D/BnaA06g02890D/BnaC03g73840D/BnaA08g26710D/BnaA07g03370D/BnaCnng06490D/BnaA01g27670D/BnaC06g03490D/BnaC02g42230D/BnaA09g06250D,63,1.901597661941586,0.7590361445783133
GO:0042545,cell wall modification,0.010558918766718288,108/17795,4.643925731413644e-10,1.462256114678871e-7,1.3687360050482318e-7,,BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaA01g31480D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D,75,1.7397774023495551,0.6944444444444444
GO:0000272,polysaccharide catabolic process,0.01900605378009292,226/17795,1.1531857334605858e-9,3.2276387362080176e-7,3.021211746142354e-7,,BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaA02g26540D/BnaA03g46570D/BnaA01g31480D/BnaC08g45970D/BnaC05g10650D/BnaC07g14920D/BnaCnng60280D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA06g34060D/BnaA06g09240D/BnaC09g21440D/BnaA08g11430D/BnaA03g20310D,135,1.4965164912245732,0.5973451327433629
GO:0001906,cell killing,0.004364353090243559,35/17795,3.103806624696117e-9,7.107717170554108e-7,6.653135731406031e-7,,BnaA06g34310D/BnaA02g17500D/BnaC02g23410D/BnaC02g23420D/BnaC07g21520D/BnaA05g03390D,31,2.2189618068824037,0.8857142857142857
GO:0031640,killing of cells of another organism,0.004364353090243559,35/17795,3.103806624696117e-9,7.107717170554108e-7,6.653135731406031e-7,,BnaA06g34310D/BnaA02g17500D/BnaC02g23410D/BnaC02g23420D/BnaC07g21520D/BnaA05g03390D,31,2.2189618068824037,0.8857142857142857
GO:0015849,organic acid transport,0.01210756018583697,132/17795,3.735140429793807e-9,7.432275505649615e-7,6.956936600846258e-7,,BnaA05g32770D/BnaCnng25140D/BnaAnng35930D/BnaC04g05480D/BnaC01g39510D/BnaC03g23170D/BnaCnng03640D/BnaA04g12950D/BnaUnng00280D/BnaC05g44030D/BnaCnng46150D/BnaA08g26970D/BnaC06g13220D/BnaA01g17620D/BnaC01g21960D/BnaA09g18190D/BnaA03g19350D/BnaC04g32800D/BnaC04g32870D/BnaC06g40470D/BnaC02g33350D/BnaA03g53200D/BnaA08g13410D/BnaC02g42110D/BnaC06g00580D/BnaA07g09040D/BnaA09g14700D/BnaC04g33890D,86,1.6322275265679462,0.6515151515151515
GO:0010393,galacturonan metabolic process,0.018020554695199212,215/17795,4.1306811067524656e-9,7.432275505649615e-7,6.956936600846258e-7,,BnaCnng21600D/BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaA02g26540D/BnaA01g31480D/BnaC08g09520D/BnaA05g34130D/BnaC05g10650D/BnaC05g48570D/BnaCnng60280D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA06g34060D/BnaA06g09240D/BnaC09g31020D,128,1.4915152130282323,0.5953488372093023
GO:0045488,pectin metabolic process,0.018020554695199212,215/17795,4.1306811067524656e-9,7.432275505649615e-7,6.956936600846258e-7,,BnaCnng21600D/BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaA02g26540D/BnaA01g31480D/BnaC08g09520D/BnaA05g34130D/BnaC05g10650D/BnaC05g48570D/BnaCnng60280D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA06g34060D/BnaA06g09240D/BnaC09g31020D,128,1.4915152130282323,0.5953488372093023
GO:0060320,rejection of self pollen,0.007320850344924679,70/17795,5.2715581682260444e-9,8.852703350507604e-7,8.2865195065448e-7,,BnaA04g27910D/BnaC01g35680D/BnaC07g50360D/BnaAnng41470D/BnaA09g47570D,52,1.8610647412562098,0.7428571428571429
GO:0003333,amino acid transmembrane transport,0.008024778262705898,79/17795,6.0468283200482055e-9,8.989352709812327e-7,8.414429314046766e-7,,BnaA05g32770D/BnaCnng25140D/BnaC04g05480D/BnaC03g23170D/BnaCnng03640D/BnaUnng00280D/BnaC06g13220D/BnaA01g17620D/BnaC01g21960D/BnaA09g18190D/BnaA03g19350D/BnaC04g32870D/BnaC06g40470D/BnaA03g53200D/BnaC02g42110D/BnaC06g00580D/BnaA07g09040D/BnaA09g14700D,57,1.8076066985424237,0.7215189873417721
GO:0006865,amino acid transport,0.008728706180487118,88/17795,6.066653277761396e-9,8.989352709812327e-7,8.414429314046766e-7,,BnaA05g32770D/BnaCnng25140D/BnaAnng35930D/BnaC04g05480D/BnaC03g23170D/BnaCnng03640D/BnaUnng00280D/BnaC06g13220D/BnaA01g17620D/BnaC01g21960D/BnaA09g18190D/BnaA03g19350D/BnaC04g32800D/BnaC04g32870D/BnaC06g40470D/BnaA03g53200D/BnaC02g42110D/BnaC06g00580D/BnaA07g09040D/BnaA09g14700D/BnaC04g33890D,62,1.7650832554746392,0.7045454545454546
GO:0008272,sulfate transport,0.003801210756018584,30/17795,1.5696455460933065e-8,2.196631739227244e-6,2.0561438732450334e-6,,BnaC09g43540D/BnaA04g12950D,27,2.2547515134450236,0.9
GO:1903825,organic acid transmembrane transport,0.008869491764043362,93/17795,5.0266635937836384e-8,6.331082796370492e-6,5.926171815829132e-6,,BnaA05g32770D/BnaCnng25140D/BnaC04g05480D/BnaC03g23170D/BnaCnng03640D/BnaA04g12950D/BnaUnng00280D/BnaC06g13220D/BnaA01g17620D/BnaC01g21960D/BnaA09g18190D/BnaA03g19350D/BnaC04g32870D/BnaC06g40470D/BnaC02g33350D/BnaA03g53200D/BnaC02g42110D/BnaC06g00580D/BnaA07g09040D/BnaA09g14700D,63,1.6971247950661463,0.6774193548387096
GO:1905039,carboxylic acid transmembrane transport,0.008869491764043362,93/17795,5.0266635937836384e-8,6.331082796370492e-6,5.926171815829132e-6,,BnaA05g32770D/BnaCnng25140D/BnaC04g05480D/BnaC03g23170D/BnaCnng03640D/BnaA04g12950D/BnaUnng00280D/BnaC06g13220D/BnaA01g17620D/BnaC01g21960D/BnaA09g18190D/BnaA03g19350D/BnaC04g32870D/BnaC06g40470D/BnaC02g33350D/BnaA03g53200D/BnaC02g42110D/BnaC06g00580D/BnaA07g09040D/BnaA09g14700D,63,1.6971247950661463,0.6774193548387096
GO:0072348,sulfur compound transport,0.00478670984091229,42/17795,6.248646179028276e-8,7.4953998690343935e-6,7.016023779961573e-6,,BnaAnng35930D/BnaC09g43540D/BnaA04g12950D/BnaC04g32800D/BnaC04g33890D,34,2.028083371881767,0.8095238095238095
GO:1901071,glucosamine-containing compound metabolic process,0.005349852175137266,50/17795,2.2543783575786274e-7,2.5812632194275282e-5,2.416175847356998e-5,,BnaA09g00340D/BnaC04g49100D/BnaA01g34980D/BnaC09g43030D/BnaC03g56970D/BnaA09g08260D/BnaAnng27230D/BnaC03g24270D/BnaC05g01140D/BnaA03g20310D,38,1.9040123891313532,0.76
GO:0015807,L-amino acid transport,0.0032380684217936085,26/17795,4.0386453338590297e-7,4.4231946069525635e-5,4.1403045985557095e-5,,BnaAnng35930D/BnaA09g18190D/BnaC04g32800D/BnaC06g40470D/BnaC02g42110D/BnaC04g33890D,23,2.216208752531433,0.8846153846153846
GO:0042743,hydrogen peroxide metabolic process,0.011403632268055752,132/17795,4.878450475283708e-7,4.915526698895865e-5,4.6011490798465295e-5,,BnaA03g55260D/BnaC04g56610D/BnaA04g29190D/BnaCnng29190D/BnaC04g48960D/BnaA01g06830D/BnaAnng19770D/BnaC05g15990D/BnaA09g54370D/BnaC09g37760D/BnaC06g12560D/BnaC06g27340D/BnaC02g42920D/BnaCnng11080D/BnaA09g29780D/BnaC09g25680D/BnaC08g20820D/BnaA07g25540D,81,1.5373305773488795,0.6136363636363636
GO:0042744,hydrogen peroxide catabolic process,0.011403632268055752,132/17795,4.878450475283708e-7,4.915526698895865e-5,4.6011490798465295e-5,,BnaA03g55260D/BnaC04g56610D/BnaA04g29190D/BnaCnng29190D/BnaC04g48960D/BnaA01g06830D/BnaAnng19770D/BnaC05g15990D/BnaA09g54370D/BnaC09g37760D/BnaC06g12560D/BnaC06g27340D/BnaC02g42920D/BnaCnng11080D/BnaA09g29780D/BnaC09g25680D/BnaC08g20820D/BnaA07g25540D,81,1.5373305773488795,0.6136363636363636
GO:0008037,cell recognition,0.008447135013374631,92/17795,7.880852291416292e-7,7.635333431568323e-5,7.14700774606174e-5,,BnaA04g27910D/BnaC01g35680D/BnaC07g50360D/BnaAnng41470D/BnaC07g32220D/BnaA09g47570D,60,1.633877908293495,0.6521739130434783
GO:0016052,carbohydrate catabolic process,0.025763761790792622,349/17795,1.2030815915414002e-6,1.1224305663306617e-4,1.0506443528470708e-4,,BnaC03g75510D/BnaA09g30480D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaC05g32490D/BnaA02g26540D/BnaC09g09150D/BnaC08g15730D/BnaA03g46570D/BnaC09g33200D/BnaA01g31480D/BnaC08g45970D/BnaA07g28560D/BnaC05g10650D/BnaA09g17150D/BnaC02g12110D/BnaC07g14920D/BnaCnng60280D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA06g34060D/BnaA06g09240D/BnaC09g21440D/BnaCnng14830D/BnaA09g12250D/BnaA08g11430D/BnaA09g10080D/BnaC05g17920D/BnaA03g20310D/BnaA03g41490D,183,1.3136565646623344,0.5243553008595988
GO:0048544,recognition of pollen,0.008306349429818387,91/17795,1.302536404837935e-6,1.1590836711036568e-4,1.0849532702083917e-4,,BnaA04g27910D/BnaC01g35680D/BnaC07g50360D/BnaAnng41470D/BnaA09g47570D,59,1.6243020670727275,0.6483516483516484
GO:0015749,monosaccharide transmembrane transport,0.003519639588906096,30/17795,1.3343956515286245e-6,1.1590836711036568e-4,1.0849532702083917e-4,,BnaCnng25770D/BnaA06g02890D/BnaC06g03490D/BnaC02g42230D,25,2.087732882819466,0.8333333333333334
GO:0006885,regulation of pH,0.008024778262705898,88/17795,2.0541737838801126e-6,1.724821253864668e-4,1.61450851785665e-4,,BnaA09g02330D/BnaAnng16390D/BnaC05g03710D/BnaCnng39520D/BnaA01g06820D/BnaC05g46790D,57,1.6227378316460392,0.6477272727272727
GO:0044273,sulfur compound catabolic process,0.004927495424468535,48/17795,3.5636066119468664e-6,2.895717759836825e-4,2.710519120801691e-4,,BnaA01g05960D/BnaC03g67710D/BnaA01g05630D,35,1.8267662724670328,0.7291666666666666
GO:1902475,L-alpha-amino acid transmembrane transport,0.002534140504012389,20/17795,4.811969967905101e-6,3.787922609110297e-4,3.5456620816142853e-4,,BnaA09g18190D/BnaC06g40470D/BnaC02g42110D,18,2.254751513445023,0.9
