ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0045229,external encapsulating structure organization,0.03486094790442616,457/17795,9.095082318933489e-21,2.216406144472803e-17,2.147151303294014e-17,,BnaA06g23700D/BnaA06g34490D/BnaA03g55200D/BnaAnng35740D/BnaC04g05770D/BnaC03g75510D/BnaA08g25690D/BnaA03g55050D/BnaAnng13700D/BnaAnng13710D/BnaC09g41420D/BnaCnng73710D/BnaC01g39640D/BnaC01g39610D/BnaC04g49330D/BnaC04g43530D/BnaCnng34200D/BnaA02g35320D/BnaC03g74220D/BnaCnng39900D/BnaCnng40260D/BnaC04g51190D/BnaA01g06750D/BnaA01g06740D/BnaA01g06730D/BnaC09g32220D/BnaC05g28950D/BnaC09g14910D/BnaCnng47940D/BnaCnng48740D/BnaA09g51170D/BnaC01g22090D/BnaA01g31480D/BnaC08g09520D/BnaC08g45980D/BnaA05g34130D/BnaA10g29070D/BnaA03g50060D/BnaA09g35150D/BnaC02g12340D/BnaC05g48570D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA06g33800D/BnaA06g33810D/BnaC05g19230D/BnaC05g01250D/BnaC09g31020D/BnaA09g29750D/BnaCnng18430D/BnaA10g09760D,356,1.3574410677445592,0.7789934354485777
GO:0071555,cell wall organization,0.03427340383862123,449/17795,1.5911027598512583e-20,2.216406144472803e-17,2.147151303294014e-17,,BnaA06g23700D/BnaA06g34490D/BnaA03g55200D/BnaAnng35740D/BnaC04g05770D/BnaC03g75510D/BnaA08g25690D/BnaA03g55050D/BnaAnng13700D/BnaAnng13710D/BnaC09g41420D/BnaCnng73710D/BnaC01g39640D/BnaC01g39610D/BnaC04g49330D/BnaC04g43530D/BnaCnng34200D/BnaA02g35320D/BnaC03g74220D/BnaCnng39900D/BnaCnng40260D/BnaC04g51190D/BnaA01g06750D/BnaA01g06740D/BnaA01g06730D/BnaC09g32220D/BnaC05g28950D/BnaCnng47940D/BnaCnng48740D/BnaA09g51170D/BnaC01g22090D/BnaA01g31480D/BnaC08g09520D/BnaC08g45980D/BnaA05g34130D/BnaA10g29070D/BnaA03g50060D/BnaA09g35150D/BnaC02g12340D/BnaC05g48570D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA06g33800D/BnaA06g33810D/BnaC05g01250D/BnaC09g31020D/BnaCnng18430D/BnaA10g09760D,350,1.3583412501297658,0.779510022271715
GO:0043086,negative regulation of catalytic activity,0.017332549941245595,211/17795,1.0435286149224572e-16,9.69090240391322e-14,9.388096030390107e-14,,BnaA06g35460D/BnaCnng68380D/BnaA09g06930D/BnaA09g06720D/BnaA04g18120D/BnaC05g13820D/BnaC05g08260D/BnaAnng12730D/BnaC03g75510D/BnaC03g40820D/BnaA05g17590D/BnaC03g57120D/BnaAnng40650D/BnaC06g18410D/BnaC02g19950D/BnaC09g39980D/BnaC09g20280D/BnaCnng37890D/BnaC06g11080D/BnaC04g51190D/BnaAnng20740D/BnaCnng47940D/BnaA05g11440D/BnaC06g23690D/BnaC06g23700D/BnaA09g39730D/BnaA09g47760D/BnaA01g31480D/BnaA02g24800D/BnaC04g00440D/BnaCnng57870D/BnaAnng07260D/BnaC02g32920D/BnaC02g33020D/BnaC03g21710D/BnaC03g21240D/BnaCnng62150D/BnaAnng29540D/BnaC04g47470D/BnaC04g42180D/BnaA04g26890D/BnaA08g03570D/BnaA09g13080D/BnaC03g72430D,177,1.4617664749026795,0.8388625592417062
GO:0044092,negative regulation of molecular function,0.01743047395221308,213/17795,1.8680080824401333e-16,1.3010676294195528e-13,1.2604138745727636e-13,,BnaA06g35460D/BnaCnng68380D/BnaA09g06930D/BnaA09g06720D/BnaA04g18120D/BnaC05g13820D/BnaC05g08260D/BnaAnng12730D/BnaC03g75510D/BnaC03g40820D/BnaA05g17590D/BnaC03g57120D/BnaAnng40650D/BnaC06g18410D/BnaC02g19950D/BnaC09g39980D/BnaC09g20280D/BnaCnng37890D/BnaC06g11080D/BnaC04g51190D/BnaAnng20740D/BnaCnng47940D/BnaA05g11440D/BnaC06g23690D/BnaC06g23700D/BnaA09g39730D/BnaA09g47760D/BnaA01g31480D/BnaA02g24800D/BnaC04g00440D/BnaCnng57870D/BnaAnng07260D/BnaC02g32920D/BnaC02g33020D/BnaC03g21710D/BnaC03g21240D/BnaCnng62150D/BnaAnng29540D/BnaC04g47470D/BnaC04g42180D/BnaA04g26890D/BnaA08g03570D/BnaA09g13080D/BnaC03g72430D,178,1.4562219905147034,0.8356807511737089
GO:0045490,pectin catabolic process,0.013317665491578536,161/17795,1.2256179186920756e-13,6.829143042952245e-11,6.61575651268733e-11,,BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaA02g26540D/BnaC04g51190D/BnaC09g32220D/BnaCnng47940D/BnaA01g31480D/BnaC05g10650D/BnaCnng60280D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA06g34060D/BnaA06g09240D/BnaA10g09760D,136,1.471974269705839,0.84472049689441
GO:0000272,polysaccharide catabolic process,0.017332549941245595,226/17795,2.3298487108962013e-11,1.0818264180928027e-8,1.048023174515414e-8,,BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaCnng30450D/BnaA02g26540D/BnaC04g51190D/BnaC09g32220D/BnaCnng47940D/BnaC01g15100D/BnaA03g46570D/BnaC06g31870D/BnaA09g51160D/BnaA01g31480D/BnaC04g12480D/BnaC08g45970D/BnaC05g10650D/BnaC07g14920D/BnaCnng60280D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA06g34060D/BnaA06g09240D/BnaC09g21440D/BnaA08g11430D/BnaA10g09760D/BnaA03g20310D,177,1.364746576125953,0.7831858407079646
GO:0042545,cell wall modification,0.009106933019976499,108/17795,1.022776250938953e-10,3.237065441678834e-8,3.135918612787445e-8,,BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaC04g51190D/BnaC09g32220D/BnaCnng47940D/BnaA01g31480D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA10g09760D,93,1.5005358619489055,0.8611111111111112
GO:0010393,galacturonan metabolic process,0.01645123384253819,215/17795,1.0457138899895731e-10,3.237065441678834e-8,3.135918612787445e-8,,BnaCnng21600D/BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaCnng34200D/BnaA02g26540D/BnaC03g74220D/BnaC04g51190D/BnaC09g32220D/BnaCnng47940D/BnaA01g31480D/BnaC08g09520D/BnaA05g34130D/BnaC05g10650D/BnaC05g48570D/BnaCnng60280D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA06g34060D/BnaA06g09240D/BnaC09g31020D/BnaA10g09760D,168,1.3616265405951957,0.7813953488372093
GO:0045488,pectin metabolic process,0.01645123384253819,215/17795,1.0457138899895731e-10,3.237065441678834e-8,3.135918612787445e-8,,BnaCnng21600D/BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaCnng34200D/BnaA02g26540D/BnaC03g74220D/BnaC04g51190D/BnaC09g32220D/BnaCnng47940D/BnaA01g31480D/BnaC08g09520D/BnaA05g34130D/BnaC05g10650D/BnaC05g48570D/BnaCnng60280D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA06g34060D/BnaA06g09240D/BnaC09g31020D/BnaA10g09760D,168,1.3616265405951957,0.7813953488372093
GO:0008272,sulfate transport,0.002937720329024677,30/17795,5.708068630319202e-8,1.5902679204069297e-5,1.5405776808566774e-5,,BnaC09g43540D/BnaA04g12950D,30,1.742557775166471,1
GO:0034219,carbohydrate transmembrane transport,0.006854680767724246,83/17795,1.3138898686496232e-7,3.327724703688955e-5,3.2237450939881664e-5,,BnaCnng25770D/BnaA05g36140D/BnaA05g36160D/BnaA09g44150D/BnaC08g42910D/BnaC09g50910D/BnaA06g02890D/BnaC03g73840D/BnaA08g26710D/BnaA07g03370D/BnaCnng06490D/BnaA01g27670D/BnaC06g03490D/BnaC02g42230D/BnaA09g06250D,70,1.4696270392970237,0.8433734939759037
GO:0008643,carbohydrate transport,0.009596553074813944,123/17795,1.4424455625683011e-7,3.348877781096072e-5,3.2442372126536175e-5,,BnaCnng25770D/BnaA05g36140D/BnaA05g36160D/BnaA09g30430D/BnaA09g44150D/BnaC08g42910D/BnaC09g50910D/BnaA06g02890D/BnaA07g10320D/BnaC03g73840D/BnaA08g26710D/BnaA07g03370D/BnaCnng06490D/BnaA01g27670D/BnaC06g03490D/BnaC02g42230D/BnaA09g06250D,98,1.3883793655797896,0.7967479674796748
GO:0044273,sulfur compound catabolic process,0.004308656482569526,48/17795,1.7184672480743058e-7,3.682807502411551e-5,3.5677328130060894e-5,,BnaA04g19070D/BnaA08g12600D/BnaA09g55490D/BnaA01g05960D/BnaC03g67710D/BnaA01g05630D,44,1.5973446272359317,0.9166666666666666
GO:0060320,rejection of self pollen,0.005875440658049354,70/17795,3.2197008736614933e-7,6.407204738586371e-5,6.207002285765466e-5,,BnaA04g27910D/BnaC01g35680D/BnaC07g50360D/BnaAnng41470D/BnaA09g47570D,60,1.4936209501426894,0.8571428571428571
GO:0072348,sulfur compound transport,0.00381903642773208,42/17795,3.766133727649657e-7,6.994965710154629e-5,6.776397808907875e-5,,BnaAnng35930D/BnaC09g43540D/BnaA04g12950D/BnaC04g32800D/BnaC04g33890D,39,1.6180893626545798,0.9285714285714286
GO:0016052,carbohydrate catabolic process,0.02399138268703486,349/17795,4.288568763182146e-7,7.467470358890912e-5,7.23413836105199e-5,,BnaA06g35220D/BnaC03g75510D/BnaA09g30480D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaCnng30450D/BnaAnng15360D/BnaC05g32490D/BnaA02g26540D/BnaC09g09150D/BnaC04g51190D/BnaC09g32220D/BnaCnng47940D/BnaC08g15730D/BnaC01g15100D/BnaA03g46570D/BnaC06g31870D/BnaC06g31170D/BnaA09g51160D/BnaC09g33200D/BnaA01g31480D/BnaC04g12480D/BnaC08g45970D/BnaA07g28560D/BnaC05g10650D/BnaA09g17150D/BnaC02g12110D/BnaC07g14920D/BnaCnng60280D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA06g34060D/BnaA06g09240D/BnaC09g21440D/BnaCnng14830D/BnaA09g12250D/BnaA08g11430D/BnaA09g10080D/BnaA10g09760D/BnaC05g17920D/BnaA03g20310D/BnaA03g41490D,245,1.2232855441713046,0.7020057306590258
GO:0006865,amino acid transport,0.007050528789659225,88/17795,9.805819507932306e-7,1.6070007734764357e-4,1.5567876915379837e-4,,BnaA05g32770D/BnaCnng25140D/BnaAnng35930D/BnaC04g05480D/BnaC03g23170D/BnaCnng03640D/BnaUnng00280D/BnaC06g13220D/BnaA01g17620D/BnaC01g21960D/BnaA09g18190D/BnaA03g19350D/BnaC04g32800D/BnaC04g32870D/BnaC06g40470D/BnaA03g53200D/BnaC02g42110D/BnaC06g00580D/BnaA07g09040D/BnaA09g14700D/BnaC04g33890D,72,1.4257290887725669,0.8181818181818182
GO:0003333,amino acid transmembrane transport,0.0063650607128868,79/17795,2.2530110575583205e-6,3.487160447976378e-4,3.378199036011423e-4,,BnaA05g32770D/BnaCnng25140D/BnaC04g05480D/BnaC03g23170D/BnaCnng03640D/BnaUnng00280D/BnaC06g13220D/BnaA01g17620D/BnaC01g21960D/BnaA09g18190D/BnaA03g19350D/BnaC04g32870D/BnaC06g40470D/BnaA03g53200D/BnaC02g42110D/BnaC06g00580D/BnaA07g09040D/BnaA09g14700D,65,1.4337500681749444,0.8227848101265823
GO:0015849,organic acid transport,0.009890325107716412,132/17795,3.188918474630338e-6,4.4514210303756355e-4,4.3123298907632636e-4,,BnaA05g32770D/BnaCnng25140D/BnaAnng35930D/BnaC04g05480D/BnaC01g39510D/BnaC03g23170D/BnaCnng03640D/BnaA04g12950D/BnaA05g14430D/BnaUnng00280D/BnaC05g44030D/BnaCnng46150D/BnaA08g26970D/BnaC06g13220D/BnaA01g17620D/BnaC01g21960D/BnaA09g18190D/BnaA03g19350D/BnaC04g32800D/BnaC04g32870D/BnaC06g40470D/BnaC02g33350D/BnaA03g53200D/BnaA08g13410D/BnaC02g42110D/BnaC06g00580D/BnaA07g09040D/BnaA09g14700D/BnaC04g33890D,101,1.3333207219076784,0.7651515151515151
GO:0006885,regulation of pH,0.0069526047786917355,88/17795,3.195564271626443e-6,4.4514210303756355e-4,4.3123298907632636e-4,,BnaCnng20640D/BnaA09g02330D/BnaAnng16390D/BnaC05g03710D/BnaCnng39520D/BnaA01g06820D/BnaC05g46790D/BnaA02g29360D/BnaC02g37420D,71,1.405927295872948,0.8068181818181818
GO:0006751,glutathione catabolic process,0.002154328241284763,22/17795,4.894304561655085e-6,6.493110718462413e-4,6.290224008061974e-4,,BnaA08g12600D/BnaA01g05960D/BnaC03g67710D/BnaA01g05630D,22,1.7425577751664707,1
