ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0030312,external encapsulating structure,0.028046120286693673,344/28163,2.0190822646043978e-14,7.267407884034094e-12,7.152739526159563e-12,,BnaA02g23870D/BnaC08g42670D/BnaC02g12030D/BnaA03g52510D/BnaC08g13660D/BnaA02g35320D/BnaCnng18430D/BnaCnng71940D/BnaA03g50060D/BnaC04g05770D/BnaC05g01100D/BnaA01g06730D/BnaC05g39570D/BnaA01g31480D/BnaC04g08400D/BnaCnng07500D/BnaCnng11080D/BnaCnng73710D/BnaA09g02480D/BnaA09g06900D/BnaCnng23400D/BnaCnng51340D/BnaAnng02980D/BnaA08g24690D/BnaA09g44390D/BnaC03g55620D/BnaA06g18230D/BnaCnng47940D/BnaC03g63170D/BnaC02g12340D,90,2.2961130396341685,0.2616279069767442
GO:0005618,cell wall,0.027422873169211593,335/28163,3.0471311882742534e-14,7.267407884034094e-12,7.152739526159563e-12,,BnaA02g23870D/BnaC08g42670D/BnaC02g12030D/BnaA03g52510D/BnaC08g13660D/BnaA02g35320D/BnaCnng18430D/BnaCnng71940D/BnaA03g50060D/BnaC04g05770D/BnaC05g01100D/BnaA01g06730D/BnaC05g39570D/BnaA01g31480D/BnaC04g08400D/BnaCnng07500D/BnaCnng11080D/BnaCnng73710D/BnaA09g02480D/BnaA09g06900D/BnaCnng23400D/BnaCnng51340D/BnaAnng02980D/BnaA08g24690D/BnaA09g44390D/BnaC03g55620D/BnaA06g18230D/BnaCnng47940D/BnaC03g63170D/BnaC02g12340D,88,2.3054041106403167,0.2626865671641791
GO:0012511,monolayer-surrounded lipid storage body,0.006855718292302898,48/28163,2.322627126489497e-9,3.6929771311183e-7,3.634707713734441e-7,,BnaC07g39370D/BnaA03g47170D/BnaA08g14540D/BnaA04g15210D/BnaA09g02110D/BnaA10g05760D/BnaAnng06430D/BnaC09g47930D/BnaA10g30190D,22,4.022449880544302,0.4583333333333333
GO:0046658,anchored component of plasma membrane,0.013399813025864755,153/28163,1.2443820754944651e-8,1.4839256250271497e-6,1.4605115938698197e-6,,BnaC01g20930D/BnaA09g41380D/BnaA10g09880D/BnaC09g32320D/BnaA05g34120D/BnaCnng29090D/BnaC07g49830D/BnaC01g20120D/BnaA02g26590D/BnaA09g41080D/BnaA09g04690D/BnaCnng07500D/BnaC02g34070D/BnaA09g05510D/BnaC09g08880D/BnaC01g21170D/BnaC08g43140D/BnaA01g17910D/BnaC07g49800D/BnaUnng03630D,43,2.4665289820093403,0.28104575163398693
GO:0031226,intrinsic component of plasma membrane,0.020255531318167652,283/28163,2.333598343498503e-8,2.226252819697572e-6,2.191126023579647e-6,,BnaC01g20930D/BnaA09g30430D/BnaA02g35410D/BnaA09g41380D/BnaA10g09880D/BnaC09g32320D/BnaA05g34120D/BnaCnng29090D/BnaC07g49830D/BnaC01g20120D/BnaA02g26590D/BnaC03g14980D/BnaA09g41080D/BnaA09g04690D/BnaCnng07500D/BnaC02g34070D/BnaA09g05510D/BnaC09g08880D/BnaC01g21170D/BnaC08g43140D/BnaA01g17910D/BnaC07g49800D/BnaUnng03630D/BnaA07g10320D,65,2.015747450577935,0.22968197879858657
GO:0031225,anchored component of membrane,0.014334683702087878,178/28163,6.593774820858274e-8,5.242050982582328e-6,5.159339596671562e-6,,BnaC01g20930D/BnaA09g41380D/BnaA10g09880D/BnaC09g32320D/BnaA05g34120D/BnaCnng29090D/BnaC07g49830D/BnaC01g20120D/BnaA02g26590D/BnaA09g41080D/BnaA09g04690D/BnaCnng07500D/BnaC02g34070D/BnaA09g05510D/BnaC09g08880D/BnaC01g21170D/BnaC08g43140D/BnaA01g17910D/BnaC07g49800D/BnaUnng03630D,46,2.2680207702353985,0.25842696629213485
GO:0048046,apoplast,0.014023060143346837,175/28163,1.0670287091799903e-7,7.271038489697933e-6,7.156312846530462e-6,,BnaC08g42670D/BnaC02g12030D/BnaC08g13660D/BnaA02g35320D/BnaCnng71940D/BnaA03g50060D/BnaC05g01100D/BnaA01g06730D/BnaC05g39570D/BnaC04g08400D/BnaAnng02980D/BnaC06g10720D/BnaA09g44390D,45,2.256751101811868,0.2571428571428571
GO:0005811,lipid droplet,0.00747896540978498,76/28163,2.0863194872789088e-6,1.2439679942900493e-4,1.224340120166307e-4,,BnaC07g39370D/BnaA03g47170D/BnaA08g14540D/BnaA04g15210D/BnaA09g02110D/BnaA10g05760D/BnaAnng06430D/BnaC09g47930D/BnaA10g30190D,24,2.7714487215233476,0.3157894736842105
GO:0005911,cell-cell junction,0.011530071673418511,173/28163,1.1309995197823852e-4,0.005394867709361977,0.005309745113925724,,BnaC08g42670D/BnaA01g06620D/BnaA01g05340D/BnaA03g52510D/BnaC08g13660D/BnaA09g18130D/BnaA09g51990D/BnaC05g01100D/BnaC01g20590D/BnaCnng11080D/BnaC07g50680D/BnaC09g50870D/BnaCnng23400D/BnaAnng02980D/BnaC03g55620D/BnaA06g18230D,37,1.877002361494136,0.2138728323699422
GO:0070161,anchoring junction,0.011530071673418511,173/28163,1.1309995197823852e-4,0.005394867709361977,0.005309745113925724,,BnaC08g42670D/BnaA01g06620D/BnaA01g05340D/BnaA03g52510D/BnaC08g13660D/BnaA09g18130D/BnaA09g51990D/BnaC05g01100D/BnaC01g20590D/BnaCnng11080D/BnaC07g50680D/BnaC09g50870D/BnaCnng23400D/BnaAnng02980D/BnaC03g55620D/BnaA06g18230D,37,1.877002361494136,0.2138728323699422
GO:0030054,cell junction,0.011530071673418511,174/28163,1.28101942274035e-4,0.00555496604224679,0.0054673173449013976,,BnaC08g42670D/BnaA01g06620D/BnaA01g05340D/BnaA03g52510D/BnaC08g13660D/BnaA09g18130D/BnaA09g51990D/BnaC05g01100D/BnaC01g20590D/BnaCnng11080D/BnaC07g50680D/BnaC09g50870D/BnaCnng23400D/BnaAnng02980D/BnaC03g55620D/BnaA06g18230D,37,1.8662149916004915,0.21264367816091953
GO:0031379,RNA-directed RNA polymerase complex,0.0021813649111872857,13/28163,2.2750109015926776e-4,0.008347540000459286,0.008215828842998658,,,7,4.725675384135964,0.5384615384615384
GO:0031380,nuclear RNA-directed RNA polymerase complex,0.0021813649111872857,13/28163,2.2750109015926776e-4,0.008347540000459286,0.008215828842998658,,,7,4.725675384135964,0.5384615384615384
GO:0009506,plasmodesma,0.006544094733561857,83/28163,3.172097565015604e-4,0.01008727025674962,0.009928108870154101,,BnaC08g42670D/BnaA01g06620D/BnaC08g13660D/BnaA09g18130D/BnaA09g51990D/BnaC05g01100D/BnaC01g20590D/BnaAnng02980D/BnaC03g55620D/BnaA06g18230D,21,2.2204980720638865,0.25301204819277107
GO:0055044,symplast,0.006544094733561857,83/28163,3.172097565015604e-4,0.01008727025674962,0.009928108870154101,,BnaC08g42670D/BnaA01g06620D/BnaC08g13660D/BnaA09g18130D/BnaA09g51990D/BnaC05g01100D/BnaC01g20590D/BnaAnng02980D/BnaC03g55620D/BnaA06g18230D,21,2.2204980720638865,0.25301204819277107
GO:0000786,nucleosome,0.010595200997195388,181/28163,0.002312601181857874,0.06894442273413787,0.06785658730977709,,BnaC03g41720D/BnaC03g11650D/BnaA04g21530D/BnaA03g22040D/BnaA04g16620D/BnaA03g17280D/BnaA03g09320D/BnaA01g25600D/BnaC03g20760D/BnaC06g37340D/BnaA06g04320D/BnaA07g16430D/BnaC09g46270D/BnaC06g05580D/BnaA06g04180D/BnaA10g21880D/BnaC08g42930D/BnaCnng10730D,34,1.648578152950352,0.1878453038674033
GO:0009505,plant-type cell wall,0.004985976939856653,67/28163,0.0029802349728991263,0.08362188718075783,0.08230246426705946,,BnaA02g23870D/BnaA03g52510D/BnaCnng11080D/BnaC03g63170D,16,2.095821918763924,0.23880597014925373
GO:0005787,signal peptidase complex,0.0031162355874104083,34/28163,0.0036078590100795563,0.09560826376710824,0.09409971453189954,,BnaA06g01890D,10,2.581251260242333,0.29411764705882354
GO:0044815,DNA packaging complex,0.01807416640698037,366/28163,0.0059934943553168335,0.15046825302558575,0.14809409875187302,,BnaC03g41720D/BnaC03g11650D/BnaA04g21530D/BnaA03g22040D/BnaA04g16620D/BnaA03g17280D/BnaA03g09320D/BnaA01g25600D/BnaC03g20760D/BnaC06g37340D/BnaA06g04320D/BnaA07g16430D/BnaC09g46270D/BnaCnng56390D/BnaC06g05580D/BnaA06g04180D/BnaA10g21880D/BnaC08g42930D/BnaCnng10730D/BnaA01g35740D,58,1.3907725369393118,0.15846994535519127
GO:0000153,cytoplasmic ubiquitin ligase complex,0.001869741352446245,16/28163,0.006327931896362361,0.15092117572824232,0.14853987504092703,,BnaC03g64590D,6,3.2910953568089747,0.375
