ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0015934,large ribosomal subunit,0.025259559382122057,448/29324,3.9445923825890735e-59,2.776993037342708e-56,2.6615618076206277e-56,,BnaA05g26710D/BnaA06g24150D/BnaC08g11160D/BnaA06g35050D/BnaC08g21480D/BnaC04g03350D/BnaC05g02580D/BnaAnng10790D/BnaA09g52020D/BnaAnng34410D/BnaCnng21840D/BnaA01g26560D/BnaA09g06940D/BnaC08g48140D/BnaA07g37750D/BnaCnng23290D/BnaAnng12180D/BnaC09g31760D/BnaA09g02410D/BnaAnng12530D/BnaC04g06100D/BnaC07g12420D/BnaC08g13790D/BnaC08g13710D/BnaA02g08520D/BnaA09g44020D/BnaA09g44030D/BnaA09g00680D/BnaC08g42570D/BnaC08g43520D/BnaCnng31050D/BnaC01g15340D/BnaCnng32900D/BnaCnng33200D/BnaA05g30690D/BnaC03g22400D/BnaC03g22120D/BnaC06g17900D/BnaA02g21980D/BnaC06g43680D/BnaC02g20030D/BnaC09g43570D/BnaCnng03190D/BnaC09g20460D/BnaC01g40830D/BnaC03g77650D/BnaC06g43320D/BnaA02g18970D/BnaA09g35340D/BnaC02g19510D/BnaC07g32120D/BnaC07g50200D/BnaA03g49550D/BnaC04g31680D/BnaA04g15980D/BnaA04g29060D/BnaCnng46360D/BnaC01g43880D/BnaC04g27310D/BnaA08g26210D/BnaA08g26270D/BnaC03g47030D/BnaA10g13490D/BnaA09g55440D/BnaC06g23300D/BnaA03g54430D/BnaA09g51520D/BnaA10g10840D/BnaC09g33240D/BnaA07g38870D/BnaC04g08700D/BnaA06g35970D/BnaA02g30400D/BnaA09g27060D/BnaA09g41680D/BnaA01g32660D/BnaA02g36270D/BnaA09g18000D/BnaC03g59540D/BnaC03g13330D/BnaC03g67590D/BnaC08g45990D/BnaC08g46120D/BnaA06g19150D/BnaA07g28280D/BnaA09g10380D/BnaA09g15190D/BnaCnng57310D/BnaA09g34900D/BnaA07g09380D/BnaA02g27070D/BnaC07g16510D/BnaC06g14610D/BnaC06g14370D/BnaA03g53350D/BnaA09g18530D/BnaC05g43330D/BnaCnng58700D/BnaC02g12070D/BnaAnng07090D/BnaA03g51130D/BnaA06g33230D/BnaA02g14450D/BnaA02g14510D/BnaA01g13300D/BnaC02g25080D/BnaC03g44740D/BnaA01g27990D/BnaAnng08420D/BnaA02g29320D/BnaA08g27920D/BnaA09g09960D/BnaA10g09400D/BnaC04g52560D/BnaCnng19850D/BnaC03g72020D/BnaC07g45990D/BnaC05g34370D/BnaC08g24220D/BnaC09g01930D/BnaA03g28560D/BnaC07g35100D/BnaA04g09460D/BnaC09g19370D/BnaC09g10560D/BnaC09g10010D/BnaC06g25310D/BnaC09g25610D/BnaC05g45150D/BnaC02g38740D/BnaA09g48320D/BnaA04g23010D/BnaC03g40660D/BnaA07g24200D/BnaA07g25010D/BnaC03g34830D/BnaA06g16250D/BnaA04g04780D/BnaA04g05050D/BnaA08g08550D/BnaA07g05210D/BnaC07g19160D/BnaC07g20640D/BnaC01g02520D/BnaA01g08920D/BnaA03g34910D/BnaC07g01480D/BnaC03g09350D/BnaC07g26730D/BnaA03g10640D/BnaA03g07380D/BnaA03g43610D/BnaC03g33700D/BnaA05g21410D/BnaA03g37610D/BnaC04g45340D/BnaC08g29880D,399,1.6533734806280072,0.890625
GO:0022625,cytosolic large ribosomal subunit,0.020574829070650797,354/29324,8.0182337954260035e-56,2.822418295989953e-53,2.70509887519372e-53,,BnaA06g24150D/BnaC08g11160D/BnaA06g35050D/BnaC08g21480D/BnaC04g03350D/BnaC05g02580D/BnaA09g52020D/BnaAnng34410D/BnaCnng21840D/BnaA01g26560D/BnaA07g37750D/BnaCnng23290D/BnaAnng12180D/BnaA09g02410D/BnaAnng12530D/BnaC04g06100D/BnaC08g13790D/BnaC08g13710D/BnaA02g08520D/BnaA09g44020D/BnaA09g44030D/BnaA09g00680D/BnaC08g42570D/BnaCnng31050D/BnaC01g15340D/BnaCnng32900D/BnaA05g30690D/BnaC03g22400D/BnaC03g22120D/BnaA02g21980D/BnaC06g43680D/BnaC02g20030D/BnaCnng03190D/BnaC09g20460D/BnaC01g40830D/BnaC03g77650D/BnaC06g43320D/BnaA02g18970D/BnaA09g35340D/BnaC02g19510D/BnaC07g32120D/BnaC07g50200D/BnaA03g49550D/BnaA04g15980D/BnaA04g29060D/BnaCnng46360D/BnaC01g43880D/BnaC04g27310D/BnaA08g26210D/BnaA08g26270D/BnaC03g47030D/BnaA10g13490D/BnaC06g23300D/BnaA09g51520D/BnaA10g10840D/BnaC09g33240D/BnaA07g38870D/BnaC04g08700D/BnaA06g35970D/BnaA02g30400D/BnaA01g32660D/BnaA02g36270D/BnaA09g18000D/BnaC03g59540D/BnaC03g13330D/BnaC08g45990D/BnaC08g46120D/BnaA06g19150D/BnaA07g28280D/BnaA09g10380D/BnaA09g15190D/BnaA09g34900D/BnaA02g27070D/BnaC07g16510D/BnaC06g14610D/BnaC06g14370D/BnaA09g18530D/BnaC05g43330D/BnaCnng58700D/BnaC02g12070D/BnaA06g33230D/BnaA02g14450D/BnaA02g14510D/BnaA01g13300D/BnaC02g25080D/BnaC03g44740D/BnaAnng08420D/BnaA02g29320D/BnaA08g27920D/BnaA09g09960D/BnaCnng19850D/BnaC03g72020D/BnaC07g45990D/BnaC05g34370D/BnaC08g24220D/BnaC09g01930D/BnaA03g28560D/BnaC07g35100D/BnaC09g19370D/BnaC09g10560D/BnaC09g10010D/BnaC06g25310D/BnaC05g45150D/BnaC02g38740D/BnaA09g48320D/BnaA04g23010D/BnaC03g40660D/BnaA07g24200D/BnaA07g25010D/BnaC03g34830D/BnaA06g16250D/BnaA04g04780D/BnaA04g05050D/BnaA08g08550D/BnaA07g05210D/BnaC07g19160D/BnaC07g20640D/BnaC01g02520D/BnaA01g08920D/BnaA03g34910D/BnaC07g01480D/BnaC07g26730D/BnaA03g10640D/BnaA03g43610D/BnaC03g33700D/BnaA05g21410D/BnaA03g37610D/BnaC04g45340D,325,1.7043397956716497,0.9180790960451978
GO:0015935,small ribosomal subunit,0.01785262091668777,330/29324,1.281842869563396e-34,3.008057933908769e-32,2.8830220329478484e-32,,BnaA05g27160D/BnaA05g27190D/BnaA02g06730D/BnaA03g07060D/BnaC04g53170D/BnaA03g57330D/BnaA04g21290D/BnaA01g26980D/BnaA09g06730D/BnaA04g18210D/BnaA01g28980D/BnaC03g73560D/BnaA09g54920D/BnaC04g36490D/BnaA02g08440D/BnaC01g41990D/BnaCnng27520D/BnaA01g33400D/BnaA01g33650D/BnaA04g29230D/BnaCnng29070D/BnaC03g23520D/BnaC04g56900D/BnaC04g44220D/BnaC07g31040D/BnaC03g74960D/BnaC06g42550D/BnaC02g39820D/BnaC03g69780D/BnaC09g20530D/BnaC09g20520D/BnaCnng38910D/BnaC09g41680D/BnaC03g66290D/BnaA06g38660D/BnaA10g12820D/BnaA05g17290D/BnaA03g01080D/BnaC01g36340D/BnaC03g15950D/BnaC02g11990D/BnaC04g13040D/BnaA01g33230D/BnaA09g47800D/BnaA01g27320D/BnaA06g10600D/BnaA07g01070D/BnaA04g26120D/BnaC05g30250D/BnaA05g34140D/BnaA03g13080D/BnaC01g34770D/BnaC03g33960D/BnaA09g18590D/BnaA09g38730D/BnaC05g48560D/BnaC02g02880D/BnaC04g47870D/BnaC04g42750D/BnaA03g17150D/BnaAnng08140D/BnaA02g32780D/BnaC02g42050D/BnaAnng30090D/BnaAnng09380D/BnaC04g22000D/BnaA08g29090D/BnaA09g09970D/BnaA05g33140D/BnaA03g50690D/BnaA09g06070D/BnaA05g09320D/BnaC06g24350D/BnaAnng10670D/BnaA07g16150D/BnaA07g18810D/BnaC05g05370D/BnaA07g30140D/BnaC08g24870D/BnaA10g07870D/BnaC05g41290D/BnaA03g32020D/BnaA03g39990D/BnaA05g04770D/BnaA05g07210D/BnaAnng00820D/BnaA01g03150D/BnaA09g49260D/BnaA07g06200D/BnaC01g04410D/BnaC03g20660D/BnaC09g35210D/BnaC03g01450D/BnaA10g18170D/BnaA10g26290D/BnaC07g01520D/BnaC03g08960D/BnaC03g11550D/BnaC09g04730D/BnaC09g05630D/BnaA07g33670D/BnaA06g04200D,282,1.5863947144271278,0.8545454545454545
GO:0022627,cytosolic small ribosomal subunit,0.013674347936186377,245/29324,4.719935527869965e-31,8.307086529051138e-29,7.961785982538546e-29,,BnaA05g27160D/BnaA05g27190D/BnaA02g06730D/BnaA03g07060D/BnaC04g53170D/BnaA03g57330D/BnaA04g21290D/BnaA09g06730D/BnaA04g18210D/BnaC03g73560D/BnaA09g54920D/BnaC04g36490D/BnaC01g41990D/BnaCnng27520D/BnaA01g33400D/BnaA01g33650D/BnaA04g29230D/BnaCnng29070D/BnaC03g23520D/BnaC04g56900D/BnaC04g44220D/BnaC07g31040D/BnaC03g74960D/BnaC06g42550D/BnaC02g39820D/BnaC03g69780D/BnaC09g20530D/BnaC09g20520D/BnaCnng38910D/BnaC09g41680D/BnaC03g66290D/BnaA06g38660D/BnaA10g12820D/BnaA03g01080D/BnaC03g15950D/BnaC04g13040D/BnaA01g33230D/BnaA09g47800D/BnaA06g10600D/BnaA07g01070D/BnaA04g26120D/BnaA05g34140D/BnaA03g13080D/BnaC03g33960D/BnaA09g18590D/BnaA09g38730D/BnaC05g48560D/BnaC02g02880D/BnaC04g47870D/BnaC04g42750D/BnaA03g17150D/BnaAnng08140D/BnaA02g32780D/BnaC02g42050D/BnaAnng30090D/BnaAnng09380D/BnaC04g22000D/BnaA08g29090D/BnaA09g09970D/BnaA05g33140D/BnaA03g50690D/BnaA09g06070D/BnaC06g24350D/BnaAnng10670D/BnaA07g16150D/BnaA07g18810D/BnaC05g05370D/BnaA07g30140D/BnaC08g24870D/BnaA10g07870D/BnaC05g41290D/BnaA03g32020D/BnaA03g39990D/BnaA05g04770D/BnaA05g07210D/BnaAnng00820D/BnaA01g03150D/BnaA09g49260D/BnaC01g04410D/BnaC03g20660D/BnaC09g35210D/BnaC03g01450D/BnaA10g18170D/BnaA10g26290D/BnaC07g01520D/BnaC03g08960D/BnaC03g11550D/BnaC09g04730D/BnaC09g05630D/BnaA06g04200D,216,1.6366799137988952,0.8816326530612245
GO:0030684,preribosome,0.01139528994682198,208/29324,5.933656365440168e-24,8.354588162539757e-22,8.007313116309784e-22,,BnaC09g12750D/BnaC04g02720D/BnaA04g21760D/BnaC04g04050D/BnaC04g36490D/BnaC01g41990D/BnaC03g29670D/BnaA05g34470D/BnaC03g73340D/BnaA08g05860D/BnaA01g18390D/BnaC04g55100D/BnaCnng34340D/BnaC03g42920D/BnaA02g25840D/BnaC02g20050D/BnaC07g33200D/BnaC09g41680D/BnaA09g47020D/BnaAnng18930D/BnaC07g32160D/BnaA07g37200D/BnaAnng20310D/BnaC02g26240D/BnaA09g35160D/BnaA09g35240D/BnaC08g26410D/BnaA08g00080D/BnaA08g13850D/BnaC03g20970D/BnaC01g22300D/BnaC02g34080D/BnaA09g55200D/BnaC08g10420D/BnaC09g37260D/BnaA09g20820D/BnaC09g41090D/BnaA03g47600D/BnaA03g47570D/BnaC06g24350D/BnaA03g17540D/BnaA01g12190D/BnaA10g18170D/BnaC01g13870D/BnaA03g25240D/BnaC09g23090D,180,1.6065167423106141,0.8653846153846154
GO:0034455,t-UTP complex,0.005381109141554824,93/29324,3.1303040651343356e-15,3.6728901030909535e-13,3.520219132896683e-13,,BnaC09g12750D/BnaC04g02720D/BnaC04g04050D/BnaC04g36490D/BnaC01g41990D/BnaA05g34470D/BnaC03g73340D/BnaC04g55100D/BnaCnng34340D/BnaC09g41680D/BnaA09g47020D/BnaAnng18930D/BnaAnng20310D/BnaA09g35160D/BnaC08g26410D/BnaA08g00080D/BnaA08g13850D/BnaA09g55200D/BnaC09g41090D/BnaA03g47570D/BnaC06g24350D,85,1.6967273598597166,0.9139784946236559
GO:0032040,small-subunit processome,0.005950873638895923,107/29324,4.673846945288167e-14,4.700554642118385e-12,4.505166754781527e-12,,BnaC09g12750D/BnaC01g41990D/BnaC03g29670D/BnaC03g73340D/BnaC04g55100D/BnaCnng34340D/BnaC09g41680D/BnaAnng18930D/BnaAnng20310D/BnaC02g26240D/BnaA08g00080D/BnaA08g13850D/BnaA09g20820D/BnaC09g41090D/BnaA03g47570D/BnaA01g12190D/BnaA10g18170D/BnaC01g13870D/BnaA03g25240D/BnaC09g23090D,94,1.6308730709063928,0.8785046728971962
GO:0030312,external encapsulating structure,0.015636870093694605,346/29324,1.4551354469791342e-11,1.2805191933416382e-9,1.2272918704126646e-9,,BnaC03g63170D/BnaA06g34490D/BnaA09g06900D/BnaAnng02980D/BnaC05g14660D/BnaAnng35740D/BnaC04g05770D/BnaC08g13660D/BnaCnng71940D/BnaC03g75510D/BnaA08g25690D/BnaA09g44390D/BnaA03g55050D/BnaAnng13700D/BnaAnng13710D/BnaA04g29190D/BnaCnng29190D/BnaCnng73710D/BnaC09g00910D/BnaC08g42670D/BnaCnng30450D/BnaC04g48960D/BnaC05g39570D/BnaA06g39970D/BnaA02g35320D/BnaCnng38910D/BnaCnng40260D/BnaA02g11200D/BnaC04g51190D/BnaC05g44040D/BnaA01g06750D/BnaA01g06740D/BnaA01g06730D/BnaC09g32220D/BnaC05g28950D/BnaC09g14910D/BnaCnng47940D/BnaC06g24160D/BnaA04g16780D/BnaC02g12030D/BnaC01g37010D/BnaCnng07500D/BnaC02g09490D/BnaA01g31480D/BnaC06g12560D/BnaA10g29070D/BnaA03g50060D/BnaC02g42920D/BnaA09g35150D/BnaC01g19940D/BnaA03g53130D/BnaC06g30760D/BnaC02g12340D/BnaCnng11080D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA02g29640D/BnaCnng13310D/BnaCnng61650D/BnaA03g52510D/BnaC05g19230D/BnaC04g47720D/BnaC05g01100D/BnaA08g02000D/BnaA07g14280D/BnaA09g29750D/BnaCnng18430D/BnaC03g34440D/BnaA10g09760D/BnaCnng19890D/BnaA09g49260D,247,1.325247337073701,0.7138728323699421
GO:0005618,cell wall,0.01513041276272474,334/29324,2.0955283172250642e-11,1.6391688170293836e-9,1.5710335103406622e-9,,BnaC03g63170D/BnaA06g34490D/BnaA09g06900D/BnaAnng02980D/BnaC05g14660D/BnaAnng35740D/BnaC04g05770D/BnaC08g13660D/BnaCnng71940D/BnaC03g75510D/BnaA08g25690D/BnaA09g44390D/BnaA03g55050D/BnaAnng13700D/BnaAnng13710D/BnaA04g29190D/BnaCnng29190D/BnaCnng73710D/BnaC09g00910D/BnaC08g42670D/BnaCnng30450D/BnaC04g48960D/BnaC05g39570D/BnaA06g39970D/BnaA02g35320D/BnaCnng38910D/BnaCnng40260D/BnaA02g11200D/BnaC04g51190D/BnaC05g44040D/BnaA01g06750D/BnaA01g06740D/BnaA01g06730D/BnaC09g32220D/BnaC05g28950D/BnaCnng47940D/BnaC06g24160D/BnaA04g16780D/BnaC02g12030D/BnaC01g37010D/BnaCnng07500D/BnaC02g09490D/BnaA01g31480D/BnaC06g12560D/BnaA10g29070D/BnaA03g50060D/BnaC02g42920D/BnaA09g35150D/BnaA03g53130D/BnaC06g30760D/BnaC02g12340D/BnaCnng11080D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA02g29640D/BnaCnng13310D/BnaCnng61650D/BnaA03g52510D/BnaC04g47720D/BnaC05g01100D/BnaA08g02000D/BnaA07g14280D/BnaCnng18430D/BnaC03g34440D/BnaA10g09760D/BnaCnng19890D/BnaA09g49260D,239,1.3283958798028153,0.7155688622754491
GO:0005732,sno(s)RNA-containing ribonucleoprotein complex,0.003861737148645227,68/29324,1.9398388531731214e-10,1.3656465526338775e-8,1.3088807419831273e-8,,BnaA03g06930D/BnaC03g29670D/BnaC09g47740D/BnaC03g73340D/BnaCnng34340D/BnaAnng18930D/BnaCnng43190D/BnaA09g56020D/BnaC01g40380D/BnaA07g00340D/BnaC02g26240D/BnaA09g10290D/BnaAnng06240D/BnaA08g00080D/BnaA09g43720D/BnaC02g01270D/BnaC04g22660D/BnaA09g20820D/BnaA03g47570D/BnaC07g42460D/BnaA01g12190D/BnaC01g13870D/BnaA03g25240D/BnaC09g23090D,61,1.665317355101068,0.8970588235294118
