ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0015934,large ribosomal subunit,0.05082946250829463,421/16427,3.63946996011529e-88,2.3620160041148232e-85,2.064920324739096e-85,,BnaA05g26710D/BnaA06g24150D/BnaC08g11160D/BnaA06g35050D/BnaC08g21480D/BnaC04g03350D/BnaC05g02580D/BnaAnng10790D/BnaA09g52020D/BnaAnng34410D/BnaCnng21840D/BnaA01g26560D/BnaA09g06940D/BnaC08g48140D/BnaA07g37750D/BnaCnng23290D/BnaAnng12180D/BnaC09g31760D/BnaA09g02410D/BnaAnng12530D/BnaC07g12420D/BnaC08g13790D/BnaC08g13710D/BnaA02g08520D/BnaA09g44020D/BnaA09g44030D/BnaA09g00680D/BnaC08g42570D/BnaC08g43520D/BnaCnng31050D/BnaC01g15340D/BnaCnng32900D/BnaCnng33200D/BnaA05g30690D/BnaC03g22400D/BnaC03g22120D/BnaA02g21980D/BnaC06g43680D/BnaC02g20030D/BnaC09g43570D/BnaCnng03190D/BnaC09g20460D/BnaC01g40830D/BnaC03g77650D/BnaC06g43320D/BnaA02g18970D/BnaA09g35340D/BnaC02g19510D/BnaC07g32120D/BnaC07g50200D/BnaA03g49550D/BnaC04g31680D/BnaA04g15980D/BnaA04g29060D/BnaCnng46360D/BnaC01g43880D/BnaC04g27310D/BnaA08g26210D/BnaA08g26270D/BnaC03g47030D/BnaA10g13490D/BnaA09g55440D/BnaA03g54430D/BnaA09g51520D/BnaA10g10840D/BnaC09g33240D/BnaA07g38870D/BnaC04g08700D/BnaA06g35970D/BnaA02g30400D/BnaA09g27060D/BnaA09g41680D/BnaA01g32660D/BnaA02g36270D/BnaA09g18000D/BnaC03g59540D/BnaC03g13330D/BnaC03g67590D/BnaC08g45990D/BnaC08g46120D/BnaA06g19150D/BnaA07g28280D/BnaA09g10380D/BnaA09g15190D/BnaCnng57310D/BnaA09g34900D/BnaA07g09380D/BnaA02g27070D/BnaC07g16510D/BnaC06g14610D/BnaC06g14370D/BnaA03g53350D/BnaA09g18530D/BnaC05g43330D/BnaCnng58700D/BnaC02g12070D/BnaA03g51130D/BnaA06g33230D/BnaA02g14450D/BnaA02g14510D/BnaA01g13300D/BnaC02g25080D/BnaC03g44740D/BnaA01g27990D/BnaAnng08420D/BnaA02g29320D/BnaA08g27920D/BnaA09g09960D/BnaA10g09400D/BnaC04g52560D/BnaCnng19850D/BnaC03g72020D/BnaC07g45990D/BnaC05g34370D/BnaC08g24220D/BnaC09g01930D/BnaA03g28560D/BnaC07g35100D/BnaA04g09460D/BnaC09g19370D/BnaC09g10560D/BnaC09g10010D/BnaC06g25310D/BnaC09g25610D/BnaC05g45150D/BnaC02g38740D/BnaA09g48320D/BnaA04g23010D/BnaC03g40660D/BnaA07g24200D/BnaA07g25010D/BnaC03g34830D/BnaA06g16250D/BnaA04g04780D/BnaA04g05050D/BnaA08g08550D/BnaA07g05210D/BnaC07g19160D/BnaC07g20640D/BnaC01g02520D/BnaA01g08920D/BnaA03g34910D/BnaC07g01480D/BnaC03g09350D/BnaC07g26730D/BnaA03g10640D/BnaA03g07380D/BnaA03g43610D/BnaC03g33700D/BnaA05g21410D/BnaA03g37610D/BnaC04g45340D/BnaC08g29880D,383,1.9833149183462135,0.9097387173396675
GO:0022625,cytosolic large ribosomal subunit,0.04127405441274055,333/16427,4.7137324259257697e-79,1.5296061722129122e-76,1.3372114618810472e-76,,BnaA06g24150D/BnaC08g11160D/BnaA06g35050D/BnaC08g21480D/BnaC04g03350D/BnaC05g02580D/BnaA09g52020D/BnaAnng34410D/BnaCnng21840D/BnaA01g26560D/BnaA07g37750D/BnaCnng23290D/BnaAnng12180D/BnaA09g02410D/BnaAnng12530D/BnaC08g13790D/BnaC08g13710D/BnaA02g08520D/BnaA09g44020D/BnaA09g44030D/BnaA09g00680D/BnaC08g42570D/BnaCnng31050D/BnaC01g15340D/BnaCnng32900D/BnaA05g30690D/BnaC03g22400D/BnaC03g22120D/BnaA02g21980D/BnaC06g43680D/BnaC02g20030D/BnaCnng03190D/BnaC09g20460D/BnaC01g40830D/BnaC03g77650D/BnaC06g43320D/BnaA02g18970D/BnaA09g35340D/BnaC02g19510D/BnaC07g32120D/BnaC07g50200D/BnaA03g49550D/BnaA04g15980D/BnaA04g29060D/BnaCnng46360D/BnaC01g43880D/BnaC04g27310D/BnaA08g26210D/BnaA08g26270D/BnaC03g47030D/BnaA10g13490D/BnaA09g51520D/BnaA10g10840D/BnaC09g33240D/BnaA07g38870D/BnaC04g08700D/BnaA06g35970D/BnaA02g30400D/BnaA01g32660D/BnaA02g36270D/BnaA09g18000D/BnaC03g59540D/BnaC03g13330D/BnaC08g45990D/BnaC08g46120D/BnaA06g19150D/BnaA07g28280D/BnaA09g10380D/BnaA09g15190D/BnaA09g34900D/BnaA02g27070D/BnaC07g16510D/BnaC06g14610D/BnaC06g14370D/BnaA09g18530D/BnaC05g43330D/BnaCnng58700D/BnaC02g12070D/BnaA06g33230D/BnaA02g14450D/BnaA02g14510D/BnaA01g13300D/BnaC02g25080D/BnaC03g44740D/BnaAnng08420D/BnaA02g29320D/BnaA08g27920D/BnaA09g09960D/BnaCnng19850D/BnaC03g72020D/BnaC07g45990D/BnaC05g34370D/BnaC08g24220D/BnaC09g01930D/BnaA03g28560D/BnaC07g35100D/BnaC09g19370D/BnaC09g10560D/BnaC09g10010D/BnaC06g25310D/BnaC05g45150D/BnaC02g38740D/BnaA09g48320D/BnaA04g23010D/BnaC03g40660D/BnaA07g24200D/BnaA07g25010D/BnaC03g34830D/BnaA06g16250D/BnaA04g04780D/BnaA04g05050D/BnaA08g08550D/BnaA07g05210D/BnaC07g19160D/BnaC07g20640D/BnaC01g02520D/BnaA01g08920D/BnaA03g34910D/BnaC07g01480D/BnaC07g26730D/BnaA03g10640D/BnaA03g43610D/BnaC03g33700D/BnaA05g21410D/BnaA03g37610D/BnaC04g45340D,311,2.0360627382525194,0.933933933933934
GO:0015935,small ribosomal subunit,0.035965494359654945,309/16427,1.4562631031855903e-54,3.1503825132248273e-52,2.7541256583053796e-52,,BnaA05g27160D/BnaA05g27190D/BnaA02g06730D/BnaA03g07060D/BnaC04g53170D/BnaA03g57330D/BnaA04g21290D/BnaA01g26980D/BnaA09g06730D/BnaA04g18210D/BnaC05g08330D/BnaA01g28980D/BnaC03g73560D/BnaA09g54920D/BnaC04g36490D/BnaA02g08440D/BnaC01g41990D/BnaCnng27520D/BnaA01g33400D/BnaA01g33650D/BnaA04g29230D/BnaCnng29070D/BnaC03g23520D/BnaC04g56900D/BnaC04g44220D/BnaC07g31040D/BnaC03g74960D/BnaC06g42550D/BnaC02g39820D/BnaC03g69780D/BnaC09g20530D/BnaC09g20520D/BnaCnng38910D/BnaC09g41680D/BnaC03g66290D/BnaA06g38660D/BnaA10g12820D/BnaA05g17290D/BnaA03g01080D/BnaC01g36340D/BnaC03g15950D/BnaC04g13040D/BnaA01g33230D/BnaA09g47800D/BnaA01g27320D/BnaA06g10600D/BnaA07g01070D/BnaA04g26120D/BnaC05g30250D/BnaA05g34140D/BnaA03g13080D/BnaC01g34770D/BnaC03g33960D/BnaA09g18590D/BnaA09g38730D/BnaC05g48560D/BnaC02g02880D/BnaC04g47870D/BnaC04g42750D/BnaA03g17150D/BnaAnng08140D/BnaA02g32780D/BnaC02g42050D/BnaAnng30090D/BnaAnng09380D/BnaC04g22000D/BnaA08g29090D/BnaA09g09970D/BnaA05g33140D/BnaA03g50690D/BnaA09g06070D/BnaA05g09320D/BnaC06g24350D/BnaAnng10670D/BnaA07g16150D/BnaA07g18810D/BnaC05g05370D/BnaA07g30140D/BnaC08g24870D/BnaA10g07870D/BnaC05g41290D/BnaA03g32020D/BnaA03g39990D/BnaA05g04770D/BnaA05g07210D/BnaAnng00820D/BnaA01g03150D/BnaA09g49260D/BnaA07g06200D/BnaC01g04410D/BnaC03g20660D/BnaC09g35210D/BnaC03g01450D/BnaA10g18170D/BnaA10g26290D/BnaC07g01520D/BnaC03g08960D/BnaC03g11550D/BnaC09g04730D/BnaC09g05630D/BnaA07g33670D/BnaA06g04200D,271,1.9119908603432099,0.8770226537216829
GO:0022627,cytosolic small ribosomal subunit,0.028002654280026542,233/16427,5.760474468304042e-48,9.346369824823308e-46,8.170778258989153e-46,,BnaA05g27160D/BnaA05g27190D/BnaA02g06730D/BnaA03g07060D/BnaC04g53170D/BnaA03g57330D/BnaA04g21290D/BnaA09g06730D/BnaA04g18210D/BnaC05g08330D/BnaC03g73560D/BnaA09g54920D/BnaC04g36490D/BnaC01g41990D/BnaCnng27520D/BnaA01g33400D/BnaA01g33650D/BnaA04g29230D/BnaCnng29070D/BnaC03g23520D/BnaC04g56900D/BnaC04g44220D/BnaC07g31040D/BnaC03g74960D/BnaC06g42550D/BnaC02g39820D/BnaC03g69780D/BnaC09g20530D/BnaC09g20520D/BnaCnng38910D/BnaC09g41680D/BnaC03g66290D/BnaA06g38660D/BnaA10g12820D/BnaA03g01080D/BnaC03g15950D/BnaC04g13040D/BnaA01g33230D/BnaA09g47800D/BnaA06g10600D/BnaA07g01070D/BnaA04g26120D/BnaA05g34140D/BnaA03g13080D/BnaC03g33960D/BnaA09g18590D/BnaA09g38730D/BnaC05g48560D/BnaC02g02880D/BnaC04g47870D/BnaC04g42750D/BnaA03g17150D/BnaAnng08140D/BnaA02g32780D/BnaC02g42050D/BnaAnng30090D/BnaAnng09380D/BnaC04g22000D/BnaA08g29090D/BnaA09g09970D/BnaA05g33140D/BnaA03g50690D/BnaA09g06070D/BnaC06g24350D/BnaAnng10670D/BnaA07g16150D/BnaA07g18810D/BnaC05g05370D/BnaA07g30140D/BnaC08g24870D/BnaA10g07870D/BnaC05g41290D/BnaA03g32020D/BnaA03g39990D/BnaA05g04770D/BnaA05g07210D/BnaAnng00820D/BnaA01g03150D/BnaA09g49260D/BnaC01g04410D/BnaC03g20660D/BnaC09g35210D/BnaC03g01450D/BnaA10g18170D/BnaA10g26290D/BnaC07g01520D/BnaC03g08960D/BnaC03g11550D/BnaC09g04730D/BnaC09g05630D/BnaA06g04200D,211,1.974247218274661,0.9055793991416309
GO:0005730,nucleolus,0.04525547445255475,450/16427,3.228577289216295e-39,4.190693321402751e-37,3.663585597658069e-37,,BnaC09g12750D/BnaA06g24840D/BnaC04g02720D/BnaA03g06930D/BnaC04g53170D/BnaC06g42860D/BnaA03g55250D/BnaA04g21760D/BnaA01g27090D/BnaA01g26650D/BnaC04g04050D/BnaC05g08580D/BnaA09g04700D/BnaA09g02260D/BnaA07g38150D/BnaC04g36490D/BnaC08g14300D/BnaC01g41990D/BnaA08g25730D/BnaA08g25270D/BnaC03g29670D/BnaC09g47740D/BnaC04g51980D/BnaA05g34470D/BnaC05g37780D/BnaC08g14950D/BnaC04g56900D/BnaC03g73340D/BnaA08g05860D/BnaA01g18390D/BnaC06g24580D/BnaAnng14720D/BnaC05g40160D/BnaC04g55100D/BnaCnng34340D/BnaC01g15300D/BnaC03g42760D/BnaC03g42920D/BnaAnng40790D/BnaC02g40190D/BnaA02g25840D/BnaC02g20050D/BnaC09g41680D/BnaA09g47020D/BnaAnng18930D/BnaA01g06860D/BnaC09g32470D/BnaC01g19690D/BnaA07g37200D/BnaA09g56020D/BnaCnng45920D/BnaAnng20310D/BnaA03g01910D/BnaC06g12970D/BnaA07g00340D/BnaC02g11850D/BnaC02g26240D/BnaC02g48430D/BnaCnng52140D/BnaA02g28810D/BnaC04g32600D/BnaC03g48730D/BnaA06g10130D/BnaC03g71500D/BnaA04g26120D/BnaC05g30220D/BnaA05g34050D/BnaC01g44610D/BnaA05g12760D/BnaA02g17360D/BnaA09g10290D/BnaA09g35160D/BnaA09g35240D/BnaC09g14590D/BnaAnng06240D/BnaA09g38730D/BnaC08g26410D/BnaA08g00080D/BnaC08g10600D/BnaA04g10330D/BnaA01g29950D/BnaC07g14840D/BnaA09g43720D/BnaA08g13850D/BnaC03g20970D/BnaC01g22300D/BnaC05g15580D/BnaC02g01270D/BnaA05g12500D/BnaC04g22660D/BnaC04g42380D/BnaA08g02000D/BnaCnng63300D/BnaC04g22000D/BnaA09g28880D/BnaC02g34080D/BnaA09g55200D/BnaCnng17960D/BnaC08g10420D/BnaA09g20820D/BnaA09g05660D/BnaC09g41090D/BnaA03g47600D/BnaA03g47570D/BnaC06g24350D/BnaA09g56160D/BnaA07g18810D/BnaA06g07130D/BnaC09g01670D/BnaA05g04770D/BnaA03g17540D/BnaA01g12190D/BnaC01g13870D/BnaA03g25240D/BnaA03g36610D/BnaC09g23090D,341,1.6520259529602594,0.7577777777777778
GO:0030684,preribosome,0.022694094226940943,199/16427,2.500747730937581e-32,2.704975462297484e-30,2.364742152588344e-30,,BnaC09g12750D/BnaC04g02720D/BnaA04g21760D/BnaC04g04050D/BnaC04g36490D/BnaC01g41990D/BnaC03g29670D/BnaA05g34470D/BnaC03g73340D/BnaA08g05860D/BnaA01g18390D/BnaC06g24580D/BnaC04g55100D/BnaCnng34340D/BnaC03g42920D/BnaA02g25840D/BnaC02g20050D/BnaC09g41680D/BnaA09g47020D/BnaAnng18930D/BnaC07g32160D/BnaA07g37200D/BnaAnng20310D/BnaA01g19540D/BnaC02g26240D/BnaA09g35160D/BnaA09g35240D/BnaC08g26410D/BnaA08g00080D/BnaA08g13850D/BnaC03g20970D/BnaC01g22300D/BnaC02g34080D/BnaA09g55200D/BnaC08g10420D/BnaC09g37260D/BnaA09g20820D/BnaC09g41090D/BnaA03g47600D/BnaA03g47570D/BnaC06g24350D/BnaA03g17540D/BnaA01g12190D/BnaA10g18170D/BnaC01g13870D/BnaA03g25240D/BnaC09g23090D,171,1.8733461601304466,0.8592964824120602
GO:0034455,t-UTP complex,0.010749834107498342,91/16427,4.909828762374849e-18,4.552112666830395e-16,3.9795454179248777e-16,,BnaC09g12750D/BnaC04g02720D/BnaC04g04050D/BnaC04g36490D/BnaC01g41990D/BnaA05g34470D/BnaC03g73340D/BnaC04g55100D/BnaCnng34340D/BnaC09g41680D/BnaA09g47020D/BnaAnng18930D/BnaAnng20310D/BnaA09g35160D/BnaC08g26410D/BnaA08g00080D/BnaA08g13850D/BnaA09g55200D/BnaC09g41090D/BnaA03g47570D/BnaC06g24350D,81,1.9405222514711566,0.8901098901098901
GO:0032040,small-subunit processome,0.01167883211678832,102/16427,1.6895192440103438e-17,1.3706224867033914e-15,1.1982248322652307e-15,,BnaC09g12750D/BnaC01g41990D/BnaC03g29670D/BnaC03g73340D/BnaC04g55100D/BnaCnng34340D/BnaC09g41680D/BnaAnng18930D/BnaAnng20310D/BnaC02g26240D/BnaA08g00080D/BnaA08g13850D/BnaA09g20820D/BnaC09g41090D/BnaA03g47570D/BnaA01g12190D/BnaA10g18170D/BnaC01g13870D/BnaA03g25240D/BnaC09g23090D,88,1.8808644625733504,0.8627450980392157
GO:0030686,90S preribosome,0.007033842070338421,58/16427,2.439809868226135e-13,1.7593740049764017e-11,1.5380789695601014e-11,,BnaC09g12750D/BnaC04g02720D/BnaC04g04050D/BnaC04g36490D/BnaC01g41990D/BnaA05g34470D/BnaA02g25840D/BnaC09g41680D/BnaA09g47020D/BnaA09g35160D/BnaC08g26410D/BnaA08g13850D/BnaC02g34080D/BnaA09g55200D/BnaC09g41090D/BnaC06g24350D,53,1.9921538567146422,0.9137931034482759
GO:0005732,sno(s)RNA-containing ribonucleoprotein complex,0.0072992700729927005,64/16427,2.834568945311181e-11,1.8396352455069567e-9,1.608244906866028e-9,,BnaA03g06930D/BnaC03g29670D/BnaC09g47740D/BnaC03g73340D/BnaCnng34340D/BnaAnng18930D/BnaCnng43190D/BnaA09g56020D/BnaA07g00340D/BnaC02g26240D/BnaA03g50010D/BnaA09g10290D/BnaAnng06240D/BnaA08g00080D/BnaA09g43720D/BnaC02g01270D/BnaC04g22660D/BnaA09g20820D/BnaA03g47570D/BnaC07g42460D/BnaA01g12190D/BnaC01g13870D/BnaA03g25240D/BnaC09g23090D,55,1.8735173357664234,0.859375
