ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0031226,intrinsic component of plasma membrane,0.02136115250869349,205/13704,3.465050102715329e-8,1.5142268948865987e-5,1.513679781712486e-5,,BnaA04g21900D/BnaA04g21350D/BnaC01g20930D/BnaC01g38580D/BnaC03g74070D/BnaC04g36400D/BnaA09g30430D/BnaCnng29090D/BnaA06g37080D/BnaCnng31990D/BnaA08g05990D/BnaA02g26590D/BnaA02g25830D/BnaC09g43540D/BnaC09g42490D/BnaC09g08880D/BnaC01g32200D/BnaA02g35410D/BnaC03g41960D/BnaCnng49680D/BnaCnng07500D/BnaA09g41380D/BnaC09g37560D/BnaC03g14350D/BnaA05g34120D/BnaC03g14980D/BnaA09g35000D/BnaA01g17910D/BnaC02g34070D/BnaA01g30420D,129,1.4279669950201737,0.6292682926829268
GO:0030312,external encapsulating structure,0.02533532041728763,261/13704,1.3093193643761547e-6,2.860862811161898e-4,2.8598291379794964e-4,,BnaAnng02980D/BnaC05g14660D/BnaAnng35740D/BnaC04g05770D/BnaC08g13660D/BnaCnng71940D/BnaC03g75510D/BnaA08g25690D/BnaA08g24690D/BnaA09g44390D/BnaA03g55050D/BnaAnng13700D/BnaAnng13710D/BnaA04g29190D/BnaCnng29190D/BnaCnng73710D/BnaC08g42670D/BnaC04g48960D/BnaCnng33410D/BnaA02g35320D/BnaA01g06750D/BnaA01g06740D/BnaA01g06730D/BnaC05g28950D/BnaC02g12030D/BnaCnng07500D/BnaA01g31480D/BnaC06g12560D/BnaA10g29070D/BnaA03g50060D/BnaC02g42920D/BnaA03g53130D/BnaC02g12340D/BnaCnng11080D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaC05g19230D/BnaC05g01100D/BnaA09g29750D/BnaCnng18430D/BnaC03g34440D/BnaCnng19890D/BnaA06g18230D,153,1.3302499271973551,0.5862068965517241
GO:0005618,cell wall,0.024341778440139097,252/13704,3.081562622992802e-6,3.879385382206211e-4,3.877983701350302e-4,,BnaAnng02980D/BnaC05g14660D/BnaAnng35740D/BnaC04g05770D/BnaC08g13660D/BnaCnng71940D/BnaC03g75510D/BnaA08g25690D/BnaA08g24690D/BnaA09g44390D/BnaA03g55050D/BnaAnng13700D/BnaAnng13710D/BnaA04g29190D/BnaCnng29190D/BnaCnng73710D/BnaC08g42670D/BnaC04g48960D/BnaCnng33410D/BnaA02g35320D/BnaA01g06750D/BnaA01g06740D/BnaA01g06730D/BnaC05g28950D/BnaC02g12030D/BnaCnng07500D/BnaA01g31480D/BnaC06g12560D/BnaA10g29070D/BnaA03g50060D/BnaC02g42920D/BnaA03g53130D/BnaC02g12340D/BnaCnng11080D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaC05g01100D/BnaCnng18430D/BnaC03g34440D/BnaCnng19890D/BnaA06g18230D,147,1.3237290942208975,0.5833333333333334
GO:0005887,integral component of plasma membrane,0.00976982944196059,86/13704,3.5509248349713603e-6,3.879385382206211e-4,3.877983701350302e-4,,BnaA04g21900D/BnaA04g21350D/BnaA09g30430D/BnaA08g05990D/BnaC09g43540D/BnaC01g32200D/BnaA02g35410D/BnaC03g41960D/BnaC03g14980D,59,1.556810961309627,0.686046511627907
GO:0015629,actin cytoskeleton,0.00976982944196059,90/13704,3.08649446241639e-5,0.0026975961601519247,0.0026966214776901094,,BnaC04g04510D/BnaC04g05460D/BnaC03g22290D/BnaA09g35350D/BnaC04g50470D/BnaA05g11500D/BnaA04g26440D/BnaCnng08890D/BnaA09g39010D,59,1.4876193630291992,0.6555555555555556
GO:0012511,monolayer-surrounded lipid storage body,0.0038085775790693823,28/13704,4.100416841597629e-5,0.0029864702662969395,0.0029853912092333615,,BnaA01g26680D/BnaA08g14540D/BnaA03g47170D/BnaA04g15210D/BnaA10g05760D/BnaC07g39370D,23,1.8640266836988149,0.8214285714285714
GO:0016459,myosin complex,0.00430534856764365,33/13704,4.988224906395115e-5,0.003114077548706665,0.0031129523851939444,,,26,1.7878938415451082,0.7878787878787878
GO:0031225,anchored component of membrane,0.014240768339128995,143/13704,7.464850257738514e-5,0.0040776744532896635,0.0040762011275809,,BnaC01g20930D/BnaC01g38580D/BnaC03g74070D/BnaC04g36400D/BnaCnng29090D/BnaA06g37080D/BnaCnng31990D/BnaA02g26590D/BnaA02g25830D/BnaC09g42490D/BnaC09g08880D/BnaCnng49680D/BnaCnng07500D/BnaA09g41380D/BnaC09g37560D/BnaC03g14350D/BnaA05g34120D/BnaA09g35000D/BnaA01g17910D/BnaC02g34070D/BnaA01g30420D,86,1.3647237015344318,0.6013986013986014
GO:0048046,apoplast,0.012584865043881437,125/13704,1.1605253763733071e-4,0.0056349954386126135,0.00563295942918038,,BnaAnng02980D/BnaC05g14660D/BnaAnng35740D/BnaC08g13660D/BnaCnng71940D/BnaA08g25690D/BnaC02g28660D/BnaA09g30290D/BnaA09g44390D/BnaC08g42670D/BnaA02g35320D/BnaA01g06750D/BnaA01g06740D/BnaA01g06730D/BnaC05g28950D/BnaC02g12030D/BnaA10g29070D/BnaA03g50060D/BnaA03g53130D/BnaAnng08030D/BnaC05g01100D/BnaC03g34440D/BnaCnng19890D,76,1.3797039244908098,0.608
GO:0046658,anchored component of plasma membrane,0.011591323066732903,119/13704,8.135203100738645e-4,0.03555083755022788,0.035537992492700406,,BnaC01g20930D/BnaC01g38580D/BnaC03g74070D/BnaC04g36400D/BnaCnng29090D/BnaA06g37080D/BnaCnng31990D/BnaA02g26590D/BnaA02g25830D/BnaC09g42490D/BnaC09g08880D/BnaCnng49680D/BnaCnng07500D/BnaA09g41380D/BnaC09g37560D/BnaC03g14350D/BnaA05g34120D/BnaA09g35000D/BnaA01g17910D/BnaC02g34070D/BnaA01g30420D,70,1.3348528681219136,0.5882352941176471
