ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0019843,rRNA binding,0.007527650447874175,215/43275,1.1985123361723411e-18,2.3418931048807547e-15,2.238064088810246e-15,,BnaC09g12750D/BnaA05g27160D/BnaA05g27190D/BnaC05g02580D/BnaC04g53170D/BnaA04g21290D/BnaA07g37750D/BnaAnng12180D/BnaA01g28980D/BnaAnng12530D/BnaC03g73560D/BnaC04g06100D/BnaA04g29230D/BnaCnng31050D/BnaC05g37780D/BnaC04g56900D/BnaC04g44220D/BnaC01g15340D/BnaC03g22400D/BnaC03g22120D/BnaA02g21980D/BnaC09g20530D/BnaC09g20520D/BnaA06g25250D/BnaAnng03500D/BnaC05g31860D/BnaC04g27310D/BnaA10g13490D/BnaC01g36340D/BnaA01g24680D/BnaA01g27320D/BnaA06g11250D/BnaA04g26120D/BnaC01g34770D/BnaC05g12790D/BnaA09g34900D/BnaC07g16510D/BnaC06g14610D/BnaA03g53350D/BnaA09g18590D/BnaA09g38730D/BnaA01g13300D/BnaA03g17150D/BnaA09g12200D/BnaAnng09380D/BnaC04g22000D/BnaA08g27920D/BnaC05g03230D/BnaC04g52560D/BnaC03g72020D/BnaA07g18810D/BnaC05g41290D/BnaA03g32020D/BnaA03g28560D/BnaA05g04770D/BnaA05g07210D/BnaA04g23010D/BnaA04g04780D/BnaC03g20660D/BnaC03g33700D,179,1.515158479682581,0.8325581395348837
GO:0004857,enzyme inhibitor activity,0.013877791328483116,447/43275,9.953489064350477e-17,9.724558815870416e-14,9.293415579030393e-14,,BnaA06g35460D/BnaCnng68380D/BnaCnng68710D/BnaA08g31370D/BnaA09g06930D/BnaA09g06720D/BnaA04g18120D/BnaC05g13820D/BnaC05g08260D/BnaAnng12730D/BnaA01g35740D/BnaC03g75510D/BnaCnng28960D/BnaC03g40820D/BnaA05g17590D/BnaC03g57120D/BnaCnng76140D/BnaCnng76330D/BnaAnng40650D/BnaC06g18410D/BnaA04g28930D/BnaC02g19950D/BnaC09g39980D/BnaC09g20280D/BnaCnng37890D/BnaC06g11080D/BnaC04g51190D/BnaCnng42870D/BnaAnng20740D/BnaCnng47940D/BnaA05g11440D/BnaC06g23690D/BnaC06g23700D/BnaA09g39730D/BnaA09g40740D/BnaC09g28300D/BnaC01g37010D/BnaA09g47760D/BnaA01g31480D/BnaC04g12110D/BnaA02g24800D/BnaC04g00440D/BnaC01g27250D/BnaCnng57870D/BnaC04g54180D/BnaA10g30090D/BnaAnng07260D/BnaC02g32920D/BnaC02g33020D/BnaC03g21710D/BnaC03g21240D/BnaAnng29070D/BnaAnng29110D/BnaCnng62150D/BnaAnng29540D/BnaC04g47470D/BnaC05g00620D/BnaC04g42180D/BnaAnng30240D/BnaA04g26890D/BnaA09g06030D/BnaA08g03570D/BnaA09g13080D/BnaC03g72430D/BnaC06g33320D,330,1.343537851767577,0.738255033557047
GO:0030599,pectinesterase activity,0.006055763488792632,178/43275,2.888907085665603e-13,1.881641481796863e-10,1.7982179543757122e-10,,BnaCnng68380D/BnaC05g08260D/BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaA05g17590D/BnaC03g57120D/BnaA06g39970D/BnaC02g19950D/BnaC06g11080D/BnaC04g51190D/BnaC09g32220D/BnaCnng47940D/BnaC01g37010D/BnaA09g47760D/BnaA01g31480D/BnaA02g24800D/BnaAnng07260D/BnaC02g32920D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaCnng61650D/BnaA08g03570D/BnaA10g09760D/BnaA09g13080D,144,1.4722649717837142,0.8089887640449438
GO:0004650,polygalacturonase activity,0.004920307834644013,145/43275,6.586128229299059e-11,3.21732364001259e-8,3.074681968099087e-8,,BnaC01g39640D/BnaC01g39610D/BnaC04g49330D/BnaC04g49340D/BnaC08g49000D/BnaCnng48740D/BnaA09g51170D/BnaA02g30650D/BnaC08g45980D/BnaC05g46700D/BnaC05g01250D,117,1.4684573899601356,0.8068965517241379
GO:0140662,ATP-dependent protein folding chaperone,0.00719121914294125,227/43275,1.5020446853958817e-10,5.869990630527106e-8,5.609741625036409e-8,,BnaA08g31360D/BnaC07g12220D/BnaA01g33840D/BnaA09g30100D/BnaC03g23670D/BnaC05g35160D/BnaA05g19100D/BnaC01g40350D/BnaA04g25810D/BnaC09g33020D/BnaA09g45320D/BnaA06g09730D/BnaC05g11220D/BnaA01g25680D/BnaAnng08540D/BnaCnng18070D/BnaC09g37140D/BnaC09g37000D/BnaA05g37290D/BnaA05g13740D/BnaC08g16470D,171,1.3709251471840644,0.7533039647577092
GO:0044183,protein folding chaperone,0.007864081752807098,252/43275,1.9313257254727566e-10,6.289684112622945e-8,6.01082778419065e-8,,BnaA08g31360D/BnaC07g12220D/BnaA01g33840D/BnaA09g30100D/BnaC03g23670D/BnaC05g35160D/BnaA05g19100D/BnaA04g17760D/BnaC01g40350D/BnaA04g25810D/BnaA09g39740D/BnaC03g15900D/BnaC09g33020D/BnaA09g45320D/BnaA06g09730D/BnaC05g29990D/BnaCnng56850D/BnaC05g11220D/BnaA01g25680D/BnaAnng08540D/BnaCnng18070D/BnaC09g37140D/BnaC09g37000D/BnaA09g20510D/BnaA05g37290D/BnaA05g13740D/BnaC08g16470D,187,1.3504688010028856,0.7420634920634921
GO:0030515,snoRNA binding,0.0023550191345304682,61/43275,3.2987115880069003e-10,9.208117775664976e-8,8.799871213720663e-8,,BnaC09g12750D/BnaA03g06930D/BnaC09g47740D/BnaC03g73340D/BnaCnng34340D/BnaAnng18930D/BnaA09g56020D/BnaC01g40380D/BnaA07g00340D/BnaA09g10290D/BnaAnng06240D/BnaA08g00080D/BnaA09g43720D/BnaA08g13850D/BnaC02g01270D/BnaC09g41090D,56,1.6707123450296066,0.9180327868852459
GO:0046910,pectinesterase inhibitor activity,0.003616636528028933,103/43275,8.085035439813584e-10,1.974769906174468e-7,1.8872174829249077e-7,,BnaCnng68380D/BnaC05g08260D/BnaC03g75510D/BnaA05g17590D/BnaC03g57120D/BnaC02g19950D/BnaC06g11080D/BnaC04g51190D/BnaCnng47940D/BnaC01g37010D/BnaA09g47760D/BnaA01g31480D/BnaA02g24800D/BnaAnng07260D/BnaC02g32920D/BnaA08g03570D/BnaA09g13080D,86,1.519514036412156,0.8349514563106796
GO:0015144,carbohydrate transmembrane transporter activity,0.005551116531393246,175/43275,1.5533603167350693e-8,3.3725178432225837e-6,3.222995557763758e-6,,BnaCnng25770D/BnaC09g53840D/BnaA05g36140D/BnaA05g36160D/BnaA09g30430D/BnaA09g44150D/BnaC08g42910D/BnaC09g50910D/BnaA06g02890D/BnaA07g10320D/BnaC03g73840D/BnaA08g26710D/BnaA07g03370D/BnaCnng06490D/BnaA01g27670D/BnaCnng07770D/BnaC04g32240D/BnaC06g03490D/BnaC02g42230D/BnaA08g28920D/BnaA09g06250D/BnaC09g40390D,132,1.3727118165488157,0.7542857142857143
GO:0045330,aspartyl esterase activity,0.004667984355944321,144/43275,2.720859175193402e-8,5.316558828327908e-6,5.080846501887469e-6,,BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaA06g39970D/BnaC04g51190D/BnaC09g32220D/BnaCnng47940D/BnaC01g37010D/BnaA01g31480D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaCnng61650D/BnaA10g09760D,111,1.4028265486353506,0.7708333333333334
GO:0052689,carboxylic ester hydrolase activity,0.011060179149669877,384/43275,3.616037488904014e-8,6.423397503016766e-6,6.138612923747101e-6,,BnaC03g63170D/BnaCnng68380D/BnaC05g08260D/BnaA08g30360D/BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaC06g41300D/BnaCnng30060D/BnaCnng74390D/BnaA05g33550D/BnaA05g17590D/BnaC03g17280D/BnaC03g57120D/BnaAnng15190D/BnaA06g39970D/BnaC06g18410D/BnaC02g19950D/BnaA05g14430D/BnaC06g11080D/BnaC09g41670D/BnaC04g51190D/BnaC09g32220D/BnaA06g13830D/BnaCnng47940D/BnaCnng48700D/BnaA09g39730D/BnaA09g51230D/BnaC01g37010D/BnaCnng07580D/BnaA06g39290D/BnaA06g39300D/BnaA09g47760D/BnaA01g31480D/BnaAnng02290D/BnaA02g24800D/BnaC08g46040D/BnaC05g15260D/BnaC01g20010D/BnaAnng27600D/BnaAnng07260D/BnaC02g32920D/BnaC02g01620D/BnaC02g01630D/BnaA08g13410D/BnaA02g29680D/BnaCnng61650D/BnaA09g28750D/BnaA08g02460D/BnaA09g05270D/BnaA08g03570D/BnaA10g09760D/BnaA09g13080D,263,1.246430345578031,0.6848958333333334
GO:0008173,RNA methyltransferase activity,0.004836200008410783,155/43275,5.723175479065747e-7,9.275510809862745e-5,8.864276343638694e-5,,BnaC04g51980D/BnaA01g18460D/BnaC09g43310D/BnaC09g42900D/BnaA09g35780D/BnaC09g32580D/BnaC09g32470D/BnaC05g32210D/BnaCnng46850D/BnaA10g27580D/BnaA01g29950D/BnaC09g14790D/BnaA01g35280D/BnaA03g47600D/BnaA03g47570D,115,1.3502358410579136,0.7419354838709677
GO:0140102,"catalytic activity, acting on a rRNA",0.0020606417427141595,57/43275,6.171015380154333e-7,9.275510809862745e-5,8.864276343638694e-5,,BnaC09g46640D/BnaC04g51980D/BnaC09g43310D/BnaC09g32580D/BnaC09g32470D/BnaCnng46850D/BnaA01g29950D/BnaA01g35280D/BnaA03g47600D/BnaA03g47570D,49,1.5644609020343028,0.8596491228070176
GO:0045735,nutrient reservoir activity,0.0024811808738803144,72/43275,1.3406141362830794e-6,1.8711143016408125e-4,1.7881575020798368e-4,,BnaA03g06940D/BnaAnng02980D/BnaC05g14660D/BnaC08g13660D/BnaA09g44390D/BnaC08g42670D/BnaC08g43690D/BnaC08g43570D/BnaC01g43250D/BnaC03g77680D/BnaC04g54760D/BnaC01g19310D/BnaC06g24160D/BnaC05g01100D/BnaC03g34440D/BnaCnng19890D,59,1.4912930877384807,0.8194444444444444
GO:0008649,rRNA methyltransferase activity,0.0019765339164809284,55/43275,1.5222886898871232e-6,1.983034733359626e-4,1.895115884813864e-4,,BnaC04g51980D/BnaC09g43310D/BnaC09g32580D/BnaC09g32470D/BnaCnng46850D/BnaA01g29950D/BnaA01g35280D/BnaA03g47600D/BnaA03g47570D,47,1.555172822467494,0.8545454545454545
GO:0051119,sugar transmembrane transporter activity,0.003953067832961857,125/43275,2.2095077969249503e-6,2.6983613969945954e-4,0.00025787281787795143,,BnaCnng25770D/BnaC09g53840D/BnaA05g36140D/BnaA05g36160D/BnaA09g44150D/BnaC08g42910D/BnaC09g50910D/BnaA06g02890D/BnaC03g73840D/BnaA08g26710D/BnaCnng06490D/BnaA01g27670D/BnaC04g32240D/BnaC06g03490D/BnaC02g42230D/BnaA08g28920D/BnaA09g06250D,94,1.3685520837713947,0.752
GO:0016671,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor",0.0022288573951806216,65/43275,6.210735777534335e-6,7.1386927701777e-4,6.822195213217282e-4,,BnaC03g30020D/BnaC09g00770D/BnaA06g00780D/BnaA09g09450D/BnaC09g47880D/BnaC09g47890D/BnaA04g07200D/BnaC06g03500D/BnaCnng16050D/BnaA08g28820D/BnaA09g20370D,53,1.4839046734837138,0.8153846153846154
GO:1902936,phosphatidylinositol bisphosphate binding,0.00336431304932924,106/43275,9.770255265865689e-6,0.001060615488305642,0.0010135925638389317,,BnaC09g00100D/BnaCnng02750D/BnaA10g11240D/BnaC04g47420D/BnaC03g71400D,80,1.3734966717898383,0.7547169811320755
