ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0019843,rRNA binding,0.015205802674123919,197/22168,2.606176661078909e-28,4.206369130981359e-25,4.1232458122122103e-25,,BnaC09g12750D/BnaA05g27160D/BnaA05g27190D/BnaC05g02580D/BnaC04g53170D/BnaA04g21290D/BnaA07g37750D/BnaAnng12180D/BnaA01g28980D/BnaAnng12530D/BnaC03g73560D/BnaC04g06100D/BnaA04g29230D/BnaCnng31050D/BnaC05g37780D/BnaC04g56900D/BnaC04g44220D/BnaC01g15340D/BnaC03g22400D/BnaC03g22120D/BnaA02g21980D/BnaC09g20530D/BnaC09g20520D/BnaA06g25250D/BnaAnng03500D/BnaC05g31860D/BnaC04g27310D/BnaA10g13490D/BnaC01g36340D/BnaA01g24680D/BnaA01g27320D/BnaA06g11250D/BnaA04g26120D/BnaC01g34770D/BnaC05g12790D/BnaA09g34900D/BnaC07g16510D/BnaC06g14610D/BnaA03g53350D/BnaA09g18590D/BnaA09g38730D/BnaA01g13300D/BnaA03g17150D/BnaA09g12200D/BnaAnng09380D/BnaC04g22000D/BnaA08g27920D/BnaC05g03230D/BnaC04g52560D/BnaC03g72020D/BnaA07g18810D/BnaC05g41290D/BnaA03g32020D/BnaA03g28560D/BnaA05g04770D/BnaA05g07210D/BnaA04g23010D/BnaA04g04780D/BnaC03g20660D/BnaC03g33700D,174,1.7110773283247667,0.883248730964467
GO:0044183,protein folding chaperone,0.01441929563925544,206/22168,1.4806881718489015e-17,1.1949153546820635e-14,1.1713022748888941e-14,,BnaA08g31360D/BnaC07g12220D/BnaA01g33840D/BnaA09g30100D/BnaC03g23670D/BnaC05g35160D/BnaA05g19100D/BnaA04g17760D/BnaC01g40350D/BnaA04g25810D/BnaC03g15900D/BnaC09g33020D/BnaA09g45320D/BnaA06g09730D/BnaC05g29990D/BnaCnng56850D/BnaC05g11220D/BnaA01g25680D/BnaAnng08540D/BnaC09g37140D/BnaC09g37000D/BnaA09g20510D/BnaA05g37290D/BnaA05g13740D/BnaC08g16470D,165,1.5516842025777409,0.8009708737864077
GO:0140662,ATP-dependent protein folding chaperone,0.013283229922223192,188/22168,5.534083362046398e-17,2.9773368487809624e-14,2.9185008046160476e-14,,BnaA08g31360D/BnaC07g12220D/BnaA01g33840D/BnaA09g30100D/BnaC03g23670D/BnaC05g35160D/BnaA05g19100D/BnaC01g40350D/BnaA04g25810D/BnaC09g33020D/BnaA09g45320D/BnaA06g09730D/BnaC05g11220D/BnaA01g25680D/BnaAnng08540D/BnaC09g37140D/BnaC09g37000D/BnaA05g37290D/BnaA05g13740D/BnaC08g16470D,152,1.5662906431693817,0.8085106382978723
GO:0030515,snoRNA binding,0.004719042209210871,57/22168,1.0336240317415296e-12,4.1706729680770716e-10,4.0882550518618916e-10,,BnaC09g12750D/BnaA03g06930D/BnaC09g47740D/BnaC03g73340D/BnaCnng34340D/BnaAnng18930D/BnaA09g56020D/BnaC01g40380D/BnaA07g00340D/BnaA09g10290D/BnaAnng06240D/BnaA08g00080D/BnaA09g43720D/BnaA08g13850D/BnaC02g01270D/BnaC09g41090D,54,1.8352934683120454,0.9473684210526315
GO:0008173,RNA methyltransferase activity,0.008389408371930437,124/22168,2.5951319140427372e-9,8.377085818529956e-7,8.211543719592072e-7,,BnaC04g51980D/BnaA01g18460D/BnaC09g43310D/BnaC09g42900D/BnaA09g35780D/BnaC09g32470D/BnaC05g32210D/BnaCnng46850D/BnaA10g27580D/BnaA01g29950D/BnaA03g47600D/BnaA03g47570D,96,1.499809716039951,0.7741935483870968
GO:0140101,"catalytic activity, acting on a tRNA",0.01782749279035218,301/22168,7.75672827468586e-9,2.0865599058904965e-6,2.0453267713776928e-6,,BnaC04g04150D/BnaA05g35350D/BnaC06g41300D/BnaC08g42540D/BnaC05g39850D/BnaAnng15190D/BnaCnng35560D/BnaA06g01920D/BnaC09g42900D/BnaC09g41670D/BnaA09g35780D/BnaC09g15440D/BnaC05g37130D/BnaA10g10830D/BnaC08g41780D/BnaC01g21050D/BnaC06g27510D/BnaA10g27580D/BnaC07g16130D/BnaA08g02170D/BnaAnng09530D/BnaCnng18830D/BnaC03g35250D,204,1.312956346101419,0.6777408637873754
GO:0051082,unfolded protein binding,0.013894957616009788,229/22168,2.7857748618821207e-8,6.423200895825347e-6,6.296270101366658e-6,,BnaA05g26690D/BnaA08g31360D/BnaCnng71630D/BnaC07g49210D/BnaA01g33840D/BnaA09g30100D/BnaC03g23670D/BnaCnng33760D/BnaC05g35160D/BnaA05g19100D/BnaC04g54960D/BnaA04g17760D/BnaC01g40350D/BnaA04g25810D/BnaA08g26530D/BnaCnng06700D/BnaC03g15900D/BnaA09g45320D/BnaA06g09730D/BnaC05g29990D/BnaA10g17040D/BnaCnng56850D/BnaC05g11220D/BnaA09g15400D/BnaC05g40710D/BnaA01g25680D/BnaC09g37140D/BnaC09g37000D/BnaA09g05390D/BnaA01g30630D/BnaA05g37290D/BnaC07g00750D/BnaC08g16470D,159,1.3450804385663973,0.6943231441048034
GO:0008168,methyltransferase activity,0.025605173468496025,458/22168,4.690646735006592e-8,9.4633797878758e-6,9.2763711088354045e-06,,BnaA05g26770D/BnaA06g24800D/BnaC05g02910D/BnaCnng21620D/BnaC04g04460D/BnaA03g57820D/BnaC04g51980D/BnaA01g18460D/BnaC04g49360D/BnaC05g32500D/BnaA01g35410D/BnaC02g40190D/BnaC09g43310D/BnaC09g42900D/BnaC05g29760D/BnaA09g35780D/BnaC09g32470D/BnaA06g13800D/BnaC05g32210D/BnaCnng46850D/BnaA02g30530D/BnaC04g12900D/BnaA06g38510D/BnaA10g27580D/BnaC05g40790D/BnaA01g29950D/BnaC03g14720D/BnaA10g07250D/BnaC03g44550D/BnaC08g39970D/BnaA03g47600D/BnaA03g47570D/BnaA06g13610D/BnaA07g33060D,293,1.239335121069039,0.6397379912663755
GO:0016741,"transferase activity, transferring one-carbon groups",0.026916018526610155,487/22168,1.1134326869181032e-7,1.9967559518731318e-5,1.9572974601612973e-5,,BnaA05g26770D/BnaA06g24800D/BnaC05g02910D/BnaCnng21620D/BnaC04g04460D/BnaA03g57820D/BnaC04g51980D/BnaA01g18460D/BnaC04g49360D/BnaC05g32500D/BnaA01g35410D/BnaC02g40190D/BnaC09g43310D/BnaC09g42900D/BnaC05g29760D/BnaA09g35780D/BnaC09g32470D/BnaA06g13800D/BnaC05g32210D/BnaC05g31710D/BnaCnng46850D/BnaA02g30530D/BnaC04g12900D/BnaC06g27510D/BnaA06g38510D/BnaA10g27580D/BnaC05g40790D/BnaA01g29950D/BnaC03g14720D/BnaA10g07250D/BnaC03g44550D/BnaC08g39970D/BnaA03g47600D/BnaA03g47570D/BnaA06g13610D/BnaA07g33060D,308,1.2252038987636427,0.6324435318275154
GO:0070181,small ribosomal subunit rRNA binding,0.0021847417635235517,26/22168,8.558207698047469e-7,1.3812947224648616e-4,1.3539985442279312e-4,,BnaC04g53170D/BnaA01g28980D/BnaC04g56900D/BnaC01g36340D/BnaA01g27320D/BnaA04g26120D/BnaC01g34770D/BnaA09g38730D/BnaA09g12200D/BnaC04g22000D/BnaA07g18810D/BnaA05g04770D,25,1.8627444389919268,0.9615384615384616
GO:0070180,large ribosomal subunit rRNA binding,0.0024469107751463777,30/22168,9.829943955467698e-7,1.4423208676477147e-4,1.4138187334993254e-4,,BnaC05g02580D/BnaA07g37750D/BnaAnng12180D/BnaCnng31050D/BnaC03g22400D/BnaC04g27310D/BnaA10g13490D/BnaC06g14610D/BnaA03g53350D/BnaA08g27920D/BnaC03g72020D/BnaA03g28560D/BnaA04g04780D/BnaC03g33700D,28,1.8081039354481634,0.9333333333333333
GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,0.01441929563925544,250/22168,2.616992609594924e-6,3.519855059905173e-4,3.450298151071202e-4,,BnaA05g26770D/BnaA06g24800D/BnaC05g02910D/BnaCnng21620D/BnaC04g51980D/BnaC04g49360D/BnaC05g32500D/BnaA01g35410D/BnaC09g43310D/BnaC09g42900D/BnaC05g29760D/BnaA09g35780D/BnaC09g32470D/BnaA06g13800D/BnaC05g32210D/BnaCnng46850D/BnaA02g30530D/BnaC05g40790D/BnaA01g29950D/BnaC03g14720D/BnaA10g07250D/BnaC08g39970D/BnaA03g47600D/BnaA03g47570D,165,1.2785877829240584,0.66
GO:0140102,"catalytic activity, acting on a rRNA",0.003058638468932972,41/22168,6.075116643325394e-6,7.542490971020913e-4,7.393441550540944e-4,,BnaC09g46640D/BnaC04g51980D/BnaC09g43310D/BnaC09g32470D/BnaCnng46850D/BnaA01g29950D/BnaA03g47600D/BnaA03g47570D,35,1.6537535994952712,0.8536585365853658
GO:0043021,ribonucleoprotein complex binding,0.008302018701389496,136/22168,1.1063634202951628e-5,0.0012754789716831378,0.0012502738501531051,,BnaA09g52020D/BnaA01g26980D/BnaC04g04050D/BnaA05g26270D/BnaC05g23610D/BnaC06g11240D/BnaC04g50450D/BnaC03g66710D/BnaA04g17760D/BnaCnng45920D/BnaA09g51520D/BnaA06g35980D/BnaA04g26420D/BnaC08g46120D/BnaC04g30010D/BnaA03g50490D/BnaCnng56850D/BnaA09g35240D/BnaA08g11850D/BnaA09g29060D,95,1.353229048326488,0.6985294117647058
GO:0043022,ribosome binding,0.005592938914620292,86/22168,1.2160339014807697e-5,0.0013084524779933082,0.0012825957571407697,,BnaA01g26980D/BnaC05g23610D/BnaC06g11240D/BnaC03g66710D/BnaA04g17760D/BnaA06g35980D/BnaA03g50490D/BnaCnng56850D/BnaA09g35240D/BnaA08g11850D/BnaA09g29060D,64,1.4416775565035191,0.7441860465116279
GO:0008649,rRNA methyltransferase activity,0.002883859127851088,39/22168,1.6775558458235413e-5,0.0016922344594744972,0.0016587937080741989,,BnaC04g51980D/BnaC09g43310D/BnaC09g32470D/BnaCnng46850D/BnaA01g29950D/BnaA03g47600D/BnaA03g47570D,33,1.6392151063128955,0.8461538461538461
GO:0016273,arginine N-methyltransferase activity,0.0027090797867692037,37/22168,4.5551117187992415e-5,0.004084416841189987,0.004003703458102491,,BnaA05g26770D/BnaA06g24800D/BnaC05g02910D/BnaCnng21620D/BnaC05g32500D/BnaA01g35410D/BnaA02g30530D/BnaC05g40790D,31,1.62310488413783,0.8378378378378378
GO:0016274,protein-arginine N-methyltransferase activity,0.0027090797867692037,37/22168,4.5551117187992415e-5,0.004084416841189987,0.004003703458102491,,BnaA05g26770D/BnaA06g24800D/BnaC05g02910D/BnaCnng21620D/BnaC05g32500D/BnaA01g35410D/BnaA02g30530D/BnaC05g40790D,31,1.62310488413783,0.8378378378378378
GO:0031072,heat shock protein binding,0.004806431879751813,74/22168,5.245870761323931e-5,0.004456229162514118,0.0043681682849140546,,BnaC07g49210D/BnaCnng33760D/BnaC04g54960D,55,1.439851106896462,0.7432432432432432
GO:0008170,N-methyltransferase activity,0.008039849689766669,136/22168,1.050842380148233e-4,0.008115322783430218,0.007954953462137622,,BnaA05g26770D/BnaA06g24800D/BnaC05g02910D/BnaCnng21620D/BnaC04g51980D/BnaC05g32500D/BnaA01g35410D/BnaA09g35780D/BnaC05g32210D/BnaCnng46850D/BnaA02g30530D/BnaC05g40790D/BnaC08g39970D/BnaA03g47570D,92,1.310495499431967,0.6764705882352942
