ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0019843,rRNA binding,0.008522047206396323,217/44178,2.903108096053231e-26,5.68718876016828e-23,5.323383477183925e-23,,BnaC09g12750D/BnaA05g27160D/BnaA05g27190D/BnaC05g02580D/BnaC04g53170D/BnaA04g21290D/BnaA07g37750D/BnaAnng12180D/BnaA01g28980D/BnaAnng12530D/BnaC03g73560D/BnaA04g29230D/BnaCnng31050D/BnaC05g37780D/BnaC04g56900D/BnaC04g44220D/BnaC01g15340D/BnaC03g22400D/BnaC03g22120D/BnaA02g21980D/BnaC09g20530D/BnaC09g20520D/BnaA06g25250D/BnaAnng03500D/BnaC05g31860D/BnaC04g27310D/BnaA10g13490D/BnaC01g36340D/BnaA01g24680D/BnaA01g27320D/BnaA06g11250D/BnaA04g26120D/BnaC01g34770D/BnaC05g12790D/BnaA09g34900D/BnaC07g16510D/BnaC06g14610D/BnaA03g53350D/BnaA09g18590D/BnaA09g38730D/BnaA01g13300D/BnaA03g17150D/BnaAnng09380D/BnaC04g22000D/BnaA08g27920D/BnaC05g03230D/BnaC04g52560D/BnaC03g72020D/BnaA07g18810D/BnaC05g41290D/BnaA03g32020D/BnaA03g28560D/BnaA05g04770D/BnaA05g07210D/BnaA04g23010D/BnaA04g04780D/BnaC03g20660D/BnaC03g33700D,178,1.7349631404800772,0.8202764976958525
GO:0140662,ATP-dependent protein folding chaperone,0.008426293866998611,233/44178,1.0903943641345537e-18,1.0680412796697953e-15,9.997194643802067e-16,,BnaA08g31360D/BnaC07g12220D/BnaA01g33840D/BnaA09g30100D/BnaC03g23670D/BnaC05g35160D/BnaA05g19100D/BnaC01g40350D/BnaA04g25810D/BnaC09g33020D/BnaA09g45320D/BnaA06g09730D/BnaC05g11220D/BnaA01g25680D/BnaC09g37140D/BnaC09g37000D/BnaA05g37290D/BnaA05g13740D/BnaC08g16470D,176,1.5976687144045694,0.7553648068669528
GO:0044183,protein folding chaperone,0.008905060563987169,258/44178,4.519135447716378e-16,2.950995447358795e-13,2.7622224385690985e-13,,BnaA08g31360D/BnaC07g12220D/BnaA01g33840D/BnaA09g30100D/BnaC03g23670D/BnaC05g35160D/BnaA05g19100D/BnaC01g40350D/BnaA04g25810D/BnaA09g39740D/BnaC03g15900D/BnaC09g33020D/BnaA09g45320D/BnaA06g09730D/BnaC05g29990D/BnaC05g11220D/BnaA01g25680D/BnaC02g01340D/BnaC09g37140D/BnaC09g37000D/BnaA05g37290D/BnaA05g13740D/BnaC08g16470D,186,1.5248363007590122,0.7209302325581395
GO:0140101,"catalytic activity, acting on a tRNA",0.011298894048929956,372/44178,2.259088331731238e-10,1.1063885104653738e-7,1.0356136510199518e-7,,BnaC04g04150D/BnaC06g41300D/BnaC08g42540D/BnaC05g39850D/BnaCnng35560D/BnaA06g01920D/BnaC09g42900D/BnaC09g41670D/BnaA09g35780D/BnaC09g15440D/BnaC05g37130D/BnaA01g35850D/BnaA10g10830D/BnaC09g33230D/BnaC08g49240D/BnaC08g41780D/BnaC01g21050D/BnaC06g27510D/BnaA10g27580D/BnaC07g16130D/BnaA08g11970D/BnaA08g02170D/BnaAnng09530D/BnaCnng18830D/BnaC03g35250D,236,1.34183478842373,0.6344086021505376
GO:0030515,snoRNA binding,0.002489586824340499,62/44178,2.527342062119873e-9,9.902126199385663e-7,9.268694467816461e-7,,BnaC09g12750D/BnaA03g06930D/BnaC09g47740D/BnaC03g73340D/BnaCnng34340D/BnaAnng18930D/BnaA09g56020D/BnaA07g00340D/BnaA09g10290D/BnaAnng06240D/BnaA08g00080D/BnaA09g43720D/BnaA08g13850D/BnaC02g01270D/BnaC09g41090D,52,1.7739510762212025,0.8387096774193549
GO:0051082,unfolded protein binding,0.009671087279168862,319/44178,5.353354828999532e-9,1.747870351668347e-6,1.6360603705468747e-6,,BnaA05g26690D/BnaA08g31360D/BnaCnng71630D/BnaC08g14690D/BnaC07g49210D/BnaC02g48610D/BnaA01g33840D/BnaA09g30100D/BnaC03g23670D/BnaCnng33760D/BnaC05g35160D/BnaA05g19100D/BnaA09g26520D/BnaC04g54960D/BnaC01g40350D/BnaA04g25810D/BnaCnng47600D/BnaA08g26530D/BnaA09g39740D/BnaCnng06700D/BnaCnng49750D/BnaC03g15900D/BnaA09g45320D/BnaCnng54260D/BnaA06g09730D/BnaC05g29990D/BnaA10g17040D/BnaC05g11220D/BnaA09g15400D/BnaC05g40710D/BnaA01g25680D/BnaC02g01340D/BnaAnng28460D/BnaC02g42210D/BnaC02g09880D/BnaC09g37140D/BnaC09g37000D/BnaA09g05390D/BnaA01g30630D/BnaA05g37290D/BnaC07g00750D/BnaC08g16470D,202,1.3393394790568087,0.6332288401253918
GO:0008173,RNA methyltransferase activity,0.005027050318379854,150/44178,1.4287193212404483e-8,3.882611957488737e-6,3.6342441255986568e-6,,BnaC04g51980D/BnaA01g18460D/BnaA09g14260D/BnaC09g43310D/BnaC09g42900D/BnaA09g35780D/BnaC09g32580D/BnaC09g32470D/BnaC05g32210D/BnaA10g27580D/BnaA01g29950D/BnaA03g47600D/BnaA03g47570D,105,1.4805668597692345,0.7
GO:0003746,translation elongation factor activity,0.0033513668789199023,92/44178,1.585548527815717e-8,3.882611957488737e-6,3.6342441255986568e-6,,BnaC03g30500D/BnaC09g00290D/BnaA09g01140D/BnaC08g42630D/BnaCnng74170D/BnaC03g57360D/BnaC02g40230D/BnaC05g37640D/BnaA08g26240D/BnaC09g13110D/BnaC09g26150D/BnaC02g08760D/BnaA02g04260D/BnaA09g29060D/BnaCnng19790D/BnaA07g27940D/BnaC05g20200D,70,1.609311804096994,0.7608695652173914
GO:0046910,pectinesterase inhibitor activity,0.0038301335759084597,109/44178,2.6144071936544794e-8,5.69069299152125e-6,5.326663545434039e-6,,BnaA05g26320D/BnaCnng68380D/BnaC05g08260D/BnaC03g75510D/BnaA06g40340D/BnaA05g17590D/BnaC03g57120D/BnaC02g19950D/BnaC06g11080D/BnaC01g37010D/BnaA09g47760D/BnaA01g31480D/BnaA02g24800D/BnaAnng07260D/BnaC02g32920D/BnaA08g03570D/BnaA09g13080D,80,1.5523636799677425,0.7339449541284404
GO:0015144,carbohydrate transmembrane transporter activity,0.005649447024464978,174/44178,3.42404338700703e-8,6.707700995146772e-6,6.2786142949118385e-6,,BnaCnng25770D/BnaC09g53840D/BnaA05g36140D/BnaA05g36160D/BnaA09g30430D/BnaC08g42910D/BnaC09g50910D/BnaA06g02890D/BnaC03g73840D/BnaA08g26710D/BnaA07g03370D/BnaCnng06490D/BnaA01g27670D/BnaCnng07770D/BnaC04g32240D/BnaC02g06970D/BnaA10g17210D/BnaC06g03490D/BnaC02g42230D/BnaA08g28920D/BnaA09g06250D/BnaC09g40390D,118,1.4343751186598495,0.6781609195402298
GO:0004857,enzyme inhibitor activity,0.013549097524776177,475/44178,4.277219670661536e-8,7.157587497591235e-6,6.69972188861338e-6,,BnaA05g26320D/BnaA06g35460D/BnaCnng68380D/BnaCnng68710D/BnaA09g06930D/BnaC05g13820D/BnaC05g08260D/BnaAnng12730D/BnaA01g35740D/BnaC03g75510D/BnaCnng28960D/BnaC03g40820D/BnaA06g40340D/BnaA05g17590D/BnaC03g57120D/BnaCnng76140D/BnaAnng40650D/BnaC06g18410D/BnaA04g28930D/BnaC02g19950D/BnaC09g39980D/BnaC09g20280D/BnaC06g11080D/BnaCnng42870D/BnaAnng20740D/BnaA03g56390D/BnaC06g23700D/BnaA09g39730D/BnaA09g40740D/BnaC09g28300D/BnaC01g37010D/BnaA09g47760D/BnaA01g27330D/BnaA01g31480D/BnaA03g10990D/BnaA02g24800D/BnaC04g00440D/BnaC01g27250D/BnaCnng57870D/BnaA05g11010D/BnaAnng07260D/BnaC02g32920D/BnaC02g33020D/BnaC03g21710D/BnaAnng29070D/BnaCnng62150D/BnaAnng29540D/BnaC04g47470D/BnaC04g42180D/BnaA09g12730D/BnaA04g26890D/BnaA08g03570D/BnaC09g20800D/BnaA09g13080D/BnaC03g72430D/BnaC06g33320D,283,1.2601516430517092,0.5957894736842105
GO:0008135,"translation factor activity, RNA binding",0.010293483985253985,349/44178,4.7498028314796356e-8,7.157587497591235e-6,6.69972188861338e-6,,BnaC03g30500D/BnaC05g08330D/BnaC09g00290D/BnaA09g01140D/BnaC08g42630D/BnaAnng14180D/BnaCnng74170D/BnaC03g57360D/BnaC02g40230D/BnaCnng36550D/BnaC08g43770D/BnaC06g10680D/BnaUnng00080D/BnaA07g04550D/BnaC03g66710D/BnaC01g19290D/BnaC05g37640D/BnaA08g26240D/BnaC09g13110D/BnaA09g50640D/BnaC04g29680D/BnaC04g29650D/BnaA09g47800D/BnaA03g50490D/BnaA09g35240D/BnaC09g23910D/BnaC09g26150D/BnaC02g08730D/BnaC02g08760D/BnaAnng27520D/BnaA02g04260D/BnaA08g11850D/BnaC04g47390D/BnaA08g27720D/BnaA09g29060D/BnaA08g29940D/BnaCnng19790D/BnaA07g27940D/BnaC08g12430D/BnaA05g13950D/BnaC05g20200D/BnaA10g02410D,215,1.302995803726506,0.6160458452722063
GO:0090079,"translation regulator activity, nucleic acid binding",0.010293483985253985,349/44178,4.7498028314796356e-8,7.157587497591235e-6,6.69972188861338e-6,,BnaC03g30500D/BnaC05g08330D/BnaC09g00290D/BnaA09g01140D/BnaC08g42630D/BnaAnng14180D/BnaCnng74170D/BnaC03g57360D/BnaC02g40230D/BnaCnng36550D/BnaC08g43770D/BnaC06g10680D/BnaUnng00080D/BnaA07g04550D/BnaC03g66710D/BnaC01g19290D/BnaC05g37640D/BnaA08g26240D/BnaC09g13110D/BnaA09g50640D/BnaC04g29680D/BnaC04g29650D/BnaA09g47800D/BnaA03g50490D/BnaA09g35240D/BnaC09g23910D/BnaC09g26150D/BnaC02g08730D/BnaC02g08760D/BnaAnng27520D/BnaA02g04260D/BnaA08g11850D/BnaC04g47390D/BnaA08g27720D/BnaA09g29060D/BnaA08g29940D/BnaCnng19790D/BnaA07g27940D/BnaC08g12430D/BnaA05g13950D/BnaC05g20200D/BnaA10g02410D,215,1.302995803726506,0.6160458452722063
GO:0043021,ribonucleoprotein complex binding,0.005553693685067267,172/44178,7.132431674047236e-8,9.980309749613238e-6,9.341876673827283e-6,,BnaA09g52020D/BnaA01g26980D/BnaC04g04050D/BnaCnng74170D/BnaC03g57360D/BnaA05g26270D/BnaC02g40230D/BnaC05g23610D/BnaC06g11240D/BnaC04g50450D/BnaC03g66710D/BnaCnng45920D/BnaA09g51520D/BnaA06g35980D/BnaC08g46120D/BnaC04g30010D/BnaA03g50330D/BnaA03g50490D/BnaA09g35240D/BnaC02g01060D/BnaA08g11850D/BnaA09g29060D/BnaA07g27940D/BnaC05g20200D,116,1.4264597652261728,0.6744186046511628
GO:0004650,polygalacturonase activity,0.004835543639584431,147/44178,1.1882829938937711e-7,1.551897590025265e-5,1.4526238423599644e-5,,BnaC01g39640D/BnaC01g39610D/BnaC04g49330D/BnaC08g49000D/BnaCnng48740D/BnaA09g51170D/BnaC08g45980D/BnaC05g46700D,101,1.4532288905412312,0.6870748299319728
GO:0008175,tRNA methyltransferase activity,0.0021544501364485088,55/44178,1.3503176574018208e-7,1.6532951817813545e-5,1.5475351047328762e-5,,BnaC09g42900D/BnaA09g35780D/BnaA10g27580D,45,1.7305326932367677,0.8181818181818182
GO:0030599,pectinesterase activity,0.005888830372959257,187/44178,2.5061791247520285e-7,2.8880028855230726e-5,2.7032594645932096e-5,,BnaCnng68380D/BnaC05g08260D/BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaA06g40340D/BnaA05g17590D/BnaC03g57120D/BnaC02g19950D/BnaC06g11080D/BnaC01g37010D/BnaA09g47760D/BnaA01g31480D/BnaA02g24800D/BnaAnng07260D/BnaC02g32920D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaCnng61650D/BnaA08g03570D/BnaA09g13080D,123,1.3912125573079897,0.6577540106951871
GO:0004812,aminoacyl-tRNA ligase activity,0.006367597069947814,207/44178,6.22690580974696e-7,6.42026762173384e-5,6.00956782303557e-5,,BnaC06g41300D/BnaC05g39850D/BnaA10g10830D/BnaC09g33230D/BnaC08g49240D/BnaC08g41780D/BnaC01g21050D/BnaAnng09530D/BnaCnng18830D/BnaC03g35250D,133,1.3589744123485725,0.642512077294686
GO:0016875,"ligase activity, forming carbon-oxygen bonds",0.006367597069947814,207/44178,6.22690580974696e-7,6.42026762173384e-5,6.00956782303557e-5,,BnaC06g41300D/BnaC05g39850D/BnaA10g10830D/BnaC09g33230D/BnaC08g49240D/BnaC08g41780D/BnaC01g21050D/BnaAnng09530D/BnaCnng18830D/BnaC03g35250D,133,1.3589744123485725,0.642512077294686
