ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0019843,rRNA binding,0.015781404995941925,202/24362,1.941388336859728e-34,3.2324115808714474e-31,3.0612628722272344e-31,,BnaC09g12750D/BnaA05g27160D/BnaA05g27190D/BnaC05g02580D/BnaC04g53170D/BnaA04g21290D/BnaA07g37750D/BnaAnng12180D/BnaA01g28980D/BnaAnng12530D/BnaC03g73560D/BnaA04g29230D/BnaCnng31050D/BnaC05g37780D/BnaC04g56900D/BnaC04g44220D/BnaC01g15340D/BnaC03g22400D/BnaC03g22120D/BnaA02g21980D/BnaC09g20530D/BnaC09g20520D/BnaA06g25250D/BnaAnng03500D/BnaC05g31860D/BnaC04g27310D/BnaA10g13490D/BnaC01g36340D/BnaA01g24680D/BnaA01g27320D/BnaA06g11250D/BnaA04g26120D/BnaC01g34770D/BnaC05g12790D/BnaA09g34900D/BnaC07g16510D/BnaC06g14610D/BnaA03g53350D/BnaA09g18590D/BnaA09g38730D/BnaA01g13300D/BnaA03g17150D/BnaAnng09380D/BnaC04g22000D/BnaA08g27920D/BnaC05g03230D/BnaC04g52560D/BnaC03g72020D/BnaA07g18810D/BnaC05g41290D/BnaA03g32020D/BnaA03g28560D/BnaA05g04770D/BnaA05g07210D/BnaA04g23010D/BnaA04g04780D/BnaC03g20660D/BnaC03g33700D,175,1.9032999431244413,0.8663366336633663
GO:0140662,ATP-dependent protein folding chaperone,0.014699251510505907,204/24362,4.88758878472178e-24,4.068917663280882e-21,3.8534778944806455e-21,,BnaA08g31360D/BnaC07g12220D/BnaA01g33840D/BnaA09g30100D/BnaC03g23670D/BnaC05g35160D/BnaA05g19100D/BnaC01g40350D/BnaA04g25810D/BnaC09g33020D/BnaA09g45320D/BnaA06g09730D/BnaC05g11220D/BnaA01g25680D/BnaC09g37140D/BnaC09g37000D/BnaA05g37290D/BnaA05g13740D/BnaC08g16470D,163,1.7554076730340435,0.7990196078431373
GO:0044183,protein folding chaperone,0.015420687167463252,225/24362,8.132012849391194e-21,4.513267131412113e-18,4.274300087153687e-18,,BnaA08g31360D/BnaC07g12220D/BnaA01g33840D/BnaA09g30100D/BnaC03g23670D/BnaC05g35160D/BnaA05g19100D/BnaC01g40350D/BnaA04g25810D/BnaC03g15900D/BnaC09g33020D/BnaA09g45320D/BnaA06g09730D/BnaC05g29990D/BnaC05g11220D/BnaA01g25680D/BnaC02g01340D/BnaC09g37140D/BnaC09g37000D/BnaA05g37290D/BnaA05g13740D/BnaC08g16470D,171,1.6696834701055099,0.76
GO:0140101,"catalytic activity, acting on a tRNA",0.019568942194967985,318/24362,1.627692745188484e-16,6.775271051847064e-14,6.416536137611444e-14,,BnaC04g04150D/BnaC06g41300D/BnaC08g42540D/BnaC05g39850D/BnaCnng35560D/BnaA06g01920D/BnaC09g42900D/BnaC09g41670D/BnaA09g35780D/BnaC09g15440D/BnaC05g37130D/BnaA01g35850D/BnaA10g10830D/BnaC09g33230D/BnaC08g49240D/BnaC08g41780D/BnaC01g21050D/BnaC06g27510D/BnaA10g27580D/BnaC07g16130D/BnaA08g11970D/BnaA08g02170D/BnaAnng09530D/BnaCnng18830D/BnaC03g35250D,217,1.4991778923075787,0.6823899371069182
GO:0051082,unfolded protein binding,0.015691225538822257,257/24362,4.671929440100786e-13,1.5557525035535615e-10,1.4733790107938897e-10,,BnaA05g26690D/BnaA08g31360D/BnaCnng71630D/BnaC07g49210D/BnaA01g33840D/BnaA09g30100D/BnaC03g23670D/BnaCnng33760D/BnaC05g35160D/BnaA05g19100D/BnaA09g26520D/BnaC04g54960D/BnaC01g40350D/BnaA04g25810D/BnaCnng47600D/BnaA08g26530D/BnaCnng06700D/BnaC03g15900D/BnaA09g45320D/BnaA06g09730D/BnaC05g29990D/BnaA10g17040D/BnaC05g11220D/BnaA09g15400D/BnaC05g40710D/BnaA01g25680D/BnaC02g01340D/BnaC02g42210D/BnaC09g37140D/BnaC09g37000D/BnaA09g05390D/BnaA01g30630D/BnaA05g37290D/BnaC07g00750D/BnaC08g16470D,174,1.4874304925166841,0.6770428015564203
GO:0030515,snoRNA binding,0.004689331770222743,59/24362,8.69842630219019e-12,2.4138132988577775e-9,2.2860074738036674e-9,,BnaC09g12750D/BnaA03g06930D/BnaC09g47740D/BnaC03g73340D/BnaCnng34340D/BnaAnng18930D/BnaA09g56020D/BnaA07g00340D/BnaA09g10290D/BnaAnng06240D/BnaA08g00080D/BnaA09g43720D/BnaA08g13850D/BnaC02g01270D/BnaC09g41090D,52,1.9362966201045164,0.8813559322033898
GO:0008173,RNA methyltransferase activity,0.008567048426368472,127/24362,1.6649448448260822e-11,3.96019023805061e-9,3.750507334660859e-9,,BnaC04g51980D/BnaA01g18460D/BnaA09g14260D/BnaC09g43310D/BnaC09g42900D/BnaA09g35780D/BnaC09g32470D/BnaC05g32210D/BnaA10g27580D/BnaA01g29950D/BnaA03g47600D/BnaA03g47570D,95,1.6433892422298324,0.7480314960629921
GO:0043021,ribonucleoprotein complex binding,0.009378663540445486,146/24362,2.542993704305754e-10,5.29260564708635e-8,5.012374432960552e-8,,BnaA09g52020D/BnaA01g26980D/BnaC04g04050D/BnaC03g57360D/BnaA05g26270D/BnaC05g23610D/BnaC06g11240D/BnaC04g50450D/BnaC03g66710D/BnaCnng45920D/BnaA09g51520D/BnaA06g35980D/BnaC08g46120D/BnaC04g30010D/BnaA03g50490D/BnaA09g35240D/BnaC02g01060D/BnaA08g11850D/BnaA09g29060D/BnaC05g20200D,104,1.5649520628241982,0.7123287671232876
GO:0016874,ligase activity,0.02570114527910542,480/24362,5.300003949678612e-10,9.805007306905432e-8,9.285854873238082e-8,,BnaA04g26960D/BnaC03g77160D/BnaC04g55430D/BnaCnng22540D/BnaC09g31780D/BnaC03g29960D/BnaC06g41300D/BnaC09g00690D/BnaC05g39850D/BnaC05g23810D/BnaA08g26110D/BnaA10g10830D/BnaC09g33230D/BnaAnng22560D/BnaA06g36040D/BnaC08g19310D/BnaA01g14300D/BnaC08g49240D/BnaC08g41780D/BnaC01g21050D/BnaA01g25350D/BnaC07g07100D/BnaCnng57900D/BnaA09g54360D/BnaC05g40560D/BnaAnng27730D/BnaC03g49300D/BnaA08g11970D/BnaAnng09530D/BnaA04g12210D/BnaC09g41340D/BnaA09g20320D/BnaA10g09380D/BnaCnng18830D/BnaA01g30410D/BnaC05g35690D/BnaC01g10870D/BnaA04g07450D/BnaC03g35250D/BnaA02g03140D/BnaA05g22420D/BnaC07g37950D,285,1.3044402110199296,0.59375
GO:0004812,aminoacyl-tRNA ligase activity,0.010911714311479845,180/24362,3.1355673085365495e-9,4.397026998155066e-7,4.164214599801668e-7,,BnaC06g41300D/BnaC05g39850D/BnaA10g10830D/BnaC09g33230D/BnaC08g49240D/BnaC08g41780D/BnaC01g21050D/BnaAnng09530D/BnaCnng18830D/BnaC03g35250D,121,1.4768399114237332,0.6722222222222223
