ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0004857,enzyme inhibitor activity,0.019779507133592736,285/21107,1.3165886579421774e-23,1.9498678024123648e-20,1.8252076447472083e-20,,BnaA06g35460D/BnaCnng68380D/BnaA09g06930D/BnaA09g06720D/BnaA04g18120D/BnaC05g13820D/BnaC05g08260D/BnaAnng12730D/BnaC03g75510D/BnaC03g40820D/BnaA05g17590D/BnaC03g57120D/BnaAnng40650D/BnaC06g18410D/BnaC02g19950D/BnaC09g39980D/BnaC09g20280D/BnaCnng37890D/BnaC06g11080D/BnaC04g51190D/BnaAnng20740D/BnaCnng47940D/BnaA05g11440D/BnaC06g23690D/BnaC06g23700D/BnaA09g39730D/BnaA09g47760D/BnaA01g31480D/BnaA02g24800D/BnaC04g00440D/BnaCnng57870D/BnaAnng07260D/BnaC02g32920D/BnaC02g33020D/BnaC03g21710D/BnaC03g21240D/BnaCnng62150D/BnaAnng29540D/BnaC04g47470D/BnaC04g42180D/BnaA04g26890D/BnaA08g03570D/BnaA09g13080D/BnaC03g72430D,244,1.4648633581359365,0.856140350877193
GO:0030599,pectinesterase activity,0.010051880674448769,139/21107,1.1121604410675416e-15,8.235548066105145e-13,7.709027899399749e-13,,BnaCnng68380D/BnaC05g08260D/BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaA05g17590D/BnaC03g57120D/BnaC02g19950D/BnaC06g11080D/BnaC04g51190D/BnaC09g32220D/BnaCnng47940D/BnaA09g47760D/BnaA01g31480D/BnaA02g24800D/BnaAnng07260D/BnaC02g32920D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA08g03570D/BnaA10g09760D/BnaA09g13080D,124,1.5263672330617997,0.8920863309352518
GO:0046910,pectinesterase inhibitor activity,0.00648508430609598,88/21107,1.3365223623824615e-11,6.597965395628085e-9,6.176140179851586e-9,,BnaCnng68380D/BnaC05g08260D/BnaC03g75510D/BnaA05g17590D/BnaC03g57120D/BnaC02g19950D/BnaC06g11080D/BnaC04g51190D/BnaCnng47940D/BnaA09g47760D/BnaA01g31480D/BnaA02g24800D/BnaAnng07260D/BnaC02g32920D/BnaA08g03570D/BnaA09g13080D,80,1.5554622096450892,0.9090909090909091
GO:0052689,carboxylic ester hydrolase activity,0.01532101167315175,240/21107,1.8914680996245896e-11,7.0031606388600425e-9,6.5554302294883805e-9,,BnaCnng68380D/BnaC05g08260D/BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaCnng74390D/BnaA05g33550D/BnaA05g17590D/BnaC03g57120D/BnaC06g18410D/BnaC02g19950D/BnaA05g14430D/BnaC06g11080D/BnaC04g51190D/BnaC09g32220D/BnaCnng47940D/BnaCnng48700D/BnaA09g39730D/BnaA09g51230D/BnaCnng07580D/BnaA06g39300D/BnaA09g47760D/BnaA01g31480D/BnaAnng02290D/BnaA02g24800D/BnaC08g46040D/BnaC01g20010D/BnaAnng27600D/BnaAnng07260D/BnaC02g32920D/BnaC02g01620D/BnaC02g01630D/BnaA08g13410D/BnaA02g29680D/BnaA09g28750D/BnaA08g03570D/BnaA10g09760D/BnaA09g13080D,189,1.3474191391050583,0.7875
GO:0045330,aspartyl esterase activity,0.0074578469520103765,107/21107,5.886079908391238e-10,1.714735602061918e-7,1.605108062060163e-7,,BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaC04g51190D/BnaC09g32220D/BnaCnng47940D/BnaA01g31480D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA10g09760D,92,1.4711474356643273,0.8598130841121495
GO:0004650,polygalacturonase activity,0.007863164721141375,114/21107,6.946936942857196e-10,1.714735602061918e-7,1.605108062060163e-7,,BnaC01g39640D/BnaC01g39610D/BnaC04g49330D/BnaC08g49000D/BnaCnng48740D/BnaA09g51170D/BnaA02g30650D/BnaC08g45980D/BnaC05g01250D,97,1.4558580506064123,0.8508771929824561
GO:0005543,phospholipid binding,0.014429312581063555,235/21107,1.7662607544425766e-8,3.2977917354783023e-6,3.086955268932744e-6,,BnaC02g45910D/BnaC03g30130D/BnaC09g00100D/BnaC01g39560D/BnaCnng31920D/BnaA03g58510D/BnaC05g04280D/BnaCnng02750D/BnaA05g14430D/BnaC05g44090D/BnaC02g43450D/BnaCnng54400D/BnaA10g11240D/BnaA02g13560D/BnaA03g52190D/BnaA08g13410D/BnaC03g49290D/BnaA02g29670D/BnaC04g47420D/BnaCnng65510D/BnaC03g71400D/BnaA05g10120D,178,1.2959978751000358,0.7574468085106383
GO:0015291,secondary active transmembrane transporter activity,0.023103112840466927,397/21107,1.7813864877668074e-8,3.2977917354783023e-6,3.086955268932744e-6,,BnaA09g07780D/BnaCnng25770D/BnaA02g08620D/BnaCnng26490D/BnaA10g27970D/BnaA09g30430D/BnaC01g39510D/BnaC01g38690D/BnaA06g02890D/BnaC04g48870D/BnaCnng33350D/BnaAnng16390D/BnaA07g39000D/BnaC09g43540D/BnaC08g45010D/BnaC05g03710D/BnaA04g12950D/BnaA07g10320D/BnaC03g73840D/BnaCnng39520D/BnaC05g44030D/BnaA06g14900D/BnaC05g09350D/BnaCnng47370D/BnaA07g03370D/BnaC06g13300D/BnaC08g19660D/BnaC03g56980D/BnaA01g31860D/BnaC05g46790D/BnaC06g03490D/BnaA01g29870D/BnaA07g12410D/BnaC02g42230D/BnaA08g28640D/BnaA08g28750D/BnaA10g10030D/BnaA09g49660D,285,1.2283058003116762,0.7178841309823678
GO:0015144,carbohydrate transmembrane transporter activity,0.008025291828793774,122/21107,7.59577654708253e-8,1.1905007323453977e-5,1.114388901168406e-5,,BnaCnng25770D/BnaA05g36140D/BnaA05g36160D/BnaA09g30430D/BnaA09g44150D/BnaC08g42910D/BnaC09g50910D/BnaA06g02890D/BnaA07g10320D/BnaC03g73840D/BnaA08g26710D/BnaA07g03370D/BnaCnng06490D/BnaA01g27670D/BnaC06g03490D/BnaC02g42230D/BnaA09g06250D,99,1.388441267461887,0.8114754098360656
GO:0020037,heme binding,0.025778210116731516,452/21107,8.038492453378783e-8,1.1905007323453977e-5,1.114388901168406e-5,,BnaCnng68210D/BnaA03g55260D/BnaA09g02720D/BnaA01g29240D/BnaC04g36710D/BnaC04g56610D/BnaA04g29190D/BnaCnng29190D/BnaC04g48960D/BnaC03g16960D/BnaC06g18500D/BnaC07g49710D/BnaA09g46580D/BnaA02g11200D/BnaA01g06830D/BnaA03g53930D/BnaA03g53940D/BnaA04g17570D/BnaAnng19770D/BnaA03g49690D/BnaC05g15990D/BnaA03g01680D/BnaA03g19280D/BnaC02g09490D/BnaC09g37760D/BnaC09g37770D/BnaC08g09240D/BnaC05g10050D/BnaC06g12560D/BnaA09g08530D/BnaC07g18360D/BnaAnng25600D/BnaAnng05520D/BnaC02g42920D/BnaCnng11080D/BnaCnng60140D/BnaC02g02210D/BnaA07g31910D/BnaA03g52510D/BnaCnng62090D/BnaC04g47480D/BnaC04g47720D/BnaC05g00720D/BnaA02g29380D/BnaA09g29780D/BnaA08g03180D/BnaA02g16720D/BnaA03g50930D/BnaC04g14330D/BnaC08g20820D,318,1.203762568437726,0.7035398230088495
