"","from","to","combined_score"
"1","3708.A0A067XLK1","3708.A0A078F357",415
"2","3708.A0A067XLK1","3708.A0A078F357",415
"3","3708.A0A067XLK1","3708.A0A078F3I7",242
"4","3708.A0A067XLK1","3708.A0A078F3I7",242
"5","3708.A0A067XLK1","3708.A0A078F464",269
"6","3708.A0A067XLK1","3708.A0A078F464",269
"7","3708.A0A067XLK1","3708.A0A078F6T7",934
"8","3708.A0A067XLK1","3708.A0A078F6T7",934
"9","3708.A0A067XLK1","3708.A0A078F6U9",890
"10","3708.A0A067XLK1","3708.A0A078F6U9",890
"11","3708.A0A067XLK1","3708.A0A078F7D3",270
"12","3708.A0A067XLK1","3708.A0A078F7D3",270
"13","3708.A0A078F357","3708.A0A078F7D3",423
"14","3708.A0A078F357","3708.A0A078F7D3",423
"15","3708.A0A067XLK1","3708.A0A078F7N8",242
"16","3708.A0A067XLK1","3708.A0A078F7N8",242
"17","3708.A0A067XLK1","3708.A0A078F8C1",222
"18","3708.A0A067XLK1","3708.A0A078F8C1",222
"19","3708.A0A067XLK1","3708.A0A078FA16",242
"20","3708.A0A067XLK1","3708.A0A078FA16",242
"21","3708.A0A067XLK1","3708.A0A078FBD7",206
"22","3708.A0A067XLK1","3708.A0A078FBD7",206
"23","3708.A0A078F357","3708.A0A078FBD7",206
"24","3708.A0A078F357","3708.A0A078FBD7",206
"25","3708.A0A067XLK1","3708.A0A078FC44",905
"26","3708.A0A067XLK1","3708.A0A078FC44",905
"27","3708.A0A078F6U9","3708.A0A078FC44",829
"28","3708.A0A078F6U9","3708.A0A078FC44",829
"29","3708.A0A067XLK1","3708.A0A078FF06",239
"30","3708.A0A067XLK1","3708.A0A078FF06",239
"31","3708.A0A078F6T7","3708.A0A078FF06",231
"32","3708.A0A078F6T7","3708.A0A078FF06",231
"33","3708.A0A067XLK1","3708.A0A078FH34",274
"34","3708.A0A067XLK1","3708.A0A078FH34",274
"35","3708.A0A078F357","3708.A0A078FH34",274
"36","3708.A0A078F357","3708.A0A078FH34",274
"37","3708.A0A078F6T7","3708.A0A078FH34",206
"38","3708.A0A078F6T7","3708.A0A078FH34",206
"39","3708.A0A078FBD7","3708.A0A078FH34",271
"40","3708.A0A078FBD7","3708.A0A078FH34",271
"41","3708.A0A078FF06","3708.A0A078FH34",206
"42","3708.A0A078FF06","3708.A0A078FH34",206
"43","3708.A0A067XLK1","3708.A0A078FIA8",216
"44","3708.A0A067XLK1","3708.A0A078FIA8",216
"45","3708.A0A078F6T7","3708.A0A078FIA8",241
"46","3708.A0A078F6T7","3708.A0A078FIA8",241
"47","3708.A0A078FBD7","3708.A0A078FIA8",274
"48","3708.A0A078FBD7","3708.A0A078FIA8",274
"49","3708.A0A078FF06","3708.A0A078FIA8",243
"50","3708.A0A078FF06","3708.A0A078FIA8",243
"51","3708.A0A078FH34","3708.A0A078FIA8",274
"52","3708.A0A078FH34","3708.A0A078FIA8",274
"53","3708.A0A067XLK1","3708.A0A078FIR0",270
"54","3708.A0A067XLK1","3708.A0A078FIR0",270
"55","3708.A0A078F464","3708.A0A078FIR0",441
"56","3708.A0A078F464","3708.A0A078FIR0",441
"57","3708.A0A067XLK1","3708.A0A078FK90",240
"58","3708.A0A067XLK1","3708.A0A078FK90",240
"59","3708.A0A067XLK1","3708.A0A078FK99",223
"60","3708.A0A067XLK1","3708.A0A078FK99",223
"61","3708.A0A078FH34","3708.A0A078FK99",206
"62","3708.A0A078FH34","3708.A0A078FK99",206
"63","3708.A0A067XLK1","3708.A0A078FPF3",242
"64","3708.A0A067XLK1","3708.A0A078FPF3",242
"65","3708.A0A078F357","3708.A0A078FPF3",248
"66","3708.A0A078F357","3708.A0A078FPF3",248
"67","3708.A0A078F7D3","3708.A0A078FPF3",423
"68","3708.A0A078F7D3","3708.A0A078FPF3",423
"69","3708.A0A067XLK1","3708.A0A078FQ02",841
"70","3708.A0A067XLK1","3708.A0A078FQ02",841
"71","3708.A0A078F6T7","3708.A0A078FQ02",546
"72","3708.A0A078F6T7","3708.A0A078FQ02",546
"73","3708.A0A078F6U9","3708.A0A078FQ02",829
"74","3708.A0A078F6U9","3708.A0A078FQ02",829
"75","3708.A0A078FH34","3708.A0A078FQ02",206
"76","3708.A0A078FH34","3708.A0A078FQ02",206
"77","3708.A0A067XLK1","3708.A0A078FQT2",550
"78","3708.A0A067XLK1","3708.A0A078FQT2",550
"79","3708.A0A067XLK1","3708.A0A078FR73",838
"80","3708.A0A067XLK1","3708.A0A078FR73",838
"81","3708.A0A078F464","3708.A0A078FR73",244
"82","3708.A0A078F464","3708.A0A078FR73",244
"83","3708.A0A078FH34","3708.A0A078FR73",206
"84","3708.A0A078FH34","3708.A0A078FR73",206
"85","3708.A0A078FIA8","3708.A0A078FR73",201
"86","3708.A0A078FIA8","3708.A0A078FR73",201
"87","3708.A0A078FQ02","3708.A0A078FR73",312
"88","3708.A0A078FQ02","3708.A0A078FR73",312
"89","3708.A0A067XLK1","3708.A0A078FRN5",242
"90","3708.A0A067XLK1","3708.A0A078FRN5",242
"91","3708.A0A067XLK1","3708.A0A078FRT2",362
"92","3708.A0A067XLK1","3708.A0A078FRT2",362
"93","3708.A0A067XLK1","3708.A0A078FS66",243
"94","3708.A0A067XLK1","3708.A0A078FS66",243
"95","3708.A0A078F7D3","3708.A0A078FS66",270
"96","3708.A0A078F7D3","3708.A0A078FS66",270
"97","3708.A0A078FH34","3708.A0A078FS66",206
"98","3708.A0A078FH34","3708.A0A078FS66",206
"99","3708.A0A067XLK1","3708.A0A078FSW9",242
