"ENTREZID" "GO" "ONTOLOGY" "GENENAME" "GOTERM" "external_gene_name" "Description_NCBI" "ALIAS" "log2FoldChange" "padj"
"106345364" NA NA NA NA "BnaA04g26550D" "F-box protein DOR" "LOC106345364" 2.1443999014639 0.00272605737708181
"106345424" "GO:0043086" "BP" "uncharacterized LOC106345424" "negative regulation of catalytic activity" "BnaA05g26320D" "uncharacterized LOC106345424" "LOC106345424" -5.96663122240833 0.0215282667587503
"106345731" NA NA NA NA "BnaA01g25360D" "zinc finger CCCH domain-containing protein 55" "LOC106345731" 1.71208775571965 0.00353968183092041
"106345736" "GO:0009688" "BP" "xanthoxin dehydrogenase" "abscisic acid biosynthetic process" "BnaA06g01590D" "xanthoxin dehydrogenase" "LOC106345736" -1.37297633330496 0.0458599456736643
"106345758" "GO:0030154" "BP" "protein FLX-like 3" "cell differentiation" "BnaA06g00500D" "protein FLX-like 3" "LOC106345758" 1.23004156388496 0.0197335056299457
"106345844" "GO:0017148" "BP" "50S ribosomal protein L13, chloroplastic" "negative regulation of translation" "BnaC02g25080D" "50S ribosomal protein L13, chloroplastic" "LOC106345844" 6.80099286171897 7.77435171434199e-05
"106345844" "GO:0006412" "BP" "50S ribosomal protein L13, chloroplastic" "translation" "BnaC02g25080D" "50S ribosomal protein L13, chloroplastic" "LOC106345844" 6.80099286171897 7.77435171434199e-05
"106345845" "GO:0009640" "BP" "B-box zinc finger protein 22" "photomorphogenesis" "BnaC02g25060D" "B-box zinc finger protein 22" "LOC106345845" 3.83111191363284 0.0258380167733052
"106345845" "GO:0006355" "BP" "B-box zinc finger protein 22" "regulation of DNA-templated transcription" "BnaC02g25060D" "B-box zinc finger protein 22" "LOC106345845" 3.83111191363284 0.0258380167733052
"106345937" "GO:0006631" "BP" "fatty-acid-binding protein 3, chloroplastic" "fatty acid metabolic process" "BnaA06g00880D" "fatty-acid-binding protein 3, chloroplastic" "LOC106345937" -1.27271190593194 0.0119975734389015
"106346425" "GO:0016559" "BP" "dynamin-like protein ARC5" "peroxisome fission" "BnaA01g25920D" "dynamin-like protein ARC5" "LOC106346425" 1.2356471173624 0.0143886801856834
"106346473" "GO:0006355" "BP" "transcription factor MYB124" "regulation of DNA-templated transcription" "BnaA06g09160D" "transcription factor MYB124" "LOC106346473" 1.43433601431582 0.0302795650751239
"106346480" NA NA NA NA "BnaA06g09090D" "protein HGH1 homolog" "LOC106346480" 3.06740648435179 1.57320127943736e-07
"106346622" NA NA NA NA "BnaCnng21610D" "putative pentatricopeptide repeat-containing protein At5g65820" "LOC106346622" 2.57440422894147 0.000758078728841809
"106346624" "GO:0045488" "BP" "probable pectin methylesterase CGR3" "pectin metabolic process" "BnaCnng21600D" "probable pectin methylesterase CGR3" "LOC106346624" -1.26107621729917 0.00222995004996513
"106347142" "GO:0006355" "BP" "SUPPRESSOR OF GAMMA RESPONSE 1" "regulation of DNA-templated transcription" "BnaA09g28720D" "SUPPRESSOR OF GAMMA RESPONSE 1" "LOC106347142" 3.26368949040235 9.01909527020542e-12
"106347270" "GO:0006004" "BP" "O-fucosyltransferase 6" "fucose metabolic process" "BnaC05g15860D" "O-fucosyltransferase 6" "BNAC05G15860D" 1.18874765583752 0.0292973594880374
"106347291" "GO:0030154" "BP" "RNA-binding protein 24" "cell differentiation" "BnaA06g14740D" "RNA-binding protein 24" "LOC106347291" 1.13948258204053 0.0474913120837972
"106347340" NA NA NA NA "BnaA06g15040D" "uncharacterized LOC106347340" "LOC106347340" 2.37022486717827 0.00124054546329117
"106347347" "GO:0019438" "BP" "indole glucosinolate O-methyltransferase 4" "aromatic compound biosynthetic process" "BnaA06g14950D" "indole glucosinolate O-methyltransferase 4" "LOC106347347" -3.78699525343517 0.000901797150347585
"106347347" "GO:0032259" "BP" "indole glucosinolate O-methyltransferase 4" "methylation" "BnaA06g14950D" "indole glucosinolate O-methyltransferase 4" "LOC106347347" -3.78699525343517 0.000901797150347585
"106348066" NA NA NA NA "BnaA06g23410D" "dicarboxylate transporter 2.1, chloroplastic" "LOC106348066" 1.05811358080888 0.0488481571234872
"106348183" "GO:0006508" "BP" "lysosomal Pro-X carboxypeptidase" "proteolysis" "BnaA06g24710D" "lysosomal Pro-X carboxypeptidase" "LOC106348183" 1.31990054990054 0.00917568095964192
"106348199" "GO:0006000" "BP" "probable fructokinase-6, chloroplastic" "fructose metabolic process" "BnaC06g43510D" "probable fructokinase-6, chloroplastic" "LOC106348199" -1.33485447006826 0.046656307838379
"106348199" "GO:0019252" "BP" "probable fructokinase-6, chloroplastic" "starch biosynthetic process" "BnaC06g43510D" "probable fructokinase-6, chloroplastic" "LOC106348199" -1.33485447006826 0.046656307838379
"106348211" "GO:0051301" "BP" "cyclin-B2-1" "cell division" "BnaA06g25730D" "cyclin-B2-1" "LOC106348211" -2.41601345485539 0.000584446634232635
"106348211" "GO:0044772" "BP" "cyclin-B2-1" "mitotic cell cycle phase transition" "BnaA06g25730D" "cyclin-B2-1" "LOC106348211" -2.41601345485539 0.000584446634232635
"106348211" "GO:0000079" "BP" "cyclin-B2-1" "regulation of cyclin-dependent protein serine/threonine kinase activity" "BnaA06g25730D" "cyclin-B2-1" "LOC106348211" -2.41601345485539 0.000584446634232635
"106348395" "GO:0006629" "BP" "phospholipase A1-Igamma2, chloroplastic" "lipid metabolic process" "BnaA04g17620D" "phospholipase A1-Igamma2, chloroplastic" "LOC106348395" -1.07605325571179 0.0305871010710858
"106348443" NA NA NA NA "BnaC06g06810D" "GDSL esterase/lipase At1g54020" "LOC106348443" -9.34687974545618 1.40239508494436e-10
"106348851" NA NA NA NA "BnaC07g27440D" "basic leucine zipper 63" "LOC106348851" 2.90821676804561 0.00334162464355277
"106349409" "GO:0006412" "BP" "30S ribosomal protein S20, chloroplastic" "translation" "BnaA01g28980D" "30S ribosomal protein S20, chloroplastic" "LOC106349409" 5.92293155714376 0.00282790802800195
"106349439" NA NA NA NA "BnaC07g48750D" "DExH-box ATP-dependent RNA helicase DExH5, mitochondrial" "LOC106349439" 1.30964386126827 0.00160571536092368
"106349540" "GO:0034765" "BP" "outer envelope pore protein 24B, chloroplastic" "regulation of ion transmembrane transport" "BnaA06g36970D" "outer envelope pore protein 24B, chloroplastic" "LOC106349540" 2.13075655119397 0.00109448226583505
"106349612" NA NA NA NA "BnaA01g28600D" "late embryogenesis abundant protein 76-like" "LOC106349612" -6.66706848578186 0.000110664692011496
"106351260" "GO:0032366" "BP" "putative phosphatidylglycerol/phosphatidylinositol transfer protein DDB_G0282179" "intracellular sterol transport" "BnaAnng09460D" "putative phosphatidylglycerol/phosphatidylinositol transfer protein DDB_G0282179" "LOC106351260" -1.65633839923937 0.048858077474499
