gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chromosome_name,gene_name,start_position,end_position,strand,transcript_biotype,transcript_length,description,sig
ENSRNA049451154,12.8926277525855,4.51529556444181,1.57457069545484,2.8676359705383,0.004135510603871,0.0228705359315986,LK032530,SNORD14,99781,99904,1,snoRNA,124,Small nucleolar RNA SNORD14,yes
ENSRNA049451265,9.22193057208037,6.54213974798225,2.30458681212507,2.8387473683188,0.0045290999061313,0.0246011188935089,LK032511,SNORD14,128106,128229,1,snoRNA,124,Small nucleolar RNA SNORD14,yes
ENSRNA049451858,31.0845485978363,4.40040356419327,1.10557393312374,3.98019836788316,6.88577850436168e-05,0.0007059253831723,LK032438,snoR118,267557,267648,1,snoRNA,92,small nucleolar RNA snoR118,yes
ENSRNA049455257,6.33759445903536,6.00177667166022,2.29494407050007,2.61521696707512,0.0089170791254157,0.0423278305383006,LK032432,U5,280735,280854,1,snRNA,120,U5 spliceosomal RNA,yes
ENSRNA049457457,7.31828025649524,6.20900820736043,2.26567447343566,2.74046791812291,0.0061351771194593,0.0314460691630873,LK032297,snoR30,371786,371883,-1,snoRNA,98,Small nucleolar RNA R30/Z108,yes
ENSRNA049457849,185.256575236401,-1.18592079185902,0.369666556398624,-3.2080824497962,0.001336231849345,0.0089856472911696,LK032150,Plant_SRP,266450,266754,-1,SRP_RNA,305,Plant signal recognition particle RNA,yes
ENSRNA049457938,8.28432287187762,6.38649732736232,2.42682775451627,2.63162365581043,0.0084977936825804,0.0407001348024283,LK032144,U5,318880,318995,-1,snRNA,116,U5 spliceosomal RNA,yes
ENSRNA049464072,20.8679576256735,3.58674526212242,1.09611613162625,3.27223106989671,0.0010670233029144,0.0074453619828964,LK031857,snoZ102_R77,351276,351364,1,snoRNA,89,Small nucleolar RNA Z102/R77,yes
ENSRNA049475711,80.9061139247466,-1.22796002987107,0.432004894639108,-2.84246786346458,0.0044765743963158,0.0243744141391473,LK032209,U1,231220,231382,-1,snRNA,163,U1 spliceosomal RNA,yes
ENSRNA049477108,9.43471719413423,-5.87430414794924,2.18133181487487,-2.69298971751632,0.0070814452943941,0.0352419908226112,LK035334,U5,8136,8253,1,snRNA,118,U5 spliceosomal RNA,yes
ENSRNA049477566,44.1288326133746,2.26981685371631,0.641568757491502,3.53791675048387,0.0004032971910687,0.0032549252921412,LK032111,SNORD24,343396,343479,-1,snoRNA,84,Small nucleolar RNA SNORD24,yes
ENSRNA049478818,38.4509276921874,1.81846342975604,0.686895916441318,2.64736386726123,0.0081122014031983,0.0392518282949361,LK034879,snoZ221_snoR21b,9601,9680,1,snoRNA,80,Small nucleolar RNA Z221/R21b,yes
GSBRNA2T00000015001,14.7816955616305,7.22691877663251,1.71144056134979,4.22271093711413,2.41381314053015e-05,0.0002811536905846,LK031985,BnaC09g12740D,130453,131958,-1,protein_coding,867,BnaC09g12740D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F5D6],yes
GSBRNA2T00000029001,27.7440650220938,2.60045234774538,0.948623353472584,2.74129066950125,0.0061198342130735,0.031385889285629,LK031985,BnaC09g12640D,253014,253418,-1,protein_coding,318,BnaC09g12640D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F5E8],yes
GSBRNA2T00000065001,359.829533112463,1.56939474463676,0.209135772646525,7.50419081717455,6.180921288966791e-14,2.9664045452847e-12,LK031985,BnaC09g12430D,508072,509766,1,protein_coding,1134,Reticulon-like protein [Source:UniProtKB/TrEMBL;Acc:A0A078F9A0],yes
GSBRNA2T00000073001,184.421679837794,-2.74145210418214,0.29948604311283,-9.1538559716765,5.49367965028526e-20,4.7668416072226295e-18,LK031985,BnaC09g12360D,551272,556112,-1,protein_coding,2930,BnaC09g12360D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F1M2],yes
GSBRNA2T00000106001,14.5778132778473,7.20355291991768,1.74998635972516,4.11634803887787,3.84922915132811e-05,0.0004243613392406,LK031985,BnaC09g12200D,693276,693675,1,protein_coding,400,BnaC09g12200D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F4M7],yes
GSBRNA2T00000119001,331.694185988742,-1.04813676362642,0.267861406135267,-3.91298163759029,9.11634692241443e-05,0.0009014233196958,LK031985,BnaC09g12120D,801217,806057,1,protein_coding,3638,BnaC09g12120D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F5R3],yes
GSBRNA2T00000120001,67.3902189859919,-1.64714970312822,0.52078408205158,-3.16282651466501,0.0015624541185408,0.0102294879013492,LK031985,BnaC09g12110D,806134,807266,1,protein_coding,559,BnaC09g12110D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F1P5],yes
GSBRNA2T00000166001,1965.87456096579,-1.10109977582925,0.144766962159266,-7.60601562266581,2.8267513493800202e-14,1.41103932537506e-12,LK031986,BnaA05g26480D,97139,99198,-1,protein_coding,1350,BnaA05g26480D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F5N8],yes
GSBRNA2T00000167001,4388.1097862031,-1.43824144303706,0.109952410186622,-13.0805813223734,4.25176065907052e-39,1.21762041522367e-36,LK031986,BnaA05g26490D,101624,103557,-1,protein_coding,1329,BnaA05g26490D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F9G0],yes
GSBRNA2T00000188001,375.811844212091,1.80918184621495,0.214420563757294,8.43753889325088,3.24089295157841e-17,2.20884054919923e-15,LK031986,BnaA05g26640D,154916,156621,1,protein_coding,1044,BnaA05g26640D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F9H4],yes
GSBRNA2T00000194001,219.439288473929,1.54299226404417,0.262369749832334,5.8809838597255,4.07834938925104e-09,1.02536470286506e-07,LK031986,BnaA05g26690D,167938,169231,-1,protein_coding,845,BnaA05g26690D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F9H9],yes
GSBRNA2T00000196001,187.886826326222,1.09673773829257,0.312390467996902,3.51079130334875,0.0004467750003741,0.0035527086752471,LK031986,BnaA05g26710D,173251,173987,1,protein_coding,737,BnaA05g26710D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F1U7],yes
GSBRNA2T00000208001,7.7850321949796,6.30114600527916,2.42981488399237,2.59326175289777,0.00950703832925,0.044544114835696,LK031986,BnaA05g26810D,205021,206169,-1,protein_coding,667,BnaA05g26810D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F1V8],yes
GSBRNA2T00000213001,209.118801456441,2.22513670130694,0.334856825237605,6.64503911403938,3.03136563949538e-11,1.03359571069636e-09,LK031986,BnaA05g26860D,224910,226271,1,protein_coding,972,BnaA05g26860D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F1W4],yes
GSBRNA2T00000226001,127.684590203937,-1.96926732296532,0.319913342662728,-6.15562735387827,7.47808738729842e-10,2.1285854061494e-08,LK031986,BnaA05g26950D,267518,272480,-1,protein_coding,1743,BnaA05g26950D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F5Y4],yes
GSBRNA2T00000243001,10.1612993760563,-6.96688717896163,2.24864719074753,-3.09825712438491,0.0019466245570229,0.0122931822958203,LK031986,BnaA05g27110D,324902,327100,-1,protein_coding,1320,BnaA05g27110D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F1Z3],yes
GSBRNA2T00000245001,114.676832636363,-1.17681550727326,0.461519386352007,-2.5498723175535,0.0107762377713329,0.0491799261029286,LK031986,BnaA05g27130D,330447,337557,-1,protein_coding,4145,BnaA05g27130D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F5T6],yes
GSBRNA2T00000257001,142.907706812414,-1.89679627713837,0.315664467915375,-6.00890017702872,1.86786081115192e-09,4.97544286547842e-08,LK031986,BnaA05g27230D,387004,389390,-1,protein_coding,1319,BnaA05g27230D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F5U2],yes
GSBRNA2T00000270001,111.464213777354,2.49814310021506,0.359601453755608,6.94697719968854,3.7319598803655096e-12,1.43263575042427e-10,LK031986,BnaA05g27330D,422847,424169,1,protein_coding,737,"7,8-dihydroneopterin aldolase [Source:UniProtKB/TrEMBL;Acc:A0A078F5V2]",yes
GSBRNA2T00000274001,31.5087099777378,2.26652647072275,0.788878446065082,2.87309975577119,0.0040646574902766,0.0225277159957645,LK031986,BnaA05g27370D,434842,435349,1,protein_coding,270,BnaA05g27370D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F524],yes
GSBRNA2T00000281001,326.841021286762,1.45048753938097,0.233211468483978,6.21962354085783,4.9834910935329e-10,1.44894172170836e-08,LK031986,BnaA05g27430D,482191,483268,1,protein_coding,1078,BnaA05g27430D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F5W6],yes
GSBRNA2T00000285001,224.368779087419,-1.11765735801201,0.323319785974714,-3.45681707861646,0.0005465957414996,0.0042258293581419,LK031986,BnaA05g27470D,492773,496023,-1,protein_coding,2011,BnaA05g27470D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F562],yes
GSBRNA2T00000295001,50.7543764717122,-3.43017887373588,0.767692546171689,-4.46816748559227,7.88925271434832e-06,0.0001042462144296,LK031986,BnaA05g27550D,537816,539306,1,protein_coding,1275,BnaA05g27550D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F661],yes
GSBRNA2T00000367001,155.269210500062,2.76685435393582,0.423296483051976,6.53644541052348,6.299811703246289e-11,2.0571853002479703e-09,LK031986,BnaA05g28130D,778231,779724,-1,protein_coding,732,BnaA05g28130D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F662],yes
GSBRNA2T00000379001,223.054371507506,1.30690503750973,0.244244269354006,5.35081146823352,8.75607069407052e-08,1.75233450219031e-06,LK031986,BnaA05g28250D,826114,827206,1,protein_coding,546,BnaA05g28250D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F6C1],yes
GSBRNA2T00000405001,955.615736546175,2.34439871704775,0.338936333240232,6.91692948535582,4.61537670751371e-12,1.74540213131822e-10,LK031986,BnaA05g28470D,917152,920781,-1,protein_coding,2313,Phenylalanine ammonia-lyase [Source:UniProtKB/TrEMBL;Acc:A0A078F5F6],yes
GSBRNA2T00000411001,119.358957148422,1.45103042289643,0.330817702907609,4.38619339334954,1.15351570443917e-05,0.000146407208604,LK031986,BnaA05g28520D,948201,949770,1,protein_coding,1094,Reticulon-like protein [Source:UniProtKB/TrEMBL;Acc:A0A078F5F8],yes
GSBRNA2T00000416001,22.1177088963901,2.45854366339816,0.878303328131599,2.79919656985495,0.0051229940014331,0.0271430132105812,LK031986,BnaA05g28570D,959012,961483,-1,protein_coding,1755,BnaA05g28570D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F5G1],yes
GSBRNA2T00000502001,295.577959316504,1.21063256919203,0.245662295822124,4.92803572131644,8.30604338874425e-07,1.37269125079927e-05,LK031987,BnaC04g19710D,748993,749657,-1,protein_coding,519,BnaC04g19710D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F6D2],yes
GSBRNA2T00000566001,198.951451719997,-1.59510779679424,0.285077249101331,-5.59535284496608,2.20173527432522e-08,4.90517348424266e-07,LK031988,BnaC03g54940D,256211,257050,-1,protein_coding,840,BnaC03g54940D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FA63],yes
GSBRNA2T00000607001,42.5572808762632,1.74503564067106,0.62944142624412,2.77235588239513,0.0055652156305522,0.0290346038528955,LK031988,BnaC03g54820D,638766,639906,1,protein_coding,930,BnaC03g54820D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F2H4],yes
GSBRNA2T00000614001,741.313921976584,1.72275413209973,0.168734655137408,10.2098417820383,1.79156733192052e-24,2.17696843983705e-22,LK031988,BnaC03g54810D,713472,715666,-1,protein_coding,1645,BnaC03g54810D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F5L6],yes
GSBRNA2T00000627001,87.9261041395979,1.09594885153522,0.410212950741578,2.6716583412444,0.0075477453513763,0.0370398164673053,LK031988,BnaC03g54750D,866170,869843,1,protein_coding,1612,Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:A0A078F6I8],yes
GSBRNA2T00000656001,90.5467879947785,1.86426698280442,0.471944112169204,3.95018591128441,7.80905130615814e-05,0.0007878668882307,LK031989,BnaA06g24930D,62229,62913,-1,protein_coding,482,BnaA06g24930D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F5N7],yes
GSBRNA2T00000658001,19.4571383269969,7.62095304504146,1.53755261814733,4.95654779881568,7.17567203169259e-07,1.20084723802803e-05,LK031989,BnaA06g24910D,66823,68051,-1,protein_coding,821,BnaA06g24910D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FAB8],yes
GSBRNA2T00000670001,10.9797081467095,6.79571342505718,1.84690915106944,3.67950606618748,0.0002336861309431,0.0020367635411192,LK031989,BnaA06g24820D,96950,97659,-1,protein_coding,586,BnaA06g24820D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F6L5],yes
GSBRNA2T00000674001,128.431761829843,1.68773892661916,0.318273670634376,5.30279153552099,1.14045129956633e-07,2.23183794745738e-06,LK031989,BnaA06g24780D,131291,133340,1,protein_coding,1561,BnaA06g24780D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F5Q4],yes
GSBRNA2T00000690001,220.970477271964,-1.74518843087802,0.24200092219956,-7.21149496049811,5.53408966096001e-13,2.3672786481690002e-11,LK031989,BnaA06g24650D,200278,203660,-1,protein_coding,3214,BnaA06g24650D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F6T7],yes
GSBRNA2T00000697001,85.5540148799182,1.1388613243846,0.431933154202404,2.63666105114712,0.0083726445125098,0.0402460947689985,LK031989,BnaA06g24590D,241989,244204,-1,protein_coding,2127,BnaA06g24590D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F2M5],yes
GSBRNA2T00000702001,13.5466988545059,5.22675064607534,1.6859330632806,3.10021243423792,0.0019338189149341,0.0122277412658931,LK031989,BnaA06g24560D,271111,272205,1,protein_coding,750,BnaA06g24560D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FAD9],yes
GSBRNA2T00000728001,192.369242365472,-1.36517015143679,0.293881751758874,-4.64530425338181,3.39575620345567e-06,4.90382889807274e-05,LK031989,BnaA06g24360D,428412,430786,1,protein_coding,2126,BnaA06g24360D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FAF0],yes
GSBRNA2T00000734001,198.331158334699,-1.78593822417403,0.267471293810831,-6.67712111729317,2.4368155876591797e-11,8.40742726423203e-10,LK031989,BnaA06g24310D,454080,458953,-1,protein_coding,3379,BnaA06g24310D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FAF3],yes
GSBRNA2T00000737001,47.4524994843831,1.78396609773332,0.55913914607164,3.19055839725582,0.0014199814061252,0.0094529570874425,LK031989,BnaA06g24290D,464645,466955,1,protein_coding,1195,BnaA06g24290D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F2Q4],yes
GSBRNA2T00000783001,6.80698335291411,6.10776172070712,2.25540179688172,2.7080592598408,0.0067677936824869,0.0340140600509205,LK031989,BnaA06g24030D,729257,730714,1,protein_coding,1068,BnaA06g24030D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F5Z6],yes
GSBRNA2T00000786001,151.628099679501,2.74577976701792,0.32498921555729,8.44883348608804,2.9422775739534504e-17,2.0120626651747403e-15,LK031989,BnaA06g24000D,737355,741264,-1,protein_coding,884,BnaA06g24000D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F706],yes
GSBRNA2T00000799001,82.8261433513489,-1.21109249090184,0.450292650058531,-2.68956753068124,0.0071544669777026,0.0355329206296112,LK031989,BnaA06g23900D,809251,811005,1,protein_coding,1470,BnaA06g23900D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F715],yes
GSBRNA2T00000809001,647.545210720729,2.25978586700517,0.160428875497997,14.0859047973155,4.6368172565802204e-45,1.8247820376395897e-42,LK031989,BnaA06g23810D,846912,849063,1,protein_coding,1683,BnaA06g23810D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FAI3],yes
GSBRNA2T00000813001,103.329342782494,1.94950475561462,0.385182270801416,5.06125256377573,4.16511030488117e-07,7.34087152520792e-06,LK031989,BnaA06g23780D,856152,856668,1,protein_coding,444,BnaA06g23780D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F623],yes
GSBRNA2T00000976001,28.5144310465221,3.87309432984054,1.06311170692512,3.64316779188036,0.0002693031592303,0.0023029894027609,LK031990,BnaC08g11720D,643016,643381,1,protein_coding,366,BnaC08g11720D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F765],yes
GSBRNA2T00001020001,623.856356907245,1.52360627912576,0.167208473962847,9.11201593445734,8.08651695437637e-20,6.918225072931329e-18,LK031990,BnaC08g11970D,893879,895535,1,protein_coding,980,BnaC08g11970D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F778],yes
GSBRNA2T00001101001,6.98625074644594,6.1443857287948,2.20913128042971,2.78135834806505,0.0054131948277696,0.0283944854500919,LK031991,BnaC01g30960D,419571,419774,-1,protein_coding,135,BnaC01g30960D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F392],yes
GSBRNA2T00001160001,6.63353566254622,6.06995977776439,2.26774237746964,2.67665314987731,0.0074361571921375,0.0366070658189976,LK031991,BnaC01g30650D,809801,809986,-1,protein_coding,186,BnaC01g30650D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F6L4],yes
GSBRNA2T00001177001,60.1775702971253,1.88048050112979,0.647566305794731,2.90391962074363,0.0036852275868793,0.0207874234854869,LK031991,BnaC01g30550D,916999,924118,1,protein_coding,957,BnaC01g30550D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F6M3],yes
GSBRNA2T00001237001,61.7593801367747,-1.91588168493224,0.494843389514871,-3.87169299525354,0.00010808203043,0.0010433614267671,LK031992,BnaC08g10180D,399336,402746,1,protein_coding,2388,BnaC08g10180D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F7Q2],yes
