"ENTREZID"	"GO"	"ONTOLOGY"	"GENENAME"	"GOTERM"	"external_gene_name"	"Description_Ensembl"	"UniprotAcc"	"gene_name"	"persistent_id"	"name_PC"	"id_PC"	"Uniprot_ID"	"PANTHER_SF_ID"	"PANTHER_Family_name"	"PANTHER_SF_name"	"Description_NCBI"	"ALIAS"	"log2FoldChange"	"padj"
"106345323"	NA	NA	NA	NA	"BnaCnng46690D"	"BnaCnng46690D protein"	"A0A078JJ09"	NA	NA	NA	NA	"A0A078JJ09"	"PTHR11908:SF144"	"XANTHINE DEHYDROGENASE"	"BNAA09G00610D PROTEIN"	"xanthine dehydrogenase 1"	"LOC106345323"	1.54909718363804	6.03329645252429e-05
"106345353"	NA	NA	NA	NA	"BnaA05g34000D"	"BnaA05g34000D protein"	"A0A078IGD1"	NA	NA	NA	NA	NA	NA	NA	NA	"hypersensitive-induced response protein 3"	"LOC106345353"	2.69910236888086	0.0220179161881045
"106345362"	"GO:0006952"	"BP"	"BON1-associated protein 2"	"defense response"	"BnaA04g26410D"	"BnaA04g26410D protein"	"A0A078HJP6"	NA	NA	NA	NA	"A0A078HJP6"	"PTHR32246:SF109"	"INGRESSION PROTEIN FIC1"	"C2 DOMAIN-CONTAINING PROTEIN"	"BON1-associated protein 2"	"LOC106345362"	3.69446308468281	0.00189737262779645
"106345432"	NA	NA	NA	NA	"BnaA05g26540D"	"BnaA05g26540D protein"	"A0A078F9G6"	"BnaA05g26540D protein"	"PTN008074112"	"cell adhesion molecule"	"PC00069"	"A0A078F9G6"	"PTHR37222:SF1"	"OS02G0718000 PROTEIN"	"OS02G0718000 PROTEIN"	"uncharacterized BNAA05G26540D"	"BNAA05G26540D"	-1.31902710487667	0.000113639782584085
"106345456"	NA	NA	NA	NA	"BnaC06g14480D"	"BnaC06g14480D protein"	"A0A078FK21"	NA	NA	NA	NA	"A0A078FK21"	"PTHR47571:SF1"	"THIOREDOXIN-LIKE 3-3"	"THIOREDOXIN-LIKE 3-3"	"thioredoxin-like 3-3"	"LOC106345456"	-1.28515539096621	0.0238623890172788
"106345773"	"GO:0006511"	"BP"	"E3 ubiquitin-protein ligase SIRP1"	"ubiquitin-dependent protein catabolic process"	"BnaA06g00320D"	"BnaA06g00320D protein"	"A0A078IJA3"	NA	NA	NA	NA	"A0A078IJA3"	"PTHR22765:SF265"	"RING FINGER AND PROTEASE ASSOCIATED DOMAIN-CONTAINING"	"RING-TYPE E3 UBIQUITIN TRANSFERASE"	"E3 ubiquitin-protein ligase SIRP1"	"LOC106345773"	-2.4769761385077	1.50846137861966e-07
"106345799"	"GO:0030091"	"BP"	"peptide methionine sulfoxide reductase B1, chloroplastic"	"protein repair"	"BnaA06g00780D"	"BnaA06g00780D protein"	"A0A078GC86"	NA	NA	NA	NA	"A0A078GC86"	"PTHR10173:SF52"	"METHIONINE SULFOXIDE REDUCTASE"	"METHIONINE-R-SULFOXIDE REDUCTASE B1"	"peptide methionine sulfoxide reductase B1, chloroplastic"	"LOC106345799"	1.74494547507765	0.00165903203683484
"106345799"	"GO:0006979"	"BP"	"peptide methionine sulfoxide reductase B1, chloroplastic"	"response to oxidative stress"	"BnaA06g00780D"	"BnaA06g00780D protein"	"A0A078GC86"	NA	NA	NA	NA	"A0A078GC86"	"PTHR10173:SF52"	"METHIONINE SULFOXIDE REDUCTASE"	"METHIONINE-R-SULFOXIDE REDUCTASE B1"	"peptide methionine sulfoxide reductase B1, chloroplastic"	"LOC106345799"	1.74494547507765	0.00165903203683484
"106345821"	"GO:0080028"	"BP"	"epithiospecifier protein"	"nitrile biosynthetic process"	"BnaA06g01390D"	"BnaA06g01390D protein"	"A0A078IQQ0"	NA	NA	NA	NA	"A0A078IQQ0"	"PTHR47435:SF7"	"KELCH REPEAT PROTEIN (AFU_ORTHOLOGUE AFUA_5G12780)"	"BNAC06G10450D PROTEIN"	"epithiospecifier protein"	"LOC106345821"	-5.67579188862337	0.00215963190745155
"106345929"	NA	NA	NA	NA	"BnaA06g00950D"	"BnaA06g00950D protein"	"A0A078GG28"	NA	NA	NA	NA	"A0A078GG28"	"PTHR13609:SF29"	"UBIQUITIN DOMAIN CONTAINING 1 PROTEIN-RELATED"	"UBD DOMAIN-CONTAINING PROTEIN"	"ubiquitin domain-containing protein 1-like"	"LOC106345929"	1.26379211193398	9.45763663174274e-05
"106346014"	"GO:0055072"	"BP"	"transcription factor ILR3"	"iron ion homeostasis"	"BnaC03g14420D"	"BnaC03g14420D protein"	"A0A078I2I1"	NA	NA	NA	NA	"A0A078I2I1"	"PTHR46133:SF21"	"BHLH TRANSCRIPTION FACTOR"	"BHLH DOMAIN-CONTAINING PROTEIN"	"transcription factor ILR3"	"LOC106346014"	2.77228168756339	8.16224714475894e-06
