ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0042273,ribosomal large subunit biogenesis,0.00984993038007323,210/35980,8.196320677756188e-32,2.7703563890815917e-28,2.6349014052492e-28,,BnaA06g24840D/BnaA06g35050D/BnaC08g21480D/BnaC04g03350D/BnaAnng34410D/BnaA03g55250D/BnaA04g21760D/BnaA01g26650D/BnaC04g04050D/BnaAnng12530D/BnaC04g06100D/BnaC03g29670D/BnaC09g47740D/BnaC05g37780D/BnaA08g05860D/BnaA01g18390D/BnaC03g42920D/BnaC03g22400D/BnaC03g22120D/BnaC02g20050D/BnaC07g33200D/BnaC09g20460D/BnaC06g43320D/BnaA09g35340D/BnaC02g19510D/BnaC09g32470D/BnaA07g37200D/BnaC06g23300D/BnaC06g12970D/BnaC02g26240D/BnaA02g36270D/BnaA06g11250D/BnaC04g32600D/BnaC03g48730D/BnaA07g28280D/BnaC05g12790D/BnaA09g34900D/BnaA09g35160D/BnaA09g35240D/BnaA02g27070D/BnaAnng06240D/BnaA09g18530D/BnaC08g26410D/BnaA04g10330D/BnaA01g29950D/BnaC03g20970D/BnaA02g14510D/BnaC01g22300D/BnaC02g01270D/BnaCnng63300D/BnaA09g55200D/BnaC08g10420D/BnaA09g20820D/BnaA03g47600D/BnaA04g23010D/BnaA03g17540D/BnaC07g20640D/BnaA01g12190D/BnaC01g13870D/BnaA03g25240D/BnaC09g23090D,191,1.6876214051192133,0.9095238095238095
GO:0042274,ribosomal small subunit biogenesis,0.008509102160796245,198/35980,1.8311864616020644e-18,3.094705120107489e-15,2.943391291438266e-15,,BnaA05g27160D/BnaA05g27190D/BnaA03g07060D/BnaA03g55250D/BnaA03g57330D/BnaA04g21760D/BnaA04g21290D/BnaA09g06730D/BnaC03g73560D/BnaA09g54920D/BnaC04g36490D/BnaC08g14300D/BnaCnng26310D/BnaC01g41990D/BnaA08g25730D/BnaA01g33650D/BnaC03g29670D/BnaC09g46640D/BnaA04g29230D/BnaCnng29070D/BnaC07g31040D/BnaC06g42550D/BnaC02g39820D/BnaA02g25840D/BnaC09g41680D/BnaA09g47020D/BnaC07g32160D/BnaA03g01080D/BnaC02g26240D/BnaA01g33230D/BnaA06g10130D/BnaA05g34140D/BnaC05g48560D/BnaC02g02880D/BnaA08g13850D/BnaC03g20970D/BnaC04g22660D/BnaA03g17150D/BnaC02g42050D/BnaAnng09380D/BnaC02g34080D/BnaA05g33140D/BnaA09g20820D/BnaC09g41090D/BnaC06g24350D/BnaA07g16150D/BnaA07g30140D/BnaC08g24870D/BnaC05g41290D/BnaA03g32020D/BnaA03g39990D/BnaA05g07210D/BnaAnng00820D/BnaA03g17540D/BnaA07g06200D/BnaA01g12190D/BnaC03g20660D/BnaC03g01450D/BnaA10g18170D/BnaA10g26290D/BnaC01g13870D/BnaC03g08960D/BnaA03g25240D/BnaC09g23090D,165,1.5462499785123682,0.8333333333333334
GO:0042255,ribosome assembly,0.007374555206023413,171/35980,1.8476480019097683e-16,2.0816834154850057e-13,1.979900700993836e-13,,BnaA05g27160D/BnaA05g27190D/BnaA04g21290D/BnaA09g06730D/BnaC03g73560D/BnaC04g36490D/BnaC04g06100D/BnaA04g29230D/BnaCnng29070D/BnaC05g37780D/BnaA08g05860D/BnaA01g18390D/BnaC07g31040D/BnaC03g22400D/BnaC03g22120D/BnaC07g33200D/BnaC06g43320D/BnaC02g19510D/BnaA07g37200D/BnaC06g23300D/BnaA03g01080D/BnaA01g33230D/BnaA06g11250D/BnaA05g34140D/BnaA07g28280D/BnaC05g12790D/BnaA09g34900D/BnaA09g35240D/BnaC05g48560D/BnaC02g02880D/BnaA02g14510D/BnaC01g22300D/BnaA03g17150D/BnaC02g42050D/BnaAnng09380D/BnaC08g10420D/BnaC06g24350D/BnaA07g30140D/BnaC05g41290D/BnaA03g32020D/BnaA03g39990D/BnaA05g07210D/BnaAnng00820D/BnaA04g23010D/BnaA07g06200D/BnaC03g20660D/BnaC03g01450D/BnaA10g26290D,143,1.5516754170334646,0.8362573099415205
GO:0030490,maturation of SSU-rRNA,0.005157031612603785,114/35980,9.574361346126205e-15,8.090335337476643e-12,7.694763039755114e-12,,BnaA03g07060D/BnaA03g57330D/BnaA04g21760D/BnaA09g06730D/BnaA09g54920D/BnaC08g14300D/BnaA08g25730D/BnaA01g33650D/BnaC03g29670D/BnaC09g46640D/BnaC06g42550D/BnaC02g39820D/BnaA02g25840D/BnaA09g47020D/BnaC07g32160D/BnaA03g01080D/BnaC02g26240D/BnaA06g10130D/BnaC02g02880D/BnaA08g13850D/BnaC03g20970D/BnaC04g22660D/BnaC02g34080D/BnaA05g33140D/BnaA09g20820D/BnaC09g41090D/BnaA07g16150D/BnaC08g24870D/BnaAnng00820D/BnaA03g17540D/BnaA01g12190D/BnaC03g01450D/BnaA10g26290D/BnaC01g13870D/BnaC03g08960D/BnaA03g25240D/BnaC09g23090D,100,1.6276315563288086,0.8771929824561403
GO:0000470,maturation of LSU-rRNA,0.004435047186839255,96/35980,4.3200384290646115e-14,2.9203459780476774e-11,2.7775573394449105e-11,,BnaA06g24840D/BnaA06g35050D/BnaC04g03350D/BnaA01g26650D/BnaC04g04050D/BnaAnng12530D/BnaC03g29670D/BnaC09g47740D/BnaC02g20050D/BnaC09g20460D/BnaC09g32470D/BnaC02g26240D/BnaA02g36270D/BnaC03g48730D/BnaA09g35240D/BnaA02g27070D/BnaAnng06240D/BnaA09g18530D/BnaA01g29950D/BnaC02g01270D/BnaA09g55200D/BnaA09g20820D/BnaA03g47600D/BnaC07g20640D/BnaA01g12190D/BnaC01g13870D/BnaA03g25240D/BnaC09g23090D,86,1.6622187269007958,0.8958333333333334
GO:0043086,negative regulation of catalytic activity,0.012428446186375123,328/35980,1.9046006286702228e-13,1.0729250208175589e-10,1.0204649684138353e-10,,BnaA06g35460D/BnaCnng68380D/BnaCnng68710D/BnaA08g31370D/BnaA09g06930D/BnaA09g06720D/BnaA04g18120D/BnaC05g13820D/BnaC05g08260D/BnaAnng12730D/BnaA01g35740D/BnaC03g75510D/BnaCnng28960D/BnaC03g40820D/BnaA05g17590D/BnaC03g57120D/BnaCnng76140D/BnaCnng76330D/BnaAnng40650D/BnaC06g18410D/BnaA04g28930D/BnaC02g19950D/BnaC09g39980D/BnaC09g20280D/BnaCnng37890D/BnaC06g11080D/BnaC04g51190D/BnaCnng42870D/BnaAnng20740D/BnaCnng47940D/BnaA05g11440D/BnaC06g23690D/BnaC06g23700D/BnaA09g39730D/BnaA09g40740D/BnaC09g28300D/BnaC01g37010D/BnaA09g47760D/BnaA01g31480D/BnaC04g12110D/BnaA02g24800D/BnaC04g00440D/BnaC01g27250D/BnaCnng57870D/BnaC04g54180D/BnaA10g30090D/BnaAnng07260D/BnaC02g32920D/BnaC02g33020D/BnaC03g21710D/BnaC03g21240D/BnaAnng29070D/BnaAnng29110D/BnaCnng62150D/BnaAnng29540D/BnaC04g47470D/BnaC05g00620D/BnaC04g42180D/BnaAnng30240D/BnaA04g26890D/BnaA09g06030D/BnaA08g03570D/BnaA09g13080D/BnaC03g72430D/BnaC06g33320D,241,1.363339920078588,0.7347560975609756
GO:0044092,negative regulation of molecular function,0.01248001650250116,330/35980,2.4266189631891656e-13,1.1717102993684828e-10,1.1144201975307837e-10,,BnaA06g35460D/BnaCnng68380D/BnaCnng68710D/BnaA08g31370D/BnaA09g06930D/BnaA09g06720D/BnaA04g18120D/BnaC05g13820D/BnaC05g08260D/BnaAnng12730D/BnaA01g35740D/BnaC03g75510D/BnaCnng28960D/BnaC03g40820D/BnaA05g17590D/BnaC03g57120D/BnaCnng76140D/BnaCnng76330D/BnaAnng40650D/BnaC06g18410D/BnaA04g28930D/BnaC02g19950D/BnaC09g39980D/BnaC09g20280D/BnaCnng37890D/BnaC06g11080D/BnaC04g51190D/BnaCnng42870D/BnaAnng20740D/BnaCnng47940D/BnaA05g11440D/BnaC06g23690D/BnaC06g23700D/BnaA09g39730D/BnaA09g40740D/BnaC09g28300D/BnaC01g37010D/BnaA09g47760D/BnaA01g31480D/BnaC04g12110D/BnaA02g24800D/BnaC04g00440D/BnaC01g27250D/BnaCnng57870D/BnaC04g54180D/BnaA10g30090D/BnaAnng07260D/BnaC02g32920D/BnaC02g33020D/BnaC03g21710D/BnaC03g21240D/BnaAnng29070D/BnaAnng29110D/BnaCnng62150D/BnaAnng29540D/BnaC04g47470D/BnaC05g00620D/BnaC04g42180D/BnaAnng30240D/BnaA04g26890D/BnaA09g06030D/BnaA08g03570D/BnaA09g13080D/BnaC03g72430D/BnaC06g33320D,242,1.360699981090884,0.7333333333333333
GO:0000154,rRNA modification,0.004125625290083028,90/35980,9.133021379587193e-13,3.858701532875589e-10,3.6700325385867485e-10,,BnaA03g06930D/BnaC08g14300D/BnaA08g25730D/BnaA09g30730D/BnaC09g47740D/BnaC09g46640D/BnaC04g51980D/BnaC02g40190D/BnaC09g43310D/BnaC09g32580D/BnaC09g32470D/BnaA09g56020D/BnaC01g40380D/BnaCnng46850D/BnaA07g00340D/BnaC03g16060D/BnaA09g10290D/BnaAnng06240D/BnaA01g29950D/BnaA09g43720D/BnaC02g01270D/BnaA07g10580D/BnaC09g14790D/BnaA01g35280D/BnaA03g47600D/BnaA03g47570D,80,1.6493333104131929,0.8888888888888888
GO:0045490,pectin catabolic process,0.00887009437367851,225/35980,1.863169371833676e-12,6.997236085330915e-10,6.655110247462042e-10,,BnaA09g03190D/BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaA06g39970D/BnaA02g26540D/BnaC04g51190D/BnaC09g32220D/BnaCnng47940D/BnaC02g17500D/BnaC01g37010D/BnaA02g30490D/BnaA01g31480D/BnaC05g10650D/BnaCnng60280D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA06g34060D/BnaA06g09240D/BnaCnng61650D/BnaCnng15740D/BnaA09g06500D/BnaA10g09760D,172,1.4184266469553457,0.7644444444444445
GO:0000027,ribosomal large subunit assembly,0.0033005002320664226,70/35980,8.925561509364606e-12,3.0168397901652366e-9,2.869333142063106e-9,,BnaC04g06100D/BnaC05g37780D/BnaC03g22400D/BnaC03g22120D/BnaC06g43320D/BnaC02g19510D/BnaA07g37200D/BnaC06g23300D/BnaA06g11250D/BnaA07g28280D/BnaC05g12790D/BnaA09g34900D/BnaA02g14510D/BnaA04g23010D,64,1.6964571192821412,0.9142857142857143
