"ENTREZID" "GO" "ONTOLOGY" "GENENAME" "GOTERM" "external_gene_name" "Description_NCBI" "ALIAS"
"106345185" "GO:0006004" "BP" "protein MANNAN SYNTHESIS-RELATED 1" "fucose metabolic process" "BnaA01g25300D" "protein MANNAN SYNTHESIS-RELATED 1" "BNAA01G25300D"
"106345248" "GO:0032211" "BP" "CST complex subunit TEN1-like" "negative regulation of telomere maintenance via telomerase" "BnaA01g35740D" "CST complex subunit TEN1-like" "LOC106345248"
"106345428" "GO:0006508" "BP" "aspartic proteinase NANA, chloroplast" "proteolysis" "BnaA05g26480D" "aspartic proteinase NANA, chloroplast" "LOC106345428"
"106345511" NA NA NA NA "BnaCnng75930D" "protein trichome birefringence-like 1" "LOC106345511"
"106345633" "GO:0002181" "BP" "60S ribosomal protein L29-1" "cytoplasmic translation" "BnaA01g32660D" "60S ribosomal protein L29-1" "LOC106345633"
"106345633" "GO:0002181" "BP" "60S ribosomal protein L29-1" "cytoplasmic translation" "BnaA05g30690D" "60S ribosomal protein L29-1" "LOC106345633"
"106345633" "GO:0002181" "BP" "60S ribosomal protein L29-1" "cytoplasmic translation" "BnaA01g32660D" "60S ribosomal protein L29-1" "LOC106345633"
"106345633" "GO:0002181" "BP" "60S ribosomal protein L29-1" "cytoplasmic translation" "BnaA05g30690D" "60S ribosomal protein L29-1" "LOC106345633"
"106345701" NA NA NA NA "BnaA05g34120D" "lamin-like protein" "LOC106345701"
"106345731" NA NA NA NA "BnaA01g25360D" "zinc finger CCCH domain-containing protein 55" "LOC106345731"
"106345736" "GO:0009688" "BP" "xanthoxin dehydrogenase" "abscisic acid biosynthetic process" "BnaA06g01590D" "xanthoxin dehydrogenase" "LOC106345736"
"106345743" "GO:0015979" "BP" "photosystem I reaction center subunit VI, chloroplastic" "photosynthesis" "BnaA06g01680D" "photosystem I reaction center subunit VI, chloroplastic" "LOC106345743"
"106345937" "GO:0006631" "BP" "fatty-acid-binding protein 3, chloroplastic" "fatty acid metabolic process" "BnaA06g00880D" "fatty-acid-binding protein 3, chloroplastic" "LOC106345937"
"106345979" NA NA NA NA "BnaC03g71690D" "uncharacterized BNAC03G71690D" "BNAC03G71690D"
"106345992" NA NA NA NA "BnaA01g25600D" "probable histone H2A.2" "LOC106345992"
"106346115" "GO:0002181" "BP" "60S ribosomal protein L29-1" "cytoplasmic translation" "BnaA05g30690D" "60S ribosomal protein L29-1" "LOC106346115"
"106346115" "GO:0002181" "BP" "60S ribosomal protein L29-1" "cytoplasmic translation" "BnaA01g32660D" "60S ribosomal protein L29-1" "LOC106346115"
"106346115" "GO:0002181" "BP" "60S ribosomal protein L29-1" "cytoplasmic translation" "BnaA05g30690D" "60S ribosomal protein L29-1" "LOC106346115"
"106346115" "GO:0002181" "BP" "60S ribosomal protein L29-1" "cytoplasmic translation" "BnaA01g32660D" "60S ribosomal protein L29-1" "LOC106346115"
"106346382" NA NA NA NA "BnaA06g04320D" "histone H4" "LOC106346382"
"106346382" NA NA NA NA "BnaC03g11650D" "histone H4" "LOC106346382"
"106346382" NA NA NA NA "BnaA03g09320D" "histone H4" "LOC106346382"
"106346382" NA NA NA NA "BnaA04g21530D" "histone H4" "LOC106346382"
"106346382" NA NA NA NA "BnaA04g16620D" "histone H4" "LOC106346382"
"106346392" "GO:0006412" "BP" "40S ribosomal protein S15a" "translation" "BnaC05g05370D" "40S ribosomal protein S15a" "LOC106346392"
"106346392" "GO:0006412" "BP" "40S ribosomal protein S15a" "translation" "BnaA06g04200D" "40S ribosomal protein S15a" "LOC106346392"
"106346392" "GO:0006412" "BP" "40S ribosomal protein S15a" "translation" "BnaC05g05370D" "40S ribosomal protein S15a" "LOC106346392"
"106346392" "GO:0006412" "BP" "40S ribosomal protein S15a" "translation" "BnaA06g04200D" "40S ribosomal protein S15a" "LOC106346392"
"106346394" NA NA NA NA "BnaA04g21530D" "histone H4" "LOC106346394"
"106346394" NA NA NA NA "BnaC03g11650D" "histone H4" "LOC106346394"
"106346394" NA NA NA NA "BnaA03g09320D" "histone H4" "LOC106346394"
"106346394" NA NA NA NA "BnaA06g04320D" "histone H4" "LOC106346394"
"106346394" NA NA NA NA "BnaA04g16620D" "histone H4" "LOC106346394"
"106346463" NA NA NA NA "BnaA06g33720D" "uncharacterized protein At5g01610" "BNAA06G33720D"
"106346622" NA NA NA NA "BnaCnng21610D" "putative pentatricopeptide repeat-containing protein At5g65820" "LOC106346622"
"106346677" NA NA NA NA "BnaA06g09940D" "translation machinery-associated protein 7-like" "LOC106346677"
"106346729" NA NA NA NA "BnaAnng25600D" "cytochrome P450 72C1" "LOC106346729"
"106346895" "GO:0006952" "BP" "thaumatin-like protein" "defense response" "BnaA06g12390D" "thaumatin-like protein" "LOC106346895"
"106346938" NA NA NA NA "BnaA06g13900D" "thioredoxin H-type 2-like" "Trx-H-2"
"106346938" NA NA NA NA "BnaA06g13900D" "thioredoxin H-type 2-like" "THL-2"
"106346938" NA NA NA NA "BnaA06g13900D" "thioredoxin H-type 2-like" "LOC106346938"
"106346947" NA NA NA NA "BnaA06g13810D" "phosphatidylinositol/phosphatidylcholine transfer protein SFH4" "LOC106346947"
"106347036" NA NA NA NA "BnaC09g08970D" "purple acid phosphatase 10" "LOC106347036"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "CyP"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "Rotamase"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "PPIase"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "LOC106347045"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "ROT1"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "CyP"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "Rotamase"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "PPIase"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "LOC106347045"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "ROT1"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "CyP"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "Rotamase"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "PPIase"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "LOC106347045"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "ROT1"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "CyP"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "Rotamase"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "PPIase"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "LOC106347045"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "ROT1"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "CyP"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "Rotamase"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "PPIase"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "LOC106347045"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "ROT1"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "CyP"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "Rotamase"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "PPIase"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "LOC106347045"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "ROT1"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "CyP"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "Rotamase"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "PPIase"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "LOC106347045"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "ROT1"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "CyP"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "Rotamase"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "PPIase"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "LOC106347045"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "ROT1"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "CyP"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "Rotamase"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "PPIase"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "LOC106347045"
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "ROT1"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "CyP"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "Rotamase"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "PPIase"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "LOC106347045"
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "ROT1"
"106347142" "GO:0006355" "BP" "SUPPRESSOR OF GAMMA RESPONSE 1" "regulation of DNA-templated transcription" "BnaA09g28720D" "SUPPRESSOR OF GAMMA RESPONSE 1" "LOC106347142"
"106347169" NA NA NA NA "BnaA09g54510D" "uncharacterized BNAA09G54510D" "BNAA09G54510D"
"106347282" "GO:0009631" "BP" "dehydrin ERD10-like" "cold acclimation" "BnaC05g15780D" "dehydrin ERD10-like" "ERD10"
"106347282" "GO:0009631" "BP" "dehydrin ERD10-like" "cold acclimation" "BnaC05g15780D" "dehydrin ERD10-like" "LOC106347282"
"106347282" "GO:0009631" "BP" "dehydrin ERD10-like" "cold acclimation" "BnaC05g15780D" "dehydrin ERD10-like" "dehydrin"
"106347282" "GO:0009737" "BP" "dehydrin ERD10-like" "response to abscisic acid" "BnaC05g15780D" "dehydrin ERD10-like" "ERD10"
"106347282" "GO:0009737" "BP" "dehydrin ERD10-like" "response to abscisic acid" "BnaC05g15780D" "dehydrin ERD10-like" "LOC106347282"
"106347282" "GO:0009737" "BP" "dehydrin ERD10-like" "response to abscisic acid" "BnaC05g15780D" "dehydrin ERD10-like" "dehydrin"
"106347282" "GO:0009414" "BP" "dehydrin ERD10-like" "response to water deprivation" "BnaC05g15780D" "dehydrin ERD10-like" "ERD10"
"106347282" "GO:0009414" "BP" "dehydrin ERD10-like" "response to water deprivation" "BnaC05g15780D" "dehydrin ERD10-like" "LOC106347282"
"106347282" "GO:0009414" "BP" "dehydrin ERD10-like" "response to water deprivation" "BnaC05g15780D" "dehydrin ERD10-like" "dehydrin"
"106347282" "GO:0009631" "BP" "dehydrin ERD10-like" "cold acclimation" "BnaC05g15780D" "dehydrin ERD10-like" "ERD10"
"106347282" "GO:0009631" "BP" "dehydrin ERD10-like" "cold acclimation" "BnaC05g15780D" "dehydrin ERD10-like" "LOC106347282"
"106347282" "GO:0009631" "BP" "dehydrin ERD10-like" "cold acclimation" "BnaC05g15780D" "dehydrin ERD10-like" "dehydrin"
"106347282" "GO:0009737" "BP" "dehydrin ERD10-like" "response to abscisic acid" "BnaC05g15780D" "dehydrin ERD10-like" "ERD10"
"106347282" "GO:0009737" "BP" "dehydrin ERD10-like" "response to abscisic acid" "BnaC05g15780D" "dehydrin ERD10-like" "LOC106347282"
"106347282" "GO:0009737" "BP" "dehydrin ERD10-like" "response to abscisic acid" "BnaC05g15780D" "dehydrin ERD10-like" "dehydrin"
"106347282" "GO:0009414" "BP" "dehydrin ERD10-like" "response to water deprivation" "BnaC05g15780D" "dehydrin ERD10-like" "ERD10"
"106347282" "GO:0009414" "BP" "dehydrin ERD10-like" "response to water deprivation" "BnaC05g15780D" "dehydrin ERD10-like" "LOC106347282"
"106347282" "GO:0009414" "BP" "dehydrin ERD10-like" "response to water deprivation" "BnaC05g15780D" "dehydrin ERD10-like" "dehydrin"
"106347282" "GO:0009631" "BP" "dehydrin ERD10-like" "cold acclimation" "BnaC05g15780D" "dehydrin ERD10-like" "ERD10"
"106347282" "GO:0009631" "BP" "dehydrin ERD10-like" "cold acclimation" "BnaC05g15780D" "dehydrin ERD10-like" "LOC106347282"
"106347282" "GO:0009631" "BP" "dehydrin ERD10-like" "cold acclimation" "BnaC05g15780D" "dehydrin ERD10-like" "dehydrin"
"106347282" "GO:0009737" "BP" "dehydrin ERD10-like" "response to abscisic acid" "BnaC05g15780D" "dehydrin ERD10-like" "ERD10"
"106347282" "GO:0009737" "BP" "dehydrin ERD10-like" "response to abscisic acid" "BnaC05g15780D" "dehydrin ERD10-like" "LOC106347282"
"106347282" "GO:0009737" "BP" "dehydrin ERD10-like" "response to abscisic acid" "BnaC05g15780D" "dehydrin ERD10-like" "dehydrin"
