ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0030599,pectinesterase activity,0.012219506776271939,148/19816,7.257814324363509e-13,9.921432181404917e-10,9.068448003178406e-10,,BnaCnng68380D/BnaC05g08260D/BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaA06g40340D/BnaA05g17590D/BnaC03g57120D/BnaC02g19950D/BnaC06g11080D/BnaA09g47760D/BnaA01g31480D/BnaA02g24800D/BnaAnng07260D/BnaC02g32920D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D/BnaA08g03570D/BnaA09g13080D,110,1.6360928802608428,0.7432432432432432
GO:0004857,enzyme inhibitor activity,0.02343923572539436,329/19816,4.631411987338076e-12,2.6947250414567586e-9,2.4630490310777904e-9,,BnaA05g26320D/BnaA06g35460D/BnaCnng68380D/BnaA09g06930D/BnaC05g13820D/BnaC05g08260D/BnaAnng12730D/BnaC03g75510D/BnaC03g40820D/BnaA06g40340D/BnaA05g17590D/BnaC03g57120D/BnaAnng40650D/BnaC06g18410D/BnaC02g19950D/BnaC09g39980D/BnaC09g20280D/BnaC06g11080D/BnaAnng20740D/BnaC06g23700D/BnaA09g39730D/BnaA09g47760D/BnaA01g27330D/BnaA01g31480D/BnaA02g24800D/BnaC04g00440D/BnaCnng57870D/BnaA05g11010D/BnaAnng07260D/BnaC02g32920D/BnaC02g33020D/BnaC03g21710D/BnaCnng62150D/BnaAnng29540D/BnaC04g47470D/BnaC04g42180D/BnaA04g26890D/BnaA08g03570D/BnaC09g20800D/BnaA09g13080D/BnaC03g72430D,211,1.411768678220105,0.6413373860182371
GO:0004650,polygalacturonase activity,0.00933125972006221,108/19816,5.9138076988809625e-12,2.6947250414567586e-9,2.4630490310777904e-9,,BnaC01g39640D/BnaC01g39610D/BnaC04g49330D/BnaC08g49000D/BnaCnng48740D/BnaA09g51170D/BnaC08g45980D,84,1.7121133575254883,0.7777777777777778
GO:0015291,secondary active transmembrane transporter activity,0.0269940013330371,402/19816,7.227675883484692e-10,2.4700582331808933e-7,2.257697703604297e-7,,BnaA09g07780D/BnaCnng25770D/BnaCnng26490D/BnaA09g30430D/BnaC01g39510D/BnaC01g38690D/BnaA06g02890D/BnaC04g48870D/BnaAnng16390D/BnaC09g43540D/BnaC08g45010D/BnaC05g03710D/BnaA04g12950D/BnaC03g73840D/BnaCnng39520D/BnaC05g44030D/BnaA06g14900D/BnaC01g40630D/BnaA07g03370D/BnaC06g13300D/BnaC03g56980D/BnaA04g14920D/BnaA06g10210D/BnaC06g40660D/BnaA01g31860D/BnaC05g46790D/BnaC06g03490D/BnaA07g12410D/BnaC02g42230D/BnaA08g28750D/BnaA09g49660D,243,1.3306296776504059,0.6044776119402985
GO:0046910,pectinesterase inhibitor activity,0.008109309042435014,96/19816,9.069794759293946e-10,2.4796818871909646e-7,2.2664939745856664e-7,,BnaA05g26320D/BnaCnng68380D/BnaC05g08260D/BnaC03g75510D/BnaA06g40340D/BnaA05g17590D/BnaC03g57120D/BnaC02g19950D/BnaC06g11080D/BnaA09g47760D/BnaA01g31480D/BnaA02g24800D/BnaAnng07260D/BnaC02g32920D/BnaA08g03570D/BnaA09g13080D,73,1.6738965415092941,0.7604166666666666
GO:0015144,carbohydrate transmembrane transporter activity,0.00955343257053988,121/19816,9.198138032279784e-9,2.095642448354411e-6,1.915471902511597e-6,,BnaCnng25770D/BnaA05g36140D/BnaA05g36160D/BnaA09g30430D/BnaC08g42910D/BnaC09g50910D/BnaA06g02890D/BnaC03g73840D/BnaA08g26710D/BnaA07g03370D/BnaCnng06490D/BnaA01g27670D/BnaC06g03490D/BnaC02g42230D/BnaA09g06250D,86,1.5645522298993244,0.7107438016528925
GO:0052689,carboxylic ester hydrolase activity,0.017662741612974896,254/19816,2.3200777011903684e-8,4.2735474241922205e-6,3.906133902526597e-6,,BnaCnng68380D/BnaC05g08260D/BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaA05g33550D/BnaA06g40340D/BnaA05g17590D/BnaC03g57120D/BnaC06g18410D/BnaC02g19950D/BnaC06g11080D/BnaCnng48700D/BnaA09g39730D/BnaA09g51230D/BnaCnng07580D/BnaA06g39300D/BnaA09g47760D/BnaA01g31480D/BnaAnng02290D/BnaA02g24800D/BnaC08g46040D/BnaAnng07260D/BnaC02g32920D/BnaC02g01620D/BnaC02g01630D/BnaA08g13410D/BnaA02g29680D/BnaA09g28750D/BnaA08g03570D/BnaA09g13080D,159,1.37797199922327,0.6259842519685039
GO:0015171,amino acid transmembrane transporter activity,0.0066651855143301485,79/19816,3.087503023852172e-8,4.2735474241922205e-6,3.906133902526597e-6,,BnaA05g32770D/BnaCnng25140D/BnaAnng35930D/BnaC04g05480D/BnaC03g23170D/BnaCnng03640D/BnaUnng00280D/BnaC06g13220D/BnaA01g17620D/BnaC01g21960D/BnaA09g18190D/BnaA03g19350D/BnaC04g32800D/BnaC04g32870D/BnaC06g40470D/BnaA03g53200D/BnaC02g42110D/BnaC06g00580D/BnaA07g09040D/BnaA09g14700D/BnaC04g33890D,60,1.671864761417294,0.759493670886076
GO:0005342,organic acid transmembrane transporter activity,0.007998222617196179,99/19816,3.126223426621961e-8,4.2735474241922205e-6,3.906133902526597e-6,,BnaA05g32770D/BnaCnng25140D/BnaAnng35930D/BnaC04g05480D/BnaC01g39510D/BnaC03g23170D/BnaCnng03640D/BnaA04g12950D/BnaUnng00280D/BnaC05g44030D/BnaCnng46150D/BnaC06g13220D/BnaA01g17620D/BnaC01g21960D/BnaA09g18190D/BnaA03g19350D/BnaC04g32800D/BnaC04g32870D/BnaC06g40470D/BnaC02g33350D/BnaA03g53200D/BnaC02g42110D/BnaC06g00580D/BnaA07g09040D/BnaA09g14700D/BnaC04g33890D,72,1.6009371654783786,0.7272727272727273
GO:0046943,carboxylic acid transmembrane transporter activity,0.007998222617196179,99/19816,3.126223426621961e-8,4.2735474241922205e-6,3.906133902526597e-6,,BnaA05g32770D/BnaCnng25140D/BnaAnng35930D/BnaC04g05480D/BnaC01g39510D/BnaC03g23170D/BnaCnng03640D/BnaA04g12950D/BnaUnng00280D/BnaC05g44030D/BnaCnng46150D/BnaC06g13220D/BnaA01g17620D/BnaC01g21960D/BnaA09g18190D/BnaA03g19350D/BnaC04g32800D/BnaC04g32870D/BnaC06g40470D/BnaC02g33350D/BnaA03g53200D/BnaC02g42110D/BnaC06g00580D/BnaA07g09040D/BnaA09g14700D/BnaC04g33890D,72,1.6009371654783786,0.7272727272727273
GO:0015298,solute:cation antiporter activity,0.007331704065763164,92/19816,2.732546121145559e-7,3.395809588732708e-5,3.1038586084208403e-5,,BnaAnng16390D/BnaC05g03710D/BnaCnng39520D/BnaC05g46790D,66,1.5791853018169875,0.717391304347826
GO:0045330,aspartyl esterase activity,0.008664741168629194,113/19816,3.2221641632499067e-7,3.6705820093021854e-5,3.355007773489157e-5,,BnaC03g75510D/BnaAnng13700D/BnaAnng13710D/BnaCnng73710D/BnaA01g31480D/BnaC02g01620D/BnaC02g01630D/BnaA02g29680D,78,1.519473548650939,0.6902654867256637
GO:0015116,sulfate transmembrane transporter activity,0.002999333481448567,30/19816,3.9692726923837417e-7,3.969669257658252e-5,3.6283813258694374e-5,,BnaC09g43540D/BnaA04g12950D,27,1.9811597422794935,0.9
GO:0005451,monovalent cation:proton antiporter activity,0.0072206176405243275,91/19816,4.3558916506857186e-7,3.969669257658252e-5,3.6283813258694374e-5,,BnaAnng16390D/BnaC05g03710D/BnaCnng39520D/BnaC05g46790D,65,1.5723490018091215,0.7142857142857143
GO:0015299,solute:proton antiporter activity,0.0072206176405243275,91/19816,4.3558916506857186e-7,3.969669257658252e-5,3.6283813258694374e-5,,BnaAnng16390D/BnaC05g03710D/BnaCnng39520D/BnaC05g46790D,65,1.5723490018091215,0.7142857142857143
GO:0051119,sugar transmembrane transporter activity,0.006554099089091313,81/19816,4.983698703133927e-7,4.257947579490049e-5,3.891875237249981e-5,,BnaCnng25770D/BnaA05g36140D/BnaA05g36160D/BnaC08g42910D/BnaC09g50910D/BnaA06g02890D/BnaC03g73840D/BnaA08g26710D/BnaCnng06490D/BnaA01g27670D/BnaC06g03490D/BnaC02g42230D/BnaA09g06250D,59,1.60340774752387,0.7283950617283951
GO:0008271,secondary active sulfate transmembrane transporter activity,0.0026660742057320595,26/19816,6.083139722494873e-7,4.8915600003826424e-5,4.471013529784158e-5,,BnaC09g43540D,24,2.0319587100302496,0.9230769230769231
GO:1901682,sulfur compound transmembrane transporter activity,0.0037769384581204176,41/19816,8.429853778660072e-7,6.4020056196824e-5,5.8516002545435705e-5,,BnaAnng35930D/BnaC09g43540D/BnaA04g12950D/BnaC04g32800D/BnaC04g33890D,34,1.8254588411247363,0.8292682926829268
GO:0015293,symporter activity,0.006887358364807821,87/19816,9.121482349152194e-7,6.562666511205815e-5,5.998448503292883e-5,,BnaCnng25770D/BnaA09g30430D/BnaA06g02890D/BnaC04g48870D/BnaC09g43540D/BnaC03g73840D/BnaA07g03370D/BnaC06g13300D/BnaC06g03490D/BnaC02g42230D,62,1.5687344064026643,0.7126436781609196
GO:0004601,peroxidase activity,0.012663852477227283,181/19816,1.37918074090355e-6,8.977809870548348e-5,8.205952578709342e-5,,BnaA03g55260D/BnaC04g56610D/BnaA04g29190D/BnaCnng29190D/BnaC04g48960D/BnaA01g06830D/BnaAnng19770D/BnaC05g15990D/BnaA06g20340D/BnaA04g29610D/BnaA09g54370D/BnaC09g37760D/BnaC06g12560D/BnaC06g27340D/BnaC02g42920D/BnaCnng11080D/BnaA09g29780D/BnaA02g12270D/BnaC09g25680D/BnaC08g20820D/BnaA07g25540D,114,1.3864469651311373,0.6298342541436464
GO:0016684,"oxidoreductase activity, acting on peroxide as acceptor",0.012663852477227283,181/19816,1.37918074090355e-6,8.977809870548348e-5,8.205952578709342e-5,,BnaA03g55260D/BnaC04g56610D/BnaA04g29190D/BnaCnng29190D/BnaC04g48960D/BnaA01g06830D/BnaAnng19770D/BnaC05g15990D/BnaA06g20340D/BnaA04g29610D/BnaA09g54370D/BnaC09g37760D/BnaC06g12560D/BnaC06g27340D/BnaC02g42920D/BnaCnng11080D/BnaA09g29780D/BnaA02g12270D/BnaC09g25680D/BnaC08g20820D/BnaA07g25540D,114,1.3864469651311373,0.6298342541436464
GO:0015179,L-amino acid transmembrane transporter activity,0.0026660742057320595,27/19816,3.096514614963887e-6,1.924061581207106e-4,1.7586425109866668e-4,,BnaAnng35930D/BnaC04g05480D/BnaA09g18190D/BnaC04g32800D/BnaC06g40470D/BnaC02g42110D/BnaC04g33890D,24,1.9567009800291293,0.8888888888888888
GO:0005092,GDP-dissociation inhibitor activity,0.0023328149300155523,23/19816,5.1159341559374545e-6,2.9456516313967174e-4,2.6924024844784223e-4,,BnaC04g19820D/BnaA06g38240D/BnaA08g24940D/BnaA03g55960D/BnaC05g49450D/BnaC05g44140D/BnaA05g29800D/BnaC08g41570D,21,2.0098722023125295,0.9130434782608695
GO:0005509,calcium ion binding,0.026882914907798268,432/19816,5.171590281896212e-6,2.9456516313967174e-4,2.6924024844784223e-4,,BnaCnng20380D/BnaCnng21080D/BnaC01g20450D/BnaC02g45910D/BnaC05g51520D/BnaA06g40890D/BnaA08g24810D/BnaA01g34390D/BnaC02g44140D/BnaC09g00590D/BnaC03g23130D/BnaA04g05850D/BnaAnng15200D/BnaCnng34240D/BnaA03g59670D/BnaAnng17220D/BnaC02g20100D/BnaC09g09270D/BnaA09g36050D/BnaC04g51710D/BnaA09g28330D/BnaC02g19140D/BnaA10g30570D/BnaA02g35430D/BnaC03g47120D/BnaC03g63910D/BnaC06g31770D/BnaC04g29490D/BnaA02g30970D/BnaAnng22830D/BnaC02g43450D/BnaA03g19320D/BnaA08g19190D/BnaA04g26330D/BnaA04g07210D/BnaA02g13560D/BnaAnng06490D/BnaA03g48070D/BnaA05g32610D/BnaA08g13410D/BnaC03g49290D/BnaA02g29610D/BnaC09g22310D/BnaCnng11700D/BnaA07g31710D/BnaA02g22690D/BnaC04g42320D/BnaAnng08400D/BnaC04g24860D/BnaCnng15180D/BnaCnng18520D/BnaC05g30830D/BnaC05g47790D/BnaA07g16960D/BnaC04g28440D/BnaC07g10990D/BnaC02g12710D/BnaC03g35300D/BnaA04g02760D/BnaA02g03630D/BnaA03g08250D,242,1.2331292634558575,0.5601851851851852
GO:0016671,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor",0.004110197733836925,48/19816,7.705770178048409e-6,4.21351513335687e-4,3.8512628216182994e-4,,BnaC03g30020D/BnaA09g09450D/BnaC09g47880D/BnaC09g47890D/BnaA04g07200D/BnaA08g28820D/BnaA09g20370D,37,1.6968266311190103,0.7708333333333334
GO:0030695,GTPase regulator activity,0.010997556098644745,158/19816,9.172788536948448e-6,4.644148862966121e-4,4.24487329175743e-4,,BnaC04g19820D/BnaC08g11680D/BnaA06g38240D/BnaA08g24940D/BnaC03g30130D/BnaC01g39600D/BnaC01g39560D/BnaA03g55960D/BnaA03g58510D/BnaC09g38080D/BnaC05g49450D/BnaC05g44090D/BnaC05g44130D/BnaC05g44140D/BnaC01g19260D/BnaA05g29800D/BnaA05g29790D/BnaC03g14640D/BnaA08g13650D/BnaC07g03890D/BnaC08g41570D/BnaA10g09330D,99,1.3792884281692674,0.6265822784810127
GO:0060589,nucleoside-triphosphatase regulator activity,0.010997556098644745,158/19816,9.172788536948448e-6,4.644148862966121e-4,4.24487329175743e-4,,BnaC04g19820D/BnaC08g11680D/BnaA06g38240D/BnaA08g24940D/BnaC03g30130D/BnaC01g39600D/BnaC01g39560D/BnaA03g55960D/BnaA03g58510D/BnaC09g38080D/BnaC05g49450D/BnaC05g44090D/BnaC05g44130D/BnaC05g44140D/BnaC01g19260D/BnaA05g29800D/BnaA05g29790D/BnaC03g14640D/BnaA08g13650D/BnaC07g03890D/BnaC08g41570D/BnaA10g09330D,99,1.3792884281692674,0.6265822784810127
GO:0005543,phospholipid binding,0.014885580982004,226/19816,1.776713942087954e-5,8.674171281550832e-4,7.928418982174441e-4,,BnaC02g45910D/BnaC03g30130D/BnaC09g00100D/BnaC01g39560D/BnaA03g58510D/BnaC05g44090D/BnaC02g43450D/BnaCnng54400D/BnaA10g11240D/BnaA02g13560D/BnaA08g13410D/BnaC03g49290D/BnaC04g47420D/BnaCnng65510D/BnaC03g71400D/BnaA05g10120D,134,1.3051888174309347,0.5929203539823009
