entrezgene_id	external_gene_name	Description_NCBI	ALIAS
4237898	BnaCnng12870D	hypothetical protein	orf101b
4237920	BnaCnng12580D	hypothetical protein	orf117b
4237937	BnaCnng12490D	hypothetical protein	orf257
11541977	BnaA01g34210D	ribosomal protein S2	rps2
11541977	BnaA01g34150D	ribosomal protein S2	rps2
11541979	BnaC09g27540D	photosystem I P700 chlorophyll a apoprotein A1	psaA
11541979	BnaC05g32150D	photosystem I P700 chlorophyll a apoprotein A1	psaA
11541979	BnaA05g00900D	photosystem I P700 chlorophyll a apoprotein A1	psaA
11541979	BnaC04g15570D	photosystem I P700 chlorophyll a apoprotein A1	psaA
11541983	BnaC04g29450D	photosystem II protein V	psbE
11541983	BnaC01g21750D	photosystem II protein V	psbE
11541984	BnaC04g29440D	cytochrome b6/f complex subunit VI	petL
11541984	BnaA03g34060D	cytochrome b6/f complex subunit VI	petL
11541984	BnaC01g21740D	cytochrome b6/f complex subunit VI	petL
11541991	BnaC04g24910D	photosystem II protein H	psbH
11541991	BnaA06g19410D	photosystem II protein H	psbH
11541997	BnaC03g31140D	ribosomal protein L22	rpl22
11542008	BnaC02g41150D	ribosomal protein S11	rps11
11542008	BnaA06g19380D	ribosomal protein S11	rps11
11542012	BnaC09g27640D	photosystem I assembly protein Ycf4	ycf4
11542012	BnaC01g21770D	photosystem I assembly protein Ycf4	ycf4
11542012	BnaA10g13980D	photosystem I assembly protein Ycf4	ycf4
11542012	BnaA10g14010D	photosystem I assembly protein Ycf4	ycf4
11542012	BnaC09g27670D	photosystem I assembly protein Ycf4	ycf4
11542015	BnaC09g16420D	NADH dehydrogenase subunit I	ndhI
11542015	BnaC07g21920D	NADH dehydrogenase subunit I	ndhI
11542015	BnaA01g34280D	NADH dehydrogenase subunit I	ndhI
11542015	BnaC09g29180D	NADH dehydrogenase subunit I	ndhI
11542019	BnaC05g37990D	acetyl-CoA carboxylase beta subunit	accD
11542019	BnaC09g27620D	acetyl-CoA carboxylase beta subunit	accD
11542019	BnaA10g13960D	acetyl-CoA carboxylase beta subunit	accD
11542019	BnaC09g27690D	acetyl-CoA carboxylase beta subunit	accD
11542020	BnaC05g37940D	NADH dehydrogenase subunit K	ndhK
11542020	BnaC09g27570D	NADH dehydrogenase subunit K	ndhK
11542020	BnaC01g27940D	NADH dehydrogenase subunit K	ndhK
11542021	BnaC09g27560D	NADH dehydrogenase subunit J	ndhJ
11542024	BnaA06g19460D	ribosomal protein L20	rpl20
11542024	BnaC04g29420D	ribosomal protein L20	rpl20
11542024	BnaA08g02050D	ribosomal protein L20	rpl20
11542026	BnaC09g27630D	photosystem I subunit VIII	psaI
11542026	BnaC05g38000D	photosystem I subunit VIII	psaI
11542026	BnaC09g27680D	photosystem I subunit VIII	psaI
11542026	BnaA10g14020D	photosystem I subunit VIII	psaI
11542026	BnaC01g21780D	photosystem I subunit VIII	psaI
11542026	BnaA10g13970D	photosystem I subunit VIII	psaI
11542028	BnaC04g29430D	ribosomal protein L33	rpl33
11542028	BnaA06g19470D	ribosomal protein L33	rpl33
11542030	BnaA06g19370D	ribosomal protein L14	rpl14
11542030	BnaA01g34140D	ribosomal protein L14	rpl14
11542030	BnaC02g41160D	ribosomal protein L14	rpl14
11542030	BnaC03g31110D	ribosomal protein L14	rpl14
11542047	BnaC09g29290D	ribosomal protein S7	rps7
11542047	BnaCnng13040D	ribosomal protein S7	rps7
11542047	BnaC09g16570D	ribosomal protein S7	rps7
11542054	BnaC09g27580D	NADH dehydrogenase subunit 3	ndhC
11542054	BnaC05g37950D	NADH dehydrogenase subunit 3	ndhC
11542054	BnaC07g33020D	NADH dehydrogenase subunit 3	ndhC
11542054	BnaC01g27950D	NADH dehydrogenase subunit 3	ndhC
11542055	BnaA06g19390D	RNA polymerase alpha subunit	rpoA
11542063	BnaC06g14690D	photosystem II protein D1	psbA
11542066	BnaA01g34220D	RNA polymerase beta'' subunit	rpoC2
11542066	BnaA01g34160D	RNA polymerase beta'' subunit	rpoC2
11542091	BnaCnng13040D	ribosomal protein S7	rps7
11542091	BnaC09g16570D	ribosomal protein S7	rps7
11542091	BnaC09g29290D	ribosomal protein S7	rps7
106345163	BnaA05g36010D	upstream activation factor subunit UAF30	LOC106345163
