external_gene_name	Description_Ensembl	UniprotAcc
BnaCnng61390D	BnaCnng61390D protein	A0A078JNA5
BnaCnng73960D	BnaCnng73960D protein	A0A078JVS9
BnaCnng73970D	BnaCnng73970D protein	A0A078JYC7
BnaCnng73950D	BnaCnng73950D protein	A0A078K1D0
BnaCnng38380D	Glutaredoxin-like protein	A0A078J9G1
BnaCnng38360D	BnaCnng38360D protein	A0A078J5L2
BnaCnng38370D	BnaCnng38370D protein	A0A078J8H4
BnaCnng38350D	BnaCnng38350D protein	A0A078JBZ6
BnaAnng17200D	BnaAnng17200D protein	A0A078J9M5
BnaAnng17160D	BnaAnng17160D protein	A0A078JA67
BnaAnng17210D	BnaAnng17210D protein	A0A078JA72
BnaAnng17180D	BnaAnng17180D protein	A0A078J761
BnaAnng17150D	BnaAnng17150D protein	A0A078J9L9
BnaAnng17190D	BnaAnng17190D protein	A0A078J7Q8
BnaAnng17170D	BnaAnng17170D protein	A0A078J3Z4
BnaAnng34240D	BnaAnng34240D protein	A0A078JYJ4
BnaCnng62010D	BnaCnng62010D protein	A0A078JNK0
BnaCnng55990D	BnaCnng55990D protein	A0A078JPR5
BnaCnng56000D	BnaCnng56000D protein (Fragment)	A0A078JQN0
BnaAnng24590D	BnaAnng24590D protein	A0A078JQ62
BnaAnng23160D	BnaAnng23160D protein	A0A078JKC9
BnaAnng23170D	BnaAnng23170D protein	A0A078JMB2
BnaAnng23180D	BnaAnng23180D protein (Fragment)	A0A078JNF8
BnaA01g21360D	BnaA01g21360D protein	A0A078I0Z0
BnaA01g21430D	BnaA01g21430D protein	A0A078I306
BnaA01g21420D	BnaA01g21420D protein	A0A078I050
BnaA01g21370D	BnaA01g21370D protein	A0A078I044
BnaA01g21410D	BnaA01g21410D protein	A0A078I0Z5
BnaA01g21450D	Lipoxygenase	A0A078HY96
BnaA01g21440D	BnaA01g21440D protein	A0A078I1L0
BnaA01g21460D	BnaA01g21460D protein	A0A078I0Z9
BnaA01g21400D	BnaA01g21400D protein	A0A078HY91
BnaA01g21380D	BnaA01g21380D protein	A0A078I302
BnaA01g21390D	BnaA01g21390D protein	A0A078I1K2
BnaCnng44650D	BnaCnng44650D protein	A0A078JDI3
BnaCnng44640D	BnaCnng44640D protein	A0A078JAX9
BnaCnng44630D	BnaCnng44630D protein	A0A078JH21
