"ENTREZID" "GO" "ONTOLOGY" "GENENAME" "GOTERM" "external_gene_name" "Description_NCBI" "ALIAS" "log2FoldChange" "padj"
"106345170" NA NA NA NA "BnaA05g17590D" "pectinesterase inhibitor 1" "LOC106345170" -16.8283079227119 8.20763897938839e-42
"106345212" "GO:0009738" "BP" "protein C2-DOMAIN ABA-RELATED 10" "abscisic acid-activated signaling pathway" "BnaC09g52190D" "protein C2-DOMAIN ABA-RELATED 10" "LOC106345212" -5.62187409575072 7.61706468519615e-11
"106345220" "GO:0070816" "BP" "probable serine/threonine-protein kinase At1g09600" "phosphorylation of RNA polymerase II C-terminal domain" "BnaAnng34220D" "probable serine/threonine-protein kinase At1g09600" "LOC106345220" -10.1391876849434 2.16367765009733e-33
"106345220" "GO:0032968" "BP" "probable serine/threonine-protein kinase At1g09600" "positive regulation of transcription elongation by RNA polymerase II" "BnaAnng34220D" "probable serine/threonine-protein kinase At1g09600" "LOC106345220" -10.1391876849434 2.16367765009733e-33
"106345220" "GO:0006468" "BP" "probable serine/threonine-protein kinase At1g09600" "protein phosphorylation" "BnaAnng34220D" "probable serine/threonine-protein kinase At1g09600" "LOC106345220" -10.1391876849434 2.16367765009733e-33
"106345263" "GO:0042744" "BP" "peroxidase 49" "hydrogen peroxide catabolic process" "BnaAnng19770D" "peroxidase 49" "LOC106345263" -4.98848762902693 0.00166333304772196
"106345263" "GO:0006979" "BP" "peroxidase 49" "response to oxidative stress" "BnaAnng19770D" "peroxidase 49" "LOC106345263" -4.98848762902693 0.00166333304772196
"106345274" NA NA NA NA "BnaA09g39990D" "uncharacterized LOC106345274" "LOC106345274" -18.5910473851138 1.61335194300324e-50
"106345363" "GO:0051017" "BP" "LIM domain-containing protein PLIM2a" "actin filament bundle assembly" "BnaA04g26440D" "LIM domain-containing protein PLIM2a" "LOC106345363" -12.1034197101888 4.52885292268547e-50
"106345366" "GO:0006457" "BP" "uncharacterized BNAA04G26600D" "protein folding" "BnaA04g26600D" "uncharacterized BNAA04G26600D" "BNAA04G26600D" -1.81299370504474 7.58740363362799e-06
"106345408" NA NA NA NA "BnaA05g25890D" "L-ascorbate oxidase homolog" "LOC106345408" -14.9877337285535 1.89128168836558e-51
"106345414" NA NA NA NA "BnaCnng68960D" "uncharacterized BNACNNG68960D" "BNACNNG68960D" -6.86585435428873 8.39885017651064e-36
"106345428" "GO:0006508" "BP" "aspartic proteinase NANA, chloroplast" "proteolysis" "BnaA05g26480D" "aspartic proteinase NANA, chloroplast" "LOC106345428" -8.78043720740761 1.3586583563856e-63
