ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0016072,rRNA metabolic process,0.04397834912043302,477/20035,3.875979628369881e-65,1.1240340922272654e-61,1.0620184181733475e-61,,BnaC09g12750D/BnaA06g24840D/BnaA06g35050D/BnaC04g03350D/BnaA03g07060D/BnaA03g06930D/BnaC06g42860D/BnaA03g57330D/BnaA04g21760D/BnaA01g26650D/BnaA09g06730D/BnaC04g04050D/BnaA09g04700D/BnaAnng12530D/BnaA07g38150D/BnaA09g54920D/BnaC08g14300D/BnaC08g13800D/BnaC01g41990D/BnaA08g25730D/BnaA01g33650D/BnaC03g29670D/BnaA09g30730D/BnaC09g47740D/BnaC09g46640D/BnaC04g51980D/BnaC01g39710D/BnaC05g37780D/BnaCnng31490D/BnaC04g55100D/BnaC06g42550D/BnaCnng34550D/BnaC01g15300D/BnaC03g42920D/BnaC02g40190D/BnaC02g39820D/BnaA02g25840D/BnaC02g20050D/BnaC09g43310D/BnaC09g20460D/BnaA09g26330D/BnaC09g41680D/BnaA09g47020D/BnaC05g44220D/BnaC09g32470D/BnaC07g32160D/BnaC01g19690D/BnaA07g37200D/BnaA09g56020D/BnaC01g40380D/BnaA09g09170D/BnaCnng45980D/BnaAnng20310D/BnaCnng46850D/BnaA03g01080D/BnaA03g01910D/BnaA07g00340D/BnaC03g16060D/BnaA06g35980D/BnaC02g26240D/BnaA02g36270D/BnaC03g48730D/BnaA06g10130D/BnaA05g34050D/BnaA05g12760D/BnaA09g10290D/BnaA09g35240D/BnaA02g27070D/BnaAnng06240D/BnaA09g18530D/BnaC05g43300D/BnaA01g29950D/BnaA09g43720D/BnaC02g02880D/BnaA08g13850D/BnaC03g20970D/BnaC02g01270D/BnaC04g22660D/BnaA07g10580D/BnaC02g09980D/BnaC02g34080D/BnaA09g55200D/BnaA05g33140D/BnaC09g37260D/BnaA09g20820D/BnaC09g41090D/BnaA03g47600D/BnaA03g47570D/BnaC07g38610D/BnaA07g16150D/BnaC08g24870D/BnaAnng00820D/BnaA03g17540D/BnaC07g20640D/BnaA01g12190D/BnaC03g01450D/BnaA10g18170D/BnaA10g26290D/BnaC01g13870D/BnaC03g08960D/BnaA03g25240D/BnaC09g23090D,390,1.8471828608550849,0.8176100628930818
GO:0006364,rRNA processing,0.042512404149751916,460/20035,1.6084763686318866e-63,2.3322907345162357e-60,2.203612625025685e-60,,BnaC09g12750D/BnaA06g24840D/BnaA06g35050D/BnaC04g03350D/BnaA03g07060D/BnaA03g06930D/BnaA03g57330D/BnaA04g21760D/BnaA01g26650D/BnaA09g06730D/BnaC04g04050D/BnaA09g04700D/BnaAnng12530D/BnaA09g54920D/BnaC08g14300D/BnaC08g13800D/BnaC01g41990D/BnaA08g25730D/BnaA01g33650D/BnaC03g29670D/BnaA09g30730D/BnaC09g47740D/BnaC09g46640D/BnaC04g51980D/BnaC01g39710D/BnaC05g37780D/BnaCnng31490D/BnaC04g55100D/BnaC06g42550D/BnaCnng34550D/BnaC01g15300D/BnaC03g42920D/BnaC02g40190D/BnaC02g39820D/BnaA02g25840D/BnaC02g20050D/BnaC09g43310D/BnaC09g20460D/BnaA09g26330D/BnaC09g41680D/BnaA09g47020D/BnaC05g44220D/BnaC09g32470D/BnaC07g32160D/BnaA07g37200D/BnaA09g56020D/BnaC01g40380D/BnaCnng45980D/BnaAnng20310D/BnaCnng46850D/BnaA03g01080D/BnaA03g01910D/BnaA07g00340D/BnaC03g16060D/BnaA06g35980D/BnaC02g26240D/BnaA02g36270D/BnaC03g48730D/BnaA06g10130D/BnaA05g34050D/BnaA05g12760D/BnaA09g10290D/BnaA09g35240D/BnaA02g27070D/BnaAnng06240D/BnaA09g18530D/BnaC05g43300D/BnaA01g29950D/BnaA09g43720D/BnaC02g02880D/BnaA08g13850D/BnaC03g20970D/BnaC02g01270D/BnaC04g22660D/BnaA07g10580D/BnaC02g09980D/BnaC02g34080D/BnaA09g55200D/BnaA05g33140D/BnaC09g37260D/BnaA09g20820D/BnaC09g41090D/BnaA03g47600D/BnaA03g47570D/BnaC07g38610D/BnaA07g16150D/BnaC08g24870D/BnaAnng00820D/BnaA03g17540D/BnaC07g20640D/BnaA01g12190D/BnaC03g01450D/BnaA10g18170D/BnaA10g26290D/BnaC01g13870D/BnaC03g08960D/BnaA03g25240D/BnaC09g23090D,377,1.8516000372614776,0.8195652173913044
GO:0042273,ribosomal large subunit biogenesis,0.021087054578258907,199/20035,1.2934938786326674e-51,1.2503774160115785e-48,1.1813910758178364e-48,,BnaA06g24840D/BnaA06g35050D/BnaC08g21480D/BnaC04g03350D/BnaAnng34410D/BnaA03g55250D/BnaA04g21760D/BnaA01g26650D/BnaC04g04050D/BnaAnng12530D/BnaC03g29670D/BnaC09g47740D/BnaC05g37780D/BnaA08g05860D/BnaA01g18390D/BnaC03g42920D/BnaC03g22400D/BnaC03g22120D/BnaC02g20050D/BnaC07g33200D/BnaC09g20460D/BnaC06g43320D/BnaA09g35340D/BnaC02g19510D/BnaC09g32470D/BnaA07g37200D/BnaC06g12970D/BnaC02g26240D/BnaA02g36270D/BnaA06g11250D/BnaC04g32600D/BnaC03g48730D/BnaA07g28280D/BnaC05g12790D/BnaA09g34900D/BnaA09g35160D/BnaA09g35240D/BnaA02g27070D/BnaAnng06240D/BnaA09g18530D/BnaC08g26410D/BnaA04g10330D/BnaA01g29950D/BnaC03g20970D/BnaA02g14510D/BnaC01g22300D/BnaC02g01270D/BnaCnng63300D/BnaA09g55200D/BnaC08g10420D/BnaA09g20820D/BnaA03g47600D/BnaA04g23010D/BnaA03g17540D/BnaC07g20640D/BnaA01g12190D/BnaC01g13870D/BnaA03g25240D/BnaC09g23090D,187,2.1230107461076244,0.9396984924623115
GO:0009451,RNA modification,0.037550744248985114,457/20035,4.7996610140926594e-36,3.479754235217178e-33,3.2877677946534726e-33,,BnaA05g26400D/BnaA03g06930D/BnaC04g04720D/BnaC04g11080D/BnaC09g31780D/BnaC08g14300D/BnaA08g25730D/BnaA09g30730D/BnaC09g47740D/BnaC09g46640D/BnaC04g51980D/BnaA05g35350D/BnaC08g42540D/BnaCnng30980D/BnaA01g18460D/BnaC04g43880D/BnaCnng35560D/BnaC02g40190D/BnaC09g43310D/BnaC09g43050D/BnaC09g42900D/BnaA09g35780D/BnaC09g32470D/BnaC09g32330D/BnaCnng43190D/BnaC05g32210D/BnaA09g56020D/BnaC01g40380D/BnaCnng46850D/BnaA08g26510D/BnaA07g00340D/BnaCnng06750D/BnaC03g16060D/BnaC03g27760D/BnaC06g27510D/BnaA04g26370D/BnaC07g07100D/BnaA09g10290D/BnaA10g27580D/BnaC07g16130D/BnaAnng06240D/BnaA08g03460D/BnaA01g29950D/BnaA09g43720D/BnaC02g01270D/BnaA06g33700D/BnaA03g52840D/BnaA07g10580D/BnaCnng15330D/BnaA05g10140D/BnaA10g09380D/BnaA10g09890D/BnaCnng18610D/BnaA03g47600D/BnaA03g47570D/BnaA06g13610D/BnaC03g25390D/BnaC03g36220D,333,1.6462344880271702,0.7286652078774617
GO:0042274,ribosomal small subunit biogenesis,0.017929634641407306,185/20035,2.86403302703991e-32,1.6611391556831477e-29,1.5694900988178706e-29,,BnaA05g27160D/BnaA05g27190D/BnaA03g07060D/BnaA03g55250D/BnaA03g57330D/BnaA04g21760D/BnaA04g21290D/BnaA09g06730D/BnaC03g73560D/BnaA09g54920D/BnaC04g36490D/BnaC08g14300D/BnaCnng26310D/BnaC01g41990D/BnaA08g25730D/BnaA01g33650D/BnaC03g29670D/BnaC09g46640D/BnaA04g29230D/BnaCnng29070D/BnaC07g31040D/BnaC06g42550D/BnaC02g39820D/BnaA02g25840D/BnaC09g41680D/BnaA09g47020D/BnaC07g32160D/BnaA03g01080D/BnaC02g26240D/BnaA01g33230D/BnaA06g10130D/BnaA05g34140D/BnaC05g48560D/BnaC02g02880D/BnaA08g13850D/BnaC03g20970D/BnaC04g22660D/BnaA03g17150D/BnaC02g42050D/BnaAnng09380D/BnaC02g34080D/BnaA05g33140D/BnaA09g20820D/BnaC09g41090D/BnaC06g24350D/BnaA07g16150D/BnaA07g30140D/BnaC08g24870D/BnaC05g41290D/BnaA03g32020D/BnaA03g39990D/BnaA05g07210D/BnaAnng00820D/BnaA03g17540D/BnaA07g06200D/BnaA01g12190D/BnaC03g20660D/BnaC03g01450D/BnaA10g18170D/BnaA10g26290D/BnaC01g13870D/BnaC03g08960D/BnaA03g25240D/BnaC09g23090D,159,1.9417309731924075,0.8594594594594595
GO:0042255,ribosome assembly,0.015448804691023907,155/20035,8.968785432536233e-31,4.334912959059179e-28,4.09574534752488e-28,,BnaA05g27160D/BnaA05g27190D/BnaA04g21290D/BnaA09g06730D/BnaC03g73560D/BnaC04g36490D/BnaA04g29230D/BnaCnng29070D/BnaC05g37780D/BnaA08g05860D/BnaA01g18390D/BnaC07g31040D/BnaC03g22400D/BnaC03g22120D/BnaC07g33200D/BnaC06g43320D/BnaC02g19510D/BnaA07g37200D/BnaA03g01080D/BnaA01g33230D/BnaA06g11250D/BnaA05g34140D/BnaA07g28280D/BnaC05g12790D/BnaA09g34900D/BnaA09g35240D/BnaC05g48560D/BnaC02g02880D/BnaA02g14510D/BnaC01g22300D/BnaA03g17150D/BnaC02g42050D/BnaAnng09380D/BnaC08g10420D/BnaC06g24350D/BnaA07g30140D/BnaC05g41290D/BnaA03g32020D/BnaA03g39990D/BnaA05g07210D/BnaAnng00820D/BnaA04g23010D/BnaA07g06200D/BnaC03g20660D/BnaC03g01450D/BnaA10g26290D,137,1.996882593449445,0.8838709677419355
GO:0000470,maturation of LSU-rRNA,0.009697789806044204,93/20035,5.003378543474925e-23,2.072828253725326e-20,1.9584653155887565e-20,,BnaA06g24840D/BnaA06g35050D/BnaC04g03350D/BnaA01g26650D/BnaC04g04050D/BnaAnng12530D/BnaC03g29670D/BnaC09g47740D/BnaC02g20050D/BnaC09g20460D/BnaC09g32470D/BnaC02g26240D/BnaA02g36270D/BnaC03g48730D/BnaA09g35240D/BnaA02g27070D/BnaAnng06240D/BnaA09g18530D/BnaA01g29950D/BnaC02g01270D/BnaA09g55200D/BnaA09g20820D/BnaA03g47600D/BnaC07g20640D/BnaA01g12190D/BnaC01g13870D/BnaA03g25240D/BnaC09g23090D,86,2.0891959006892002,0.9247311827956989
GO:0030490,maturation of SSU-rRNA,0.010712674785746504,107/20035,4.645785640924145e-22,1.6840972948350028e-19,1.59118158201652e-19,,BnaA03g07060D/BnaA03g57330D/BnaA04g21760D/BnaA09g06730D/BnaA09g54920D/BnaC08g14300D/BnaA08g25730D/BnaA01g33650D/BnaC03g29670D/BnaC09g46640D/BnaC06g42550D/BnaC02g39820D/BnaA02g25840D/BnaA09g47020D/BnaC07g32160D/BnaA03g01080D/BnaC02g26240D/BnaA06g10130D/BnaC02g02880D/BnaA08g13850D/BnaC03g20970D/BnaC04g22660D/BnaC02g34080D/BnaA05g33140D/BnaA09g20820D/BnaC09g41090D/BnaA07g16150D/BnaC08g24870D/BnaAnng00820D/BnaA03g17540D/BnaA01g12190D/BnaC03g01450D/BnaA10g26290D/BnaC01g13870D/BnaC03g08960D/BnaA03g25240D/BnaC09g23090D,95,2.0058732647890767,0.8878504672897196
GO:0006399,tRNA metabolic process,0.031574199368516014,426/20035,1.6550550398311251e-19,5.3329551283447366e-17,5.038723121263648e-17,,BnaC04g04150D/BnaC09g31780D/BnaC08g14300D/BnaC03g74530D/BnaA08g25730D/BnaA08g25270D/BnaA09g30730D/BnaA05g35350D/BnaC06g41300D/BnaC01g39710D/BnaC08g42540D/BnaCnng31490D/BnaC08g14950D/BnaC05g39850D/BnaCnng35560D/BnaA06g01920D/BnaC09g43050D/BnaC09g42900D/BnaA09g35780D/BnaC05g44220D/BnaC05g37130D/BnaA08g26510D/BnaCnng06750D/BnaA10g10830D/BnaC03g27760D/BnaC08g41780D/BnaC01g21050D/BnaC06g27510D/BnaC03g71500D/BnaA04g26370D/BnaA05g12760D/BnaC07g07100D/BnaA10g27580D/BnaC07g16130D/BnaA08g03460D/BnaA03g52240D/BnaA08g11970D/BnaA08g02170D/BnaA03g52840D/BnaA07g10580D/BnaAnng09530D/BnaCnng17960D/BnaA10g09380D/BnaCnng18830D/BnaC03g25390D/BnaA06g07130D/BnaC03g35250D/BnaC03g09910D,280,1.4849509022258647,0.6572769953051644
GO:0000027,ribosomal large subunit assembly,0.006765899864682003,62/20035,3.1369787929895277e-19,9.09723849966963e-17,8.595321892791308e-17,,BnaC05g37780D/BnaC03g22400D/BnaC03g22120D/BnaC06g43320D/BnaC02g19510D/BnaA07g37200D/BnaA06g11250D/BnaA07g28280D/BnaC05g12790D/BnaA09g34900D/BnaA02g14510D/BnaA04g23010D,60,2.1863678030468376,0.967741935483871
