"ENTREZID" "GO" "ONTOLOGY" "GENENAME" "GOTERM" "external_gene_name" "Description_NCBI" "ALIAS" "log2FoldChange" "padj"
"106345163" NA NA NA NA "BnaA05g36010D" "upstream activation factor subunit UAF30" "LOC106345163" 2.21902740961445 6.39410219230191e-05
"106345185" "GO:0006004" "BP" "protein MANNAN SYNTHESIS-RELATED 1" "fucose metabolic process" "BnaA01g25300D" "protein MANNAN SYNTHESIS-RELATED 1" "BNAA01G25300D" 1.53304156984711 0.0126770192615229
"106345248" "GO:0032211" "BP" "CST complex subunit TEN1-like" "negative regulation of telomere maintenance via telomerase" "BnaA01g35740D" "CST complex subunit TEN1-like" "LOC106345248" 2.27079840371533 5.89502211293953e-05
"106345273" "GO:0009736" "BP" "putative two-component response regulator ARR20" "cytokinin-activated signaling pathway" "BnaA09g40030D" "putative two-component response regulator ARR20" "LOC106345273" 10.4208328783501 3.02869232343561e-15
"106345273" "GO:0000160" "BP" "putative two-component response regulator ARR20" "phosphorelay signal transduction system" "BnaA09g40030D" "putative two-component response regulator ARR20" "LOC106345273" 10.4208328783501 3.02869232343561e-15
"106345279" "GO:0006412" "BP" "60S ribosomal protein L19-1" "translation" "BnaCnng23290D" "60S ribosomal protein L19-1" "LOC106345279" 2.10544318659471 3.45494355777349e-07
"106345301" NA NA NA NA "BnaCnng23300D" "programmed cell death protein 2" "LOC106345301" 2.65518321534927 8.30118909401374e-12
"106345329" "GO:0043086" "BP" "cell wall / vacuolar inhibitor of fructosidase 1" "negative regulation of catalytic activity" "BnaAnng29070D" "cell wall / vacuolar inhibitor of fructosidase 1" "LOC106345329" 2.44968826781797 0.0404590396408027
"106345389" NA NA NA NA "BnaC03g65020D" "uncharacterized BNAC03G65020D" "BNAC03G65020D" 11.9562188371812 1.45370940182375e-19
"106345490" "GO:0045944" "BP" "agamous-like MADS-box protein AGL12" "positive regulation of transcription by RNA polymerase II" "BnaC02g20640D" "agamous-like MADS-box protein AGL12" "LOC106345490" 9.32474241482417 1.44635973228529e-11
"106345490" "GO:0006357" "BP" "agamous-like MADS-box protein AGL12" "regulation of transcription by RNA polymerase II" "BnaC02g20640D" "agamous-like MADS-box protein AGL12" "LOC106345490" 9.32474241482417 1.44635973228529e-11
"106345633" "GO:0002181" "BP" "60S ribosomal protein L29-1" "cytoplasmic translation" "BnaA01g32660D" "60S ribosomal protein L29-1" "LOC106345633" 2.29754866144217 2.15252059689963e-07
"106345659" "GO:0006887" "BP" "exocyst complex component EXO84A" "exocytosis" "BnaC08g14240D" "exocyst complex component EXO84A" "LOC106345659" 1.09631467396964 0.0188042281796338
"106345659" "GO:0006893" "BP" "exocyst complex component EXO84A" "Golgi to plasma membrane transport" "BnaC08g14240D" "exocyst complex component EXO84A" "LOC106345659" 1.09631467396964 0.0188042281796338
"106345659" "GO:0008104" "BP" "exocyst complex component EXO84A" "protein localization" "BnaC08g14240D" "exocyst complex component EXO84A" "LOC106345659" 1.09631467396964 0.0188042281796338
"106345743" "GO:0015979" "BP" "photosystem I reaction center subunit VI, chloroplastic" "photosynthesis" "BnaA06g01680D" "photosystem I reaction center subunit VI, chloroplastic" "LOC106345743" 2.90848179565991 6.83558938431403e-06
"106345746" "GO:0072684" "BP" "tRNase Z TRZ3, mitochondrial" "mitochondrial tRNA 3'-trailer cleavage, endonucleolytic" "BnaA06g01920D" "tRNase Z TRZ3, mitochondrial" "LOC106345746" 3.37595976833082 4.20936901452921e-10
"106345748" "GO:0030154" "BP" "homeobox-leucine zipper protein ATHB-15" "cell differentiation" "BnaA06g01940D" "homeobox-leucine zipper protein ATHB-15" "LOC106345748" 2.90206446666106 0.000206604458415202
"106345768" "GO:0006189" "BP" "phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic" "'de novo' IMP biosynthetic process" "BnaA01g25350D" "phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic" "LOC106345768" 3.68918265730407 4.27042767933144e-09
"106345784" NA NA NA NA "BnaA01g25330D" "uncharacterized BNAA01G25330D" "BNAA01G25330D" 1.76950050926205 0.00127176910781923
"106345818" NA NA NA NA "BnaA06g01430D" "GDSL esterase/lipase At1g54020-like" "LOC106345818" 2.59458265316401 5.10152411140003e-06
"106345888" "GO:0006412" "BP" "40S ribosomal protein S20-1-like" "translation" "BnaA03g13080D" "40S ribosomal protein S20-1-like" "LOC106345888" 3.04749380613383 1.63396585439484e-16
"106345927" "GO:0055085" "BP" "ABC transporter G family member 24" "transmembrane transport" "BnaA06g00960D" "ABC transporter G family member 24" "LOC106345927" 2.19743469340401 8.11271466769938e-05
"106345934" "GO:0051026" "BP" "E3 ubiquitin-protein ligase CCNB1IP1 homolog" "chiasma assembly" "BnaA06g00910D" "E3 ubiquitin-protein ligase CCNB1IP1 homolog" "LOC106345934" 1.99186847587514 0.00367160590756255
"106345957" "GO:0000462" "BP" "40S ribosomal protein S16-3-like" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" "BnaA05g33140D" "40S ribosomal protein S16-3-like" "LOC106345957" 2.43417616923422 2.61856370093013e-07
"106345957" "GO:0006412" "BP" "40S ribosomal protein S16-3-like" "translation" "BnaA05g33140D" "40S ribosomal protein S16-3-like" "LOC106345957" 2.43417616923422 2.61856370093013e-07
"106345964" "GO:0006412" "BP" "60S ribosomal protein L23" "translation" "BnaC05g02580D" "60S ribosomal protein L23" "LOC106345964" 2.79713659121984 2.04674188539585e-08
"106345992" NA NA NA NA "BnaA01g25600D" "probable histone H2A.2" "LOC106345992" 2.26820288279714 2.20302006944599e-05
"106346023" NA NA NA NA "BnaC03g14590D" "NAD(P)H dehydrogenase (quinone) FQR1-like" "LOC106346023" 1.81419426499722 0.00116943315042363
"106346037" "GO:0006537" "BP" "NADP-specific glutamate dehydrogenase" "glutamate biosynthetic process" "BnaA06g02140D" "NADP-specific glutamate dehydrogenase" "LOC106346037" 2.38163935382099 1.5282481634747e-05
"106346042" "GO:0009850" "BP" "IAA-amino acid hydrolase ILR1-like 4" "auxin metabolic process" "BnaA06g02080D" "IAA-amino acid hydrolase ILR1-like 4" "LOC106346042" 2.27266768794606 0.00198881496625833
"106346060" "GO:0008380" "BP" "RNA-binding protein Y14-like" "RNA splicing" "BnaA06g02320D" "RNA-binding protein Y14-like" "LOC106346060" 1.56585640415342 0.000825495241733743
"106346115" "GO:0002181" "BP" "60S ribosomal protein L29-1" "cytoplasmic translation" "BnaA05g30690D" "60S ribosomal protein L29-1" "LOC106346115" 1.88056556380347 3.42458574632792e-06
"106346178" "GO:0006355" "BP" "NAC domain containing protein 52" "regulation of DNA-templated transcription" "BnaA01g31670D" "NAC domain containing protein 52" "LOC106346178" 1.88445065004053 0.00182330011511708
"106346200" "GO:0006457" "BP" "T-complex protein 1 subunit alpha" "protein folding" "BnaA01g25680D" "T-complex protein 1 subunit alpha" "LOC106346200" 1.64078717786608 0.000637850646969611
"106346382" NA NA NA NA "BnaC04g39990D" "histone H4" "LOC106346382" 1.37850615621113 0.0101912299725951
"106346392" "GO:0006412" "BP" "40S ribosomal protein S15a" "translation" "BnaC09g35210D" "40S ribosomal protein S15a" "LOC106346392" 2.24591839273669 3.0237355533165e-06
"106346458" "GO:0006006" "BP" "glyceraldehyde-3-phosphate dehydrogenase GAPA2, chloroplastic" "glucose metabolic process" "BnaA06g07790D" "glyceraldehyde-3-phosphate dehydrogenase GAPA2, chloroplastic" "LOC106346458" 2.87061270651127 1.4671610653241e-05
"106346461" "GO:0009451" "BP" "pentatricopeptide repeat-containing protein At2g03380, mitochondrial" "RNA modification" "BnaA06g33700D" "pentatricopeptide repeat-containing protein At2g03380, mitochondrial" "LOC106346461" 2.63098253359081 0.0111795741163051
"106346574" "GO:0006412" "BP" "50S ribosomal protein L25" "translation" "BnaC01g15340D" "50S ribosomal protein L25" "LOC106346574" 1.95727883455767 0.000900779047976218
